"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1313";"Toscana (ITI1)";"China (CN)";5;10,42;0,05;0,2;40,87;"Drones"
"539456";"Toscana (ITI1)";"China (CN)";19;5,21;0,1;0,5;26,86;"Pollution Control"
"2881120";"Toscana (ITI1)";"China (CN)";28;20,59;0,19;0,27;29;"Carbon Capture & Storage"
"3089108";"Toscana (ITI1)";"China (CN)";4;3,85;0,03;0,17;22,11;"Sustainable Agriculture"
"3282109";"Toscana (ITI1)";"China (CN)";4;3,45;0,03;0,18;21,49;"Biomass Energy"
"3565101";"Toscana (ITI1)";"China (CN)";10;3,08;0,04;0,27;21,82;"Internet of Things (IoT)"
"1108157";"Toscana (ITI1)";"China (CN)";6;22,22;0,08;0,15;39,44;"Hydroelectric Power"
"1013156";"Toscana (ITI1)";"China (CN)";3;6,98;0,05;0,25;32,38;"Wind Energy"
"3971104";"Toscana (ITI1)";"China (CN)";2;2,25;0,01;0,1;36,46;"Water Management"
"415367";"Toscana (ITI1)";"China (CN)";6;4,2;0,04;0,2;21,43;"Nuclear Energy"
"423656";"Toscana (ITI1)";"China (CN)";15;8,93;0,06;0,15;23,25;"Solar Energy"
"346879";"Toscana (ITI1)";"China (CN)";6;1,92;0,03;0,36;21,85;"Cloud Computing & Edge Computing"
"754433";"Toscana (ITI1)";"China (CN)";14;4,12;0,04;0,22;20,73;"Waste Management"
"2208107";"Toscana (ITI1)";"China (CN)";22;11,34;0,05;0,2;43,6;"Generative AI"
"2790103";"Toscana (ITI1)";"China (CN)";2;1,36;0,01;0,14;12,8;"Blockchain Technologies"
"352960";"Toscana (ITI1)";"China (CN)";8;5,63;0,03;0,18;32,36;"Energy Efficiency"
"3291101";"Toscana (ITI1)";"China (CN)";7;3,7;0,02;0,14;31,98;"Smart Grid"
"439739";"Toscana (ITI1)";"China (CN)";18;3,78;0,09;0,46;18,28;"Green Building"
"380050";"Toscana (ITI1)";"China (CN)";2;1,65;0,01;0,15;21,04;"Biofuels"
"811625";"Toscana (ITI1)";"China (CN)";580;31,05;0,92;0,57;19,34;"Quantum Technologies"
"2381103";"Toscana (ITI1)";"China (CN)";11;12,94;0,16;0,32;24,78;"Geothermal Energy"
"961423";"Toscana (ITI1)";"China (CN)";59;7,85;0,06;0,23;27,65;"Environmental Engineering"
"327247";"Toscana (ITI1)";"China (CN)";7;3,37;0,03;0,26;25,13;"EVs & Charging Infrastructure"
"406636";"Toscana (ITI1)";"China (CN)";26;5,5;0,02;0,18;42,46;"Battery"
"469528";"Toscana (ITI1)";"China (CN)";22;6,09;0,04;0,18;24,48;"Semiconductors/Chips"
"688525";"Toscana (ITI1)";"China (CN)";44;4;0,05;0,33;26,04;"Biomaterials"
"328736";"Toscana (ITI1)";"China (CN)";33;12,84;0,05;0,18;42,46;"Hydrogen Fuel Cells"
"291830";"Toscana (ITI1)";"China (CN)";20;10,05;0,07;0,18;26,05;"Heat Pumps"
"377627";"Toscana (ITI1)";"China (CN)";31;6,4;0,07;0,3;28,79;"Mobile Networks (5G/6G)"
"237030";"Toscana (ITI1)";"China (CN)";12;4,72;0,11;0,8;33,92;"Satellite Connectivity"
"450720";"Toscana (ITI1)";"China (CN)";15;5,88;0,1;0,36;21,74;"High-Performance Computing (HPC)"
"211747";"Toscana (ITI1)";"China (CN)";400;8,83;0,09;0,19;18,88;"Other"
"446917";"Toscana (ITI1)";"China (CN)";16;3,08;0,03;0,25;23,26;"Cybersecurity Technologies"
"288319";"Toscana (ITI1)";"China (CN)";17;6,05;0,15;0,44;17,08;"Software Engineering & System Development"
"840951";"Toscana (ITI1)";"China (CN)";153;9,74;0,06;0,23;36,18;"Computer Vision, Language Processing & Object Recognition"
"698913";"Toscana (ITI1)";"China (CN)";25;2,83;0,04;0,33;24,08;"Green Consumer Goods"
"645212";"Toscana (ITI1)";"China (CN)";15;2,41;0,04;0,36;23,53;"Recycling"
"563211";"Toscana (ITI1)";"China (CN)";59;5,11;0,05;0,32;32,76;"Robotics"
"1150311";"Toscana (ITI1)";"China (CN)";229;4,96;0,09;0,33;18,93;"Artificial Intelligence"
