"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7126";"Tunisia (TN)";"United States (US)";1;1,61;0,06;0,26;7,33;"Drones"
"26625";"Tunisia (TN)";"United States (US)";6;3,39;0,13;0,24;6,42;"Pollution Control"
"1521042";"Tunisia (TN)";"United States (US)";1;1,64;0,02;0,12;11,65;"Carbon Capture & Storage"
"1703231";"Tunisia (TN)";"United States (US)";4;3,57;0,09;0,18;6,73;"Biomass Energy"
"1894426";"Tunisia (TN)";"United States (US)";20;4,12;0,36;0,41;4,71;"Internet of Things (IoT)"
"500188";"Tunisia (TN)";"United States (US)";1;3,12;0,11;0,17;5,05;"Hydroelectric Power"
"2081822";"Tunisia (TN)";"United States (US)";9;3,46;0,16;0,3;6,37;"Water Management"
"2266219";"Tunisia (TN)";"United States (US)";16;2,37;0,22;0,59;6,49;"Solar Energy"
"1851027";"Tunisia (TN)";"United States (US)";18;4,08;0,26;0,51;8,08;"Cloud Computing & Edge Computing"
"39950";"Tunisia (TN)";"United States (US)";15;5,62;0,18;0,18;5,55;"Waste Management"
"1229830";"Tunisia (TN)";"United States (US)";7;3,06;0,07;0,24;10,05;"Generative AI"
"1657523";"Tunisia (TN)";"United States (US)";19;5,41;0,39;0,34;4,71;"Blockchain Technologies"
"2030222";"Tunisia (TN)";"United States (US)";3;2,1;0,05;0,18;7,09;"Energy Efficiency"
"1880719";"Tunisia (TN)";"United States (US)";6;1,41;0,05;0,32;8,72;"Smart Grid"
"2366119";"Tunisia (TN)";"United States (US)";5;2,08;0,07;0,23;6,77;"Green Building"
"2041517";"Tunisia (TN)";"United States (US)";4;1,95;0,07;0,25;6,84;"Biofuels"
"44668";"Tunisia (TN)";"United States (US)";25;6,04;0,07;0,13;11,32;"Quantum Technologies"
"1095724";"Tunisia (TN)";"United States (US)";5;6,94;0,22;0,27;8,37;"Geothermal Energy"
"50721";"Tunisia (TN)";"United States (US)";48;7,22;0,14;0,2;10,35;"Environmental Engineering"
"1871019";"Tunisia (TN)";"United States (US)";6;2,1;0,1;0,35;7,17;"EVs & Charging Infrastructure"
"2394116";"Tunisia (TN)";"United States (US)";8;1,77;0,04;0,17;7,26;"Battery"
"2586510";"Tunisia (TN)";"United States (US)";22;4,55;0,09;0,23;11,62;"Semiconductors/Chips"
"373639";"Tunisia (TN)";"United States (US)";15;2,17;0,07;0,21;6,9;"Biomaterials"
"1939810";"Tunisia (TN)";"United States (US)";4;2,86;0,04;0,1;7,87;"Hydrogen Fuel Cells"
"1605711";"Tunisia (TN)";"United States (US)";16;3,64;0,2;0,4;7,13;"Heat Pumps"
"2136211";"Tunisia (TN)";"United States (US)";23;4,14;0,19;0,34;7,52;"Mobile Networks (5G/6G)"
"1205814";"Tunisia (TN)";"United States (US)";2;7,41;0,05;0,08;12,69;"Satellite Connectivity"
"246808";"Tunisia (TN)";"United States (US)";2;1,19;0,02;0,23;17,7;"High-Performance Computing (HPC)"
"117713";"Tunisia (TN)";"United States (US)";338;8,7;0,07;0,16;19,15;"Other"
"262776";"Tunisia (TN)";"United States (US)";36;4,79;0,15;0,37;11,89;"Cybersecurity Technologies"
"162366";"Tunisia (TN)";"United States (US)";23;13,94;0,25;0,26;14,5;"Software Engineering & System Development"
"465032";"Tunisia (TN)";"United States (US)";34;2,25;0,05;0,23;10,79;"Computer Vision, Language Processing & Object Recognition"
"381973";"Tunisia (TN)";"United States (US)";19;1,9;0,14;0,37;5,19;"Green Consumer Goods"
"356322";"Tunisia (TN)";"United States (US)";10;2,86;0,11;0,21;5,22;"Recycling"
"315412";"Tunisia (TN)";"United States (US)";21;2,53;0,06;0,23;10,24;"Robotics"
"640901";"Tunisia (TN)";"United States (US)";97;3,3;0,05;0,21;13,34;"Artificial Intelligence"
