"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7089";"Vietnam (VN)";"United States (US)";12;4,94;0,69;1,02;7,33;"Drones"
"26566";"Vietnam (VN)";"United States (US)";24;6,05;0,52;0,55;6,42;"Pollution Control"
"1506632";"Vietnam (VN)";"United States (US)";6;5,61;0,1;0,22;11,65;"Carbon Capture & Storage"
"1650731";"Vietnam (VN)";"United States (US)";14;4,81;0,3;0,48;7,7;"Sustainable Agriculture"
"1715530";"Vietnam (VN)";"United States (US)";16;5,46;0,38;0,46;6,73;"Biomass Energy"
"1914626";"Vietnam (VN)";"United States (US)";48;8,76;0,86;0,46;4,71;"Internet of Things (IoT)"
"498755";"Vietnam (VN)";"United States (US)";4;2,65;0,43;0,81;5,05;"Hydroelectric Power"
"503854";"Vietnam (VN)";"United States (US)";5;7,81;0,47;0,37;6,15;"Wind Energy"
"2076323";"Vietnam (VN)";"United States (US)";33;6,08;0,6;0,63;6,37;"Water Management"
"2234319";"Vietnam (VN)";"United States (US)";6;4,65;0,05;0,18;15,64;"Nuclear Energy"
"2250122";"Vietnam (VN)";"United States (US)";24;6,42;0,32;0,33;6,49;"Solar Energy"
"1847224";"Vietnam (VN)";"United States (US)";39;11,4;0,55;0,39;8,08;"Cloud Computing & Edge Computing"
"39991";"Vietnam (VN)";"United States (US)";46;6,42;0,55;0,47;5,55;"Waste Management"
"1242930";"Vietnam (VN)";"United States (US)";49;10,65;0,51;0,48;10,05;"Generative AI"
"1640128";"Vietnam (VN)";"United States (US)";29;8,33;0,59;0,33;4,71;"Blockchain Technologies"
"2026820";"Vietnam (VN)";"United States (US)";14;3,78;0,25;0,46;7,09;"Energy Efficiency"
"1883419";"Vietnam (VN)";"United States (US)";45;8,89;0,39;0,38;8,72;"Smart Grid"
"2385814";"Vietnam (VN)";"United States (US)";13;3,41;0,18;0,37;6,77;"Green Building"
"2025817";"Vietnam (VN)";"United States (US)";14;3,21;0,25;0,53;6,84;"Biofuels"
"44630";"Vietnam (VN)";"United States (US)";82;10,96;0,22;0,23;11,32;"Quantum Technologies"
"1092128";"Vietnam (VN)";"United States (US)";9;11,25;0,4;0,3;8,37;"Geothermal Energy"
"50616";"Vietnam (VN)";"United States (US)";112;9,09;0,32;0,37;10,35;"Environmental Engineering"
"1862315";"Vietnam (VN)";"United States (US)";21;7,5;0,36;0,34;7,17;"EVs & Charging Infrastructure"
"2376911";"Vietnam (VN)";"United States (US)";49;8,06;0,26;0,23;7,26;"Battery"
"2591710";"Vietnam (VN)";"United States (US)";39;8,67;0,16;0,22;11,62;"Semiconductors/Chips"
"373466";"Vietnam (VN)";"United States (US)";57;4,11;0,25;0,42;6,9;"Biomaterials"
"1953212";"Vietnam (VN)";"United States (US)";23;9,54;0,2;0,17;7,87;"Hydrogen Fuel Cells"
"1606511";"Vietnam (VN)";"United States (US)";19;6,62;0,24;0,26;7,13;"Heat Pumps"
"2116310";"Vietnam (VN)";"United States (US)";95;8,58;0,78;0,68;7,52;"Mobile Networks (5G/6G)"
"1201614";"Vietnam (VN)";"United States (US)";21;17,65;0,52;0,37;12,69;"Satellite Connectivity"
"2478310";"Vietnam (VN)";"United States (US)";22;14,1;0,17;0,22;17,7;"High-Performance Computing (HPC)"
"118076";"Vietnam (VN)";"United States (US)";960;11,37;0,21;0,35;19,15;"Other"
"261026";"Vietnam (VN)";"United States (US)";70;8,05;0,29;0,42;11,89;"Cybersecurity Technologies"
"164606";"Vietnam (VN)";"United States (US)";13;8,39;0,14;0,24;14,5;"Software Engineering & System Development"
"461862";"Vietnam (VN)";"United States (US)";247;9,64;0,34;0,38;10,79;"Computer Vision, Language Processing & Object Recognition"
"380833";"Vietnam (VN)";"United States (US)";58;3,31;0,42;0,65;5,19;"Green Consumer Goods"
"354962";"Vietnam (VN)";"United States (US)";46;4,6;0,52;0,59;5,22;"Recycling"
"314982";"Vietnam (VN)";"United States (US)";63;3,88;0,17;0,45;10,24;"Robotics"
"638751";"Vietnam (VN)";"United States (US)";380;6,97;0,2;0,39;13,34;"Artificial Intelligence"
