"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"3564101";"Zambia (ZM)";"China (CN)";1;6,67;0;0,01;21,82;"Internet of Things (IoT)"
"392870";"Zambia (ZM)";"China (CN)";2;33,33;0,01;0,01;21,43;"Nuclear Energy"
"416460";"Zambia (ZM)";"China (CN)";2;18,18;0,01;0,01;23,25;"Solar Energy"
"742733";"Zambia (ZM)";"China (CN)";1;2,38;0;0,03;20,73;"Waste Management"
"2299107";"Zambia (ZM)";"China (CN)";1;50;0;0;43,6;"Generative AI"
"343879";"Zambia (ZM)";"China (CN)";3;15;0,01;0,02;32,36;"Energy Efficiency"
"335570";"Zambia (ZM)";"China (CN)";2;15,38;0;0,01;31,98;"Smart Grid"
"448039";"Zambia (ZM)";"China (CN)";1;4,35;0,01;0,02;18,28;"Green Building"
"400948";"Zambia (ZM)";"China (CN)";1;20;0,01;0,01;21,04;"Biofuels"
"803925";"Zambia (ZM)";"China (CN)";2;50;0;0;19,34;"Quantum Technologies"
"957423";"Zambia (ZM)";"China (CN)";3;7,14;0;0,01;27,65;"Environmental Engineering"
"337647";"Zambia (ZM)";"China (CN)";2;10,53;0,01;0,02;25,13;"EVs & Charging Infrastructure"
"406148";"Zambia (ZM)";"China (CN)";1;14,29;0;0;42,46;"Battery"
"697625";"Zambia (ZM)";"China (CN)";5;25;0,01;0,01;26,04;"Biomaterials"
"285237";"Zambia (ZM)";"China (CN)";1;25;0;0;26,05;"Heat Pumps"
"393726";"Zambia (ZM)";"China (CN)";1;11,11;0;0,01;28,79;"Mobile Networks (5G/6G)"
"211377";"Zambia (ZM)";"China (CN)";35;6,18;0,01;0,02;18,88;"Other"
"285919";"Zambia (ZM)";"China (CN)";1;25;0,01;0,01;17,08;"Software Engineering & System Development"
"846181";"Zambia (ZM)";"China (CN)";6;27,27;0;0;36,18;"Computer Vision, Language Processing & Object Recognition"
"701061";"Zambia (ZM)";"China (CN)";4;21,05;0,01;0,01;24,08;"Green Consumer Goods"
"640312";"Zambia (ZM)";"China (CN)";5;16,13;0,01;0,02;23,53;"Recycling"
"575011";"Zambia (ZM)";"China (CN)";3;37,5;0;0;32,76;"Robotics"
"1140411";"Zambia (ZM)";"China (CN)";5;2,6;0;0,01;18,93;"Artificial Intelligence"
