"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"523256";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";2;28,57;0,01;0,01;26,86;"Pollution Control"
"3595101";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";1;3,85;0;0,02;21,82;"Internet of Things (IoT)"
"421856";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";1;4,17;0;0,02;23,25;"Solar Energy"
"764033";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";2;4;0,01;0,03;20,73;"Waste Management"
"351360";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";2;5,71;0,01;0,04;32,36;"Energy Efficiency"
"354359";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";7;8,43;0,02;0,06;31,98;"Smart Grid"
"459839";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";2;3,12;0,01;0,06;18,28;"Green Building"
"383250";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";2;8,7;0,01;0,03;21,04;"Biofuels"
"836525";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";5;20,83;0,01;0,01;19,34;"Quantum Technologies"
"247790";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";1;33,33;0,01;0,01;24,78;"Geothermal Energy"
"959523";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";1;1;0;0,03;27,65;"Environmental Engineering"
"337047";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";1;3,23;0;0,04;25,13;"EVs & Charging Infrastructure"
"431929";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";2;5,41;0;0,01;42,46;"Battery"
"458328";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";4;22,22;0,01;0,01;24,48;"Semiconductors/Chips"
"699125";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";1;11,11;0;0;26,04;"Biomaterials"
"293330";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";1;50;0;0;26,05;"Heat Pumps"
"212867";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";12;2,66;0;0,02;18,88;"Other"
"826251";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";17;10,97;0,01;0,02;36,18;"Computer Vision, Language Processing & Object Recognition"
"646012";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";1;2,38;0;0,02;23,53;"Recycling"
"547411";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";17;19,1;0,01;0,02;32,76;"Robotics"
"1172711";"Anatoliki Makedonia, Thraki (EL11)";"China (CN)";20;6,76;0,01;0,02;18,93;"Artificial Intelligence"
