"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1177";"Aquitaine (FR61)";"China (CN)";4;133,33;0,04;0,01;40,87;"Drones"
"537756";"Aquitaine (FR61)";"China (CN)";3;2,08;0,02;0,2;26,86;"Pollution Control"
"2975109";"Aquitaine (FR61)";"China (CN)";2;2,3;0,01;0,18;29;"Carbon Capture & Storage"
"2970108";"Aquitaine (FR61)";"China (CN)";2;6,06;0,01;0,05;22,11;"Sustainable Agriculture"
"3425106";"Aquitaine (FR61)";"China (CN)";3;3;0,01;0,08;21,82;"Internet of Things (IoT)"
"929156";"Aquitaine (FR61)";"China (CN)";1;25;0,02;0,02;32,38;"Wind Energy"
"413568";"Aquitaine (FR61)";"China (CN)";14;23,73;0,04;0,07;36,46;"Water Management"
"419956";"Aquitaine (FR61)";"China (CN)";8;5,16;0,03;0,14;23,25;"Solar Energy"
"3511103";"Aquitaine (FR61)";"China (CN)";2;1,54;0,01;0,15;21,85;"Cloud Computing & Edge Computing"
"768333";"Aquitaine (FR61)";"China (CN)";3;1,7;0,01;0,12;20,73;"Waste Management"
"2298107";"Aquitaine (FR61)";"China (CN)";2;2,99;0;0,07;43,6;"Generative AI"
"2839102";"Aquitaine (FR61)";"China (CN)";2;9,52;0,01;0,02;12,8;"Blockchain Technologies"
"340679";"Aquitaine (FR61)";"China (CN)";2;5,13;0,01;0,05;32,36;"Energy Efficiency"
"330570";"Aquitaine (FR61)";"China (CN)";4;7,41;0,01;0,04;31,98;"Smart Grid"
"449239";"Aquitaine (FR61)";"China (CN)";5;2,92;0,03;0,16;18,28;"Green Building"
"812725";"Aquitaine (FR61)";"China (CN)";47;13,51;0,07;0,11;19,34;"Quantum Technologies"
"247690";"Aquitaine (FR61)";"China (CN)";1;2,27;0,01;0,16;24,78;"Geothermal Energy"
"946423";"Aquitaine (FR61)";"China (CN)";79;18,76;0,09;0,13;27,65;"Environmental Engineering"
"324347";"Aquitaine (FR61)";"China (CN)";2;3,45;0,01;0,07;25,13;"EVs & Charging Infrastructure"
"406936";"Aquitaine (FR61)";"China (CN)";14;4,11;0,01;0,13;42,46;"Battery"
"473428";"Aquitaine (FR61)";"China (CN)";10;3,37;0,02;0,14;24,48;"Semiconductors/Chips"
"694625";"Aquitaine (FR61)";"China (CN)";19;3,89;0,02;0,15;26,04;"Biomaterials"
"346329";"Aquitaine (FR61)";"China (CN)";22;13,92;0,04;0,11;42,46;"Hydrogen Fuel Cells"
"290430";"Aquitaine (FR61)";"China (CN)";5;3,82;0,02;0,12;26,05;"Heat Pumps"
"387027";"Aquitaine (FR61)";"China (CN)";2;1,27;0;0,1;28,79;"Mobile Networks (5G/6G)"
"461020";"Aquitaine (FR61)";"China (CN)";2;1,12;0,01;0,25;21,74;"High-Performance Computing (HPC)"
"211367";"Aquitaine (FR61)";"China (CN)";332;10,22;0,07;0,13;18,88;"Other"
"463017";"Aquitaine (FR61)";"China (CN)";5;3,25;0,01;0,07;23,26;"Cybersecurity Technologies"
"279419";"Aquitaine (FR61)";"China (CN)";5;4,24;0,05;0,18;17,08;"Software Engineering & System Development"
"838451";"Aquitaine (FR61)";"China (CN)";29;4,26;0,01;0,1;36,18;"Computer Vision, Language Processing & Object Recognition"
"684413";"Aquitaine (FR61)";"China (CN)";21;6,33;0,03;0,12;24,08;"Green Consumer Goods"
"642012";"Aquitaine (FR61)";"China (CN)";12;4,32;0,03;0,16;23,53;"Recycling"
"564811";"Aquitaine (FR61)";"China (CN)";22;5,3;0,02;0,11;32,76;"Robotics"
"1145211";"Aquitaine (FR61)";"China (CN)";68;3,22;0,03;0,15;18,93;"Artificial Intelligence"
