"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1522432";"Bosnia and Herzegovina (BA)";"United States (US)";1;50;0,02;0;11,65;"Carbon Capture & Storage"
"1719630";"Bosnia and Herzegovina (BA)";"United States (US)";1;2,13;0,02;0,07;6,73;"Biomass Energy"
"1889426";"Bosnia and Herzegovina (BA)";"United States (US)";3;4,69;0,05;0,05;4,71;"Internet of Things (IoT)"
"495555";"Bosnia and Herzegovina (BA)";"United States (US)";1;11,11;0,11;0,05;5,05;"Hydroelectric Power"
"2242517";"Bosnia and Herzegovina (BA)";"United States (US)";1;2,5;0,01;0,04;6,49;"Solar Energy"
"1856022";"Bosnia and Herzegovina (BA)";"United States (US)";3;6,98;0,04;0,05;8,08;"Cloud Computing & Edge Computing"
"40029";"Bosnia and Herzegovina (BA)";"United States (US)";4;5,41;0,05;0,05;5,55;"Waste Management"
"1879019";"Bosnia and Herzegovina (BA)";"United States (US)";4;5,8;0,03;0,05;8,72;"Smart Grid"
"2366316";"Bosnia and Herzegovina (BA)";"United States (US)";1;1,64;0,01;0,06;6,77;"Green Building"
"44675";"Bosnia and Herzegovina (BA)";"United States (US)";3;11,54;0,01;0,01;11,32;"Quantum Technologies"
"50746";"Bosnia and Herzegovina (BA)";"United States (US)";7;6,6;0,02;0,03;10,35;"Environmental Engineering"
"1870414";"Bosnia and Herzegovina (BA)";"United States (US)";1;2,94;0,02;0,04;7,17;"EVs & Charging Infrastructure"
"2579810";"Bosnia and Herzegovina (BA)";"United States (US)";2;28,57;0,01;0;11,62;"Semiconductors/Chips"
"373646";"Bosnia and Herzegovina (BA)";"United States (US)";2;2,99;0,01;0,02;6,9;"Biomaterials"
"212309";"Bosnia and Herzegovina (BA)";"United States (US)";2;3,33;0,02;0,04;7,52;"Mobile Networks (5G/6G)"
"1217214";"Bosnia and Herzegovina (BA)";"United States (US)";1;25;0,02;0,01;12,69;"Satellite Connectivity"
"118139";"Bosnia and Herzegovina (BA)";"United States (US)";70;9,35;0,02;0,03;19,15;"Other"
"2631111";"Bosnia and Herzegovina (BA)";"United States (US)";7;11,11;0,03;0,03;11,89;"Cybersecurity Technologies"
"462518";"Bosnia and Herzegovina (BA)";"United States (US)";2;1,55;0;0,02;10,79;"Computer Vision, Language Processing & Object Recognition"
"381373";"Bosnia and Herzegovina (BA)";"United States (US)";1;1,25;0,01;0,03;5,19;"Green Consumer Goods"
"353332";"Bosnia and Herzegovina (BA)";"United States (US)";1;1,79;0,01;0,03;5,22;"Recycling"
"314492";"Bosnia and Herzegovina (BA)";"United States (US)";4;3,17;0,01;0,03;10,24;"Robotics"
"637151";"Bosnia and Herzegovina (BA)";"United States (US)";17;4,45;0,01;0,03;13,34;"Artificial Intelligence"
