"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1209";"Braunschweig (DE91)";"China (CN)";2;20;0,02;0,04;40,87;"Drones"
"542456";"Braunschweig (DE91)";"China (CN)";13;24,07;0,07;0,07;26,86;"Pollution Control"
"2917109";"Braunschweig (DE91)";"China (CN)";26;30,59;0,18;0,17;29;"Carbon Capture & Storage"
"3038108";"Braunschweig (DE91)";"China (CN)";49;43,36;0,36;0,19;22,11;"Sustainable Agriculture"
"3040107";"Braunschweig (DE91)";"China (CN)";32;26,45;0,24;0,19;21,49;"Biomass Energy"
"3383106";"Braunschweig (DE91)";"China (CN)";4;7,69;0,02;0,04;21,82;"Internet of Things (IoT)"
"403678";"Braunschweig (DE91)";"China (CN)";39;66,1;0,12;0,07;36,46;"Water Management"
"399670";"Braunschweig (DE91)";"China (CN)";7;7,14;0,05;0,14;21,43;"Nuclear Energy"
"415460";"Braunschweig (DE91)";"China (CN)";12;11,01;0,05;0,1;23,25;"Solar Energy"
"3501104";"Braunschweig (DE91)";"China (CN)";8;15,69;0,04;0,06;21,85;"Cloud Computing & Edge Computing"
"756833";"Braunschweig (DE91)";"China (CN)";21;9,5;0,07;0,15;20,73;"Waste Management"
"2157107";"Braunschweig (DE91)";"China (CN)";3;6,25;0,01;0,05;43,6;"Generative AI"
"2961104";"Braunschweig (DE91)";"China (CN)";1;3,57;0,01;0,03;12,8;"Blockchain Technologies"
"365760";"Braunschweig (DE91)";"China (CN)";12;17,39;0,05;0,09;32,36;"Energy Efficiency"
"335770";"Braunschweig (DE91)";"China (CN)";3;3,66;0,01;0,06;31,98;"Smart Grid"
"456639";"Braunschweig (DE91)";"China (CN)";11;5,67;0,06;0,19;18,28;"Green Building"
"403448";"Braunschweig (DE91)";"China (CN)";17;12,59;0,1;0,16;21,04;"Biofuels"
"821325";"Braunschweig (DE91)";"China (CN)";156;27,81;0,25;0,17;19,34;"Quantum Technologies"
"230590";"Braunschweig (DE91)";"China (CN)";11;22,45;0,16;0,18;24,78;"Geothermal Energy"
"944523";"Braunschweig (DE91)";"China (CN)";104;19,96;0,11;0,16;27,65;"Environmental Engineering"
"339168";"Braunschweig (DE91)";"China (CN)";6;4,29;0,03;0,17;25,13;"EVs & Charging Infrastructure"
"420229";"Braunschweig (DE91)";"China (CN)";21;4,6;0,02;0,18;42,46;"Battery"
"465028";"Braunschweig (DE91)";"China (CN)";10;3,7;0,02;0,13;24,48;"Semiconductors/Chips"
"691025";"Braunschweig (DE91)";"China (CN)";87;17,09;0,1;0,15;26,04;"Biomaterials"
"327236";"Braunschweig (DE91)";"China (CN)";29;13,62;0,05;0,15;42,46;"Hydrogen Fuel Cells"
"306530";"Braunschweig (DE91)";"China (CN)";29;21,17;0,1;0,12;26,05;"Heat Pumps"
"386727";"Braunschweig (DE91)";"China (CN)";37;18,41;0,08;0,12;28,79;"Mobile Networks (5G/6G)"
"228630";"Braunschweig (DE91)";"China (CN)";7;24,14;0,06;0,09;33,92;"Satellite Connectivity"
"472520";"Braunschweig (DE91)";"China (CN)";15;23,81;0,1;0,09;21,74;"High-Performance Computing (HPC)"
"209897";"Braunschweig (DE91)";"China (CN)";929;24,24;0,2;0,16;18,88;"Other"
"467817";"Braunschweig (DE91)";"China (CN)";9;6,82;0,02;0,06;23,26;"Cybersecurity Technologies"
"277219";"Braunschweig (DE91)";"China (CN)";4;2,82;0,04;0,22;17,08;"Software Engineering & System Development"
"828181";"Braunschweig (DE91)";"China (CN)";23;4,17;0,01;0,08;36,18;"Computer Vision, Language Processing & Object Recognition"
"695813";"Braunschweig (DE91)";"China (CN)";51;14,53;0,08;0,13;24,08;"Green Consumer Goods"
"644812";"Braunschweig (DE91)";"China (CN)";28;10,85;0,07;0,15;23,53;"Recycling"
"570411";"Braunschweig (DE91)";"China (CN)";49;8,22;0,04;0,16;32,76;"Robotics"
"1143011";"Braunschweig (DE91)";"China (CN)";101;6,47;0,04;0,11;18,93;"Artificial Intelligence"
