"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"26760";"Burundi (BI)";"United States (US)";1;100;0,02;0;6,42;"Pollution Control"
"1516432";"Burundi (BI)";"United States (US)";3;100;0,05;0,01;11,65;"Carbon Capture & Storage"
"2242918";"Burundi (BI)";"United States (US)";1;100;0,01;0;15,64;"Nuclear Energy"
"39849";"Burundi (BI)";"United States (US)";1;20;0,01;0;5,55;"Waste Management"
"1226530";"Burundi (BI)";"United States (US)";2;40;0,02;0,01;10,05;"Generative AI"
"2016520";"Burundi (BI)";"United States (US)";1;33,33;0,02;0;7,09;"Energy Efficiency"
"2367014";"Burundi (BI)";"United States (US)";1;14,29;0,01;0,01;6,77;"Green Building"
"2033717";"Burundi (BI)";"United States (US)";1;100;0,02;0;6,84;"Biofuels"
"44515";"Burundi (BI)";"United States (US)";35;59,32;0,09;0,02;11,32;"Quantum Technologies"
"50808";"Burundi (BI)";"United States (US)";3;25;0,01;0;10,35;"Environmental Engineering"
"2398911";"Burundi (BI)";"United States (US)";1;20;0,01;0;7,26;"Battery"
"2584910";"Burundi (BI)";"United States (US)";2;18,18;0,01;0,01;11,62;"Semiconductors/Chips"
"373239";"Burundi (BI)";"United States (US)";1;10;0;0;6,9;"Biomaterials"
"1955710";"Burundi (BI)";"United States (US)";2;100;0,02;0;7,87;"Hydrogen Fuel Cells"
"118042";"Burundi (BI)";"United States (US)";53;43,8;0,01;0,01;19,15;"Other"
"2623111";"Burundi (BI)";"United States (US)";2;25;0,01;0;11,89;"Cybersecurity Technologies"
"164406";"Burundi (BI)";"United States (US)";2;200;0,02;0;14,5;"Software Engineering & System Development"
"462218";"Burundi (BI)";"United States (US)";20;55,56;0,03;0,01;10,79;"Computer Vision, Language Processing & Object Recognition"
"314172";"Burundi (BI)";"United States (US)";10;83,33;0,03;0;10,24;"Robotics"
"638721";"Burundi (BI)";"United States (US)";51;18,82;0,03;0,02;13,34;"Artificial Intelligence"
