"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7018";"Comunidad Valenciana (ES52)";"United States (US)";3;12;0,17;0,11;7,33;"Drones"
"26761";"Comunidad Valenciana (ES52)";"United States (US)";8;3,08;0,17;0,36;6,42;"Pollution Control"
"1505234";"Comunidad Valenciana (ES52)";"United States (US)";9;11,39;0,16;0,16;11,65;"Carbon Capture & Storage"
"1654232";"Comunidad Valenciana (ES52)";"United States (US)";5;5,21;0,11;0,16;7,7;"Sustainable Agriculture"
"1722030";"Comunidad Valenciana (ES52)";"United States (US)";11;13,58;0,26;0,13;6,73;"Biomass Energy"
"1904026";"Comunidad Valenciana (ES52)";"United States (US)";21;9,33;0,38;0,19;4,71;"Internet of Things (IoT)"
"2073133";"Comunidad Valenciana (ES52)";"United States (US)";26;10,36;0,47;0,29;6,37;"Water Management"
"2241320";"Comunidad Valenciana (ES52)";"United States (US)";26;18,98;0,23;0,19;15,64;"Nuclear Energy"
"2262917";"Comunidad Valenciana (ES52)";"United States (US)";14;7;0,19;0,18;6,49;"Solar Energy"
"1839722";"Comunidad Valenciana (ES52)";"United States (US)";24;10,96;0,34;0,25;8,08;"Cloud Computing & Edge Computing"
"39970";"Comunidad Valenciana (ES52)";"United States (US)";24;6,19;0,29;0,26;5,55;"Waste Management"
"1224030";"Comunidad Valenciana (ES52)";"United States (US)";2;2,44;0,02;0,09;10,05;"Generative AI"
"1662224";"Comunidad Valenciana (ES52)";"United States (US)";3;3,9;0,06;0,07;4,71;"Blockchain Technologies"
"2016020";"Comunidad Valenciana (ES52)";"United States (US)";7;5,65;0,12;0,15;7,09;"Energy Efficiency"
"1902221";"Comunidad Valenciana (ES52)";"United States (US)";2;1,89;0,02;0,08;8,72;"Smart Grid"
"2381120";"Comunidad Valenciana (ES52)";"United States (US)";19;4,92;0,27;0,37;6,77;"Green Building"
"2019417";"Comunidad Valenciana (ES52)";"United States (US)";6;3,17;0,11;0,23;6,84;"Biofuels"
"44676";"Comunidad Valenciana (ES52)";"United States (US)";420;42,86;1,13;0,3;11,32;"Quantum Technologies"
"1107128";"Comunidad Valenciana (ES52)";"United States (US)";3;11,11;0,13;0,1;8,37;"Geothermal Energy"
"50605";"Comunidad Valenciana (ES52)";"United States (US)";107;14,38;0,31;0,22;10,35;"Environmental Engineering"
"1862714";"Comunidad Valenciana (ES52)";"United States (US)";4;2,78;0,07;0,18;7,17;"EVs & Charging Infrastructure"
"2398711";"Comunidad Valenciana (ES52)";"United States (US)";15;4,64;0,08;0,12;7,26;"Battery"
"2604710";"Comunidad Valenciana (ES52)";"United States (US)";29;9,83;0,12;0,14;11,62;"Semiconductors/Chips"
"373158";"Comunidad Valenciana (ES52)";"United States (US)";35;4,17;0,15;0,25;6,9;"Biomaterials"
"1947710";"Comunidad Valenciana (ES52)";"United States (US)";25;7;0,22;0,25;7,87;"Hydrogen Fuel Cells"
"1596911";"Comunidad Valenciana (ES52)";"United States (US)";12;8,16;0,15;0,13;7,13;"Heat Pumps"
"212289";"Comunidad Valenciana (ES52)";"United States (US)";32;13,68;0,26;0,14;7,52;"Mobile Networks (5G/6G)"
"1197115";"Comunidad Valenciana (ES52)";"United States (US)";12;40;0,3;0,09;12,69;"Satellite Connectivity"
"2489210";"Comunidad Valenciana (ES52)";"United States (US)";29;14,36;0,23;0,28;17,7;"High-Performance Computing (HPC)"
"117846";"Comunidad Valenciana (ES52)";"United States (US)";914;18,64;0,2;0,2;19,15;"Other"
"262896";"Comunidad Valenciana (ES52)";"United States (US)";14;8,81;0,06;0,08;11,89;"Cybersecurity Technologies"
"163936";"Comunidad Valenciana (ES52)";"United States (US)";12;9,38;0,13;0,2;14,5;"Software Engineering & System Development"
"463542";"Comunidad Valenciana (ES52)";"United States (US)";101;10,72;0,14;0,14;10,79;"Computer Vision, Language Processing & Object Recognition"
"381473";"Comunidad Valenciana (ES52)";"United States (US)";42;3,45;0,3;0,45;5,19;"Green Consumer Goods"
"356042";"Comunidad Valenciana (ES52)";"United States (US)";30;4,25;0,34;0,41;5,22;"Recycling"
"314552";"Comunidad Valenciana (ES52)";"United States (US)";57;10,82;0,15;0,14;10,24;"Robotics"
"638601";"Comunidad Valenciana (ES52)";"United States (US)";202;8,97;0,11;0,16;13,34;"Artificial Intelligence"
