"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1253";"Devon (UKK4)";"China (CN)";26;236,36;0,27;0,05;40,87;"Drones"
"527756";"Devon (UKK4)";"China (CN)";18;8,22;0,09;0,3;26,86;"Pollution Control"
"2887109";"Devon (UKK4)";"China (CN)";26;68,42;0,18;0,08;29;"Carbon Capture & Storage"
"2960108";"Devon (UKK4)";"China (CN)";9;69,23;0,07;0,02;22,11;"Sustainable Agriculture"
"3224107";"Devon (UKK4)";"China (CN)";6;60;0,04;0,02;21,49;"Biomass Energy"
"3575101";"Devon (UKK4)";"China (CN)";112;329,41;0,43;0,03;21,82;"Internet of Things (IoT)"
"1062157";"Devon (UKK4)";"China (CN)";8;66,67;0,11;0,06;39,44;"Hydroelectric Power"
"1051156";"Devon (UKK4)";"China (CN)";70;83,33;1,24;0,48;32,38;"Wind Energy"
"400279";"Devon (UKK4)";"China (CN)";32;53,33;0,1;0,07;36,46;"Water Management"
"415767";"Devon (UKK4)";"China (CN)";5;55,56;0,03;0,01;21,43;"Nuclear Energy"
"420756";"Devon (UKK4)";"China (CN)";25;37,88;0,09;0,06;23,25;"Solar Energy"
"353979";"Devon (UKK4)";"China (CN)";110;366,67;0,58;0,03;21,85;"Cloud Computing & Edge Computing"
"749333";"Devon (UKK4)";"China (CN)";25;16,03;0,08;0,1;20,73;"Waste Management"
"2385106";"Devon (UKK4)";"China (CN)";20;76,92;0,05;0,03;43,6;"Generative AI"
"2788103";"Devon (UKK4)";"China (CN)";43;238,89;0,32;0,02;12,8;"Blockchain Technologies"
"341979";"Devon (UKK4)";"China (CN)";13;36,11;0,05;0,04;32,36;"Energy Efficiency"
"336970";"Devon (UKK4)";"China (CN)";25;47,17;0,06;0,04;31,98;"Smart Grid"
"440439";"Devon (UKK4)";"China (CN)";16;25;0,08;0,06;18,28;"Green Building"
"394848";"Devon (UKK4)";"China (CN)";3;9,38;0,02;0,04;21,04;"Biofuels"
"819625";"Devon (UKK4)";"China (CN)";15;10,34;0,02;0,04;19,34;"Quantum Technologies"
"2306100";"Devon (UKK4)";"China (CN)";14;140;0,21;0,04;24,78;"Geothermal Energy"
"936923";"Devon (UKK4)";"China (CN)";151;38,04;0,16;0,12;27,65;"Environmental Engineering"
"339547";"Devon (UKK4)";"China (CN)";7;14,89;0,03;0,06;25,13;"EVs & Charging Infrastructure"
"406036";"Devon (UKK4)";"China (CN)";78;89,66;0,07;0,03;42,46;"Battery"
"466228";"Devon (UKK4)";"China (CN)";7;16,67;0,01;0,02;24,48;"Semiconductors/Chips"
"696025";"Devon (UKK4)";"China (CN)";29;30,85;0,03;0,03;26,04;"Biomaterials"
"329536";"Devon (UKK4)";"China (CN)";54;120;0,09;0,03;42,46;"Hydrogen Fuel Cells"
"301230";"Devon (UKK4)";"China (CN)";31;163,16;0,11;0,02;26,05;"Heat Pumps"
"397129";"Devon (UKK4)";"China (CN)";101;258,97;0,22;0,02;28,79;"Mobile Networks (5G/6G)"
"236230";"Devon (UKK4)";"China (CN)";8;400;0,07;0,01;33,92;"Satellite Connectivity"
"470920";"Devon (UKK4)";"China (CN)";35;159,09;0,22;0,03;21,74;"High-Performance Computing (HPC)"
"211797";"Devon (UKK4)";"China (CN)";1183;22,48;0,26;0,22;18,88;"Other"
"470517";"Devon (UKK4)";"China (CN)";92;103,37;0,19;0,04;23,26;"Cybersecurity Technologies"
"276419";"Devon (UKK4)";"China (CN)";14;87,5;0,13;0,02;17,08;"Software Engineering & System Development"
"813451";"Devon (UKK4)";"China (CN)";107;40,84;0,04;0,04;36,18;"Computer Vision, Language Processing & Object Recognition"
"681713";"Devon (UKK4)";"China (CN)";36;34,29;0,06;0,04;24,08;"Green Consumer Goods"
"654112";"Devon (UKK4)";"China (CN)";46;25,41;0,11;0,11;23,53;"Recycling"
"557411";"Devon (UKK4)";"China (CN)";49;38,28;0,04;0,04;32,76;"Robotics"
"1157911";"Devon (UKK4)";"China (CN)";219;7,07;0,08;0,22;18,93;"Artificial Intelligence"
