"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1711232";"DR Congo (CD)";"United States (US)";1;8,33;0,02;0,02;6,73;"Biomass Energy"
"1908926";"DR Congo (CD)";"United States (US)";1;11,11;0,02;0,01;4,71;"Internet of Things (IoT)"
"2063922";"DR Congo (CD)";"United States (US)";2;40;0,04;0,01;6,37;"Water Management"
"40074";"DR Congo (CD)";"United States (US)";4;12,12;0,05;0,02;5,55;"Waste Management"
"1646523";"DR Congo (CD)";"United States (US)";1;11,11;0,02;0,01;4,71;"Blockchain Technologies"
"1894124";"DR Congo (CD)";"United States (US)";2;14,29;0,02;0,01;8,72;"Smart Grid"
"50537";"DR Congo (CD)";"United States (US)";11;20;0,03;0,02;10,35;"Environmental Engineering"
"1881216";"DR Congo (CD)";"United States (US)";2;50;0,03;0;7,17;"EVs & Charging Infrastructure"
"2381313";"DR Congo (CD)";"United States (US)";3;60;0,02;0;7,26;"Battery"
"373286";"DR Congo (CD)";"United States (US)";1;7,69;0;0;6,9;"Biomaterials"
"1592811";"DR Congo (CD)";"United States (US)";1;33,33;0,01;0;7,13;"Heat Pumps"
"213579";"DR Congo (CD)";"United States (US)";2;50;0,02;0;7,52;"Mobile Networks (5G/6G)"
"1209414";"DR Congo (CD)";"United States (US)";2;200;0,05;0;12,69;"Satellite Connectivity"
"117909";"DR Congo (CD)";"United States (US)";171;26,39;0,04;0,03;19,15;"Other"
"263166";"DR Congo (CD)";"United States (US)";1;5,88;0;0,01;11,89;"Cybersecurity Technologies"
"464372";"DR Congo (CD)";"United States (US)";2;13,33;0;0;10,79;"Computer Vision, Language Processing & Object Recognition"
"380593";"DR Congo (CD)";"United States (US)";1;20;0,01;0;5,19;"Green Consumer Goods"
"354002";"DR Congo (CD)";"United States (US)";1;5,56;0,01;0,01;5,22;"Recycling"
"638021";"DR Congo (CD)";"United States (US)";6;5,83;0;0,01;13,34;"Artificial Intelligence"
