"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1265";"Eesti (EE00)";"China (CN)";1;8,33;0,01;0,05;40,87;"Drones"
"521656";"Eesti (EE00)";"China (CN)";4;7,27;0,02;0,08;26,86;"Pollution Control"
"2773122";"Eesti (EE00)";"China (CN)";6;17,65;0,04;0,07;29;"Carbon Capture & Storage"
"2967108";"Eesti (EE00)";"China (CN)";5;8,33;0,04;0,1;22,11;"Sustainable Agriculture"
"3228107";"Eesti (EE00)";"China (CN)";5;9,62;0,04;0,08;21,49;"Biomass Energy"
"3431118";"Eesti (EE00)";"China (CN)";3;5,08;0,01;0,05;21,82;"Internet of Things (IoT)"
"972156";"Eesti (EE00)";"China (CN)";2;20;0,04;0,06;32,38;"Wind Energy"
"396078";"Eesti (EE00)";"China (CN)";13;27,66;0,04;0,05;36,46;"Water Management"
"404870";"Eesti (EE00)";"China (CN)";9;27,27;0,06;0,05;21,43;"Nuclear Energy"
"418186";"Eesti (EE00)";"China (CN)";3;4,11;0,01;0,06;23,25;"Solar Energy"
"3340100";"Eesti (EE00)";"China (CN)";2;3,51;0,01;0,07;21,85;"Cloud Computing & Edge Computing"
"766033";"Eesti (EE00)";"China (CN)";6;5,31;0,02;0,07;20,73;"Waste Management"
"2275107";"Eesti (EE00)";"China (CN)";1;2,44;0;0,04;43,6;"Generative AI"
"289880";"Eesti (EE00)";"China (CN)";4;4,88;0,03;0,08;12,8;"Blockchain Technologies"
"356060";"Eesti (EE00)";"China (CN)";25;23,15;0,1;0,13;32,36;"Energy Efficiency"
"348859";"Eesti (EE00)";"China (CN)";31;13,78;0,07;0,17;31,98;"Smart Grid"
"454539";"Eesti (EE00)";"China (CN)";30;18,18;0,16;0,16;18,28;"Green Building"
"382650";"Eesti (EE00)";"China (CN)";5;7,35;0,03;0,08;21,04;"Biofuels"
"807525";"Eesti (EE00)";"China (CN)";187;57,19;0,3;0,1;19,34;"Quantum Technologies"
"243590";"Eesti (EE00)";"China (CN)";7;18,92;0,1;0,14;24,78;"Geothermal Energy"
"956223";"Eesti (EE00)";"China (CN)";47;15,51;0,05;0,09;27,65;"Environmental Engineering"
"341547";"Eesti (EE00)";"China (CN)";9;16,36;0,04;0,07;25,13;"EVs & Charging Infrastructure"
"424429";"Eesti (EE00)";"China (CN)";7;3,47;0,01;0,08;42,46;"Battery"
"476136";"Eesti (EE00)";"China (CN)";19;9;0,04;0,1;24,48;"Semiconductors/Chips"
"703418";"Eesti (EE00)";"China (CN)";7;3,4;0,01;0,06;26,04;"Biomaterials"
"335636";"Eesti (EE00)";"China (CN)";5;2,54;0,01;0,14;42,46;"Hydrogen Fuel Cells"
"303630";"Eesti (EE00)";"China (CN)";7;16,28;0,02;0,04;26,05;"Heat Pumps"
"372027";"Eesti (EE00)";"China (CN)";4;5,97;0,01;0,04;28,79;"Mobile Networks (5G/6G)"
"223730";"Eesti (EE00)";"China (CN)";1;5;0,01;0,06;33,92;"Satellite Connectivity"
"472220";"Eesti (EE00)";"China (CN)";2;4,44;0,01;0,06;21,74;"High-Performance Computing (HPC)"
"213197";"Eesti (EE00)";"China (CN)";334;18,86;0,07;0,07;18,88;"Other"
"457217";"Eesti (EE00)";"China (CN)";12;5,02;0,03;0,12;23,26;"Cybersecurity Technologies"
"281319";"Eesti (EE00)";"China (CN)";2;1,87;0,02;0,17;17,08;"Software Engineering & System Development"
"829951";"Eesti (EE00)";"China (CN)";7;2,73;0;0,04;36,18;"Computer Vision, Language Processing & Object Recognition"
"699410";"Eesti (EE00)";"China (CN)";3;1,84;0;0,06;24,08;"Green Consumer Goods"
"632412";"Eesti (EE00)";"China (CN)";4;3,51;0,01;0,07;23,53;"Recycling"
"559011";"Eesti (EE00)";"China (CN)";2;0,9;0;0,06;32,76;"Robotics"
"1145511";"Eesti (EE00)";"China (CN)";44;3,77;0,02;0,08;18,93;"Artificial Intelligence"
