"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7067";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";9;52,94;0,52;0,07;7,33;"Drones"
"26528";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";15;17,86;0,32;0,12;6,42;"Pollution Control"
"1513333";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";25;39,06;0,43;0,13;11,65;"Carbon Capture & Storage"
"1664146";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";15;33,33;0,32;0,07;7,7;"Sustainable Agriculture"
"1710730";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";4;26,67;0,09;0,02;6,73;"Biomass Energy"
"1909726";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";36;37,89;0,64;0,08;4,71;"Internet of Things (IoT)"
"496955";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";1;11,11;0,11;0,05;5,05;"Hydroelectric Power"
"508848";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";5;20;0,47;0,14;6,15;"Wind Energy"
"2064133";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";13;22,41;0,24;0,07;6,37;"Water Management"
"2253718";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";47;51,65;0,42;0,13;15,64;"Nuclear Energy"
"2265817";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";10;15,62;0,13;0,06;6,49;"Solar Energy"
"1846422";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";45;49,45;0,64;0,1;8,08;"Cloud Computing & Edge Computing"
"40156";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";25;19,53;0,3;0,08;5,55;"Waste Management"
"1236830";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";28;35,9;0,29;0,08;10,05;"Generative AI"
"1650224";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";31;41,33;0,63;0,07;4,71;"Blockchain Technologies"
"2037321";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";32;44,44;0,56;0,09;7,09;"Energy Efficiency"
"1897320";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";23;22,77;0,2;0,08;8,72;"Smart Grid"
"2381914";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";24;11,94;0,34;0,19;6,77;"Green Building"
"2016417";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";18;26,47;0,32;0,08;6,84;"Biofuels"
"44763";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";532;66,09;1,44;0,25;11,32;"Quantum Technologies"
"1109324";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";11;37,93;0,49;0,11;8,37;"Geothermal Energy"
"50648";"Gloucestershire, Wiltshire and Bristol/Bath area (UKK1)";"United States (US)";159;33,06;0,46;0,14;10,35;"Environmental Engineering"
