"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7075";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";6;17,65;0,34;0,14;7,33;"Drones"
"26649";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";38;38,78;0,82;0,13;6,42;"Pollution Control"
"1499832";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";19;37,25;0,33;0,1;11,65;"Carbon Capture & Storage"
"1670731";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";2;13,33;0,04;0,02;7,7;"Sustainable Agriculture"
"1714142";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";3;42,86;0,07;0,01;6,73;"Biomass Energy"
"1889141";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";19;57,58;0,34;0,03;4,71;"Internet of Things (IoT)"
"495355";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";4;66,67;0,43;0,03;5,05;"Hydroelectric Power"
"2090022";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";12;37,5;0,22;0,04;6,37;"Water Management"
"2240918";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";4;14,81;0,04;0,04;15,64;"Nuclear Energy"
"2245418";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";7;13,21;0,09;0,05;6,49;"Solar Energy"
"1846022";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";13;43,33;0,18;0,03;8,08;"Cloud Computing & Edge Computing"
"40125";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";34;29,82;0,4;0,08;5,55;"Waste Management"
"1227230";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";2;4,44;0,02;0,05;10,05;"Generative AI"
"1651623";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";10;18,18;0,2;0,05;4,71;"Blockchain Technologies"
"2026321";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";5;19,23;0,09;0,03;7,09;"Energy Efficiency"
"1889519";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";7;15,91;0,06;0,03;8,72;"Smart Grid"
"2381216";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";5;9,62;0,07;0,05;6,77;"Green Building"
"2028219";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";8;36,36;0,14;0,03;6,84;"Biofuels"
"44621";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";159;55,21;0,43;0,09;11,32;"Quantum Technologies"
"1093024";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";7;31,82;0,31;0,08;8,37;"Geothermal Energy"
"50818";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";90;30,41;0,26;0,09;10,35;"Environmental Engineering"
"1881019";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";5;9,26;0,09;0,07;7,17;"EVs & Charging Infrastructure"
"2398412";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";15;9,32;0,08;0,06;7,26;"Battery"
"2602910";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";29;12,24;0,12;0,12;11,62;"Semiconductors/Chips"
"374239";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";50;26,46;0,22;0,06;6,9;"Biomaterials"
"1957510";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";14;21,88;0,12;0,04;7,87;"Hydrogen Fuel Cells"
"1598011";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";5;12,2;0,06;0,04;7,13;"Heat Pumps"
"211809";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";63;47,01;0,52;0,08;7,52;"Mobile Networks (5G/6G)"
"1215414";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";29;74,36;0,72;0,12;12,69;"Satellite Connectivity"
"2465210";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";15;46,88;0,12;0,04;17,7;"High-Performance Computing (HPC)"
"118003";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";1480;53,33;0,32;0,11;19,15;"Other"
"261686";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";38;23,03;0,16;0,08;11,89;"Cybersecurity Technologies"
"164776";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";6;15,38;0,06;0,06;14,5;"Software Engineering & System Development"
"463682";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";93;22,52;0,13;0,06;10,79;"Computer Vision, Language Processing & Object Recognition"
"381963";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";67;37,22;0,48;0,07;5,19;"Green Consumer Goods"
"355862";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";48;35,82;0,54;0,08;5,22;"Recycling"
"315932";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";42;17,72;0,11;0,07;10,24;"Robotics"
"636971";"Hampshire and Isle of Wight (UKJ3)";"United States (US)";241;14,97;0,13;0,11;13,34;"Artificial Intelligence"
