"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1188";"Hovedstaden (DK01)";"China (CN)";3;30;0,03;0,04;40,87;"Drones"
"542756";"Hovedstaden (DK01)";"China (CN)";59;20,42;0,3;0,4;26,86;"Pollution Control"
"2961121";"Hovedstaden (DK01)";"China (CN)";52;22,61;0,36;0,46;29;"Carbon Capture & Storage"
"3083109";"Hovedstaden (DK01)";"China (CN)";18;24,66;0,13;0,12;22,11;"Sustainable Agriculture"
"3240107";"Hovedstaden (DK01)";"China (CN)";34;36,56;0,25;0,15;21,49;"Biomass Energy"
"3370106";"Hovedstaden (DK01)";"China (CN)";19;27,54;0,07;0,06;21,82;"Internet of Things (IoT)"
"946157";"Hovedstaden (DK01)";"China (CN)";2;16,67;0,03;0,06;39,44;"Hydroelectric Power"
"988156";"Hovedstaden (DK01)";"China (CN)";44;36,36;0,78;0,7;32,38;"Wind Energy"
"406878";"Hovedstaden (DK01)";"China (CN)";55;28,06;0,17;0,23;36,46;"Water Management"
"392670";"Hovedstaden (DK01)";"China (CN)";25;28,09;0,16;0,13;21,43;"Nuclear Energy"
"4061101";"Hovedstaden (DK01)";"China (CN)";85;43,59;0,32;0,17;23,25;"Solar Energy"
"347979";"Hovedstaden (DK01)";"China (CN)";15;19,48;0,08;0,09;21,85;"Cloud Computing & Edge Computing"
"763833";"Hovedstaden (DK01)";"China (CN)";142;32,2;0,45;0,29;20,73;"Waste Management"
"2172108";"Hovedstaden (DK01)";"China (CN)";17;20,48;0,04;0,09;43,6;"Generative AI"
"299480";"Hovedstaden (DK01)";"China (CN)";35;30,97;0,26;0,11;12,8;"Blockchain Technologies"
"340879";"Hovedstaden (DK01)";"China (CN)";139;30,82;0,54;0,56;32,36;"Energy Efficiency"
"334570";"Hovedstaden (DK01)";"China (CN)";183;47,04;0,43;0,29;31,98;"Smart Grid"
"458739";"Hovedstaden (DK01)";"China (CN)";110;23,91;0,58;0,44;18,28;"Green Building"
"388179";"Hovedstaden (DK01)";"China (CN)";144;32,8;0,83;0,53;21,04;"Biofuels"
"819225";"Hovedstaden (DK01)";"China (CN)";340;33,11;0,54;0,31;19,34;"Quantum Technologies"
"2342101";"Hovedstaden (DK01)";"China (CN)";48;33,33;0,72;0,53;24,78;"Geothermal Energy"
"949623";"Hovedstaden (DK01)";"China (CN)";293;23,5;0,32;0,37;27,65;"Environmental Engineering"
"319747";"Hovedstaden (DK01)";"China (CN)";68;24,11;0,33;0,35;25,13;"EVs & Charging Infrastructure"
"423229";"Hovedstaden (DK01)";"China (CN)";131;32,51;0,12;0,16;42,46;"Battery"
"472628";"Hovedstaden (DK01)";"China (CN)";65;16,93;0,13;0,19;24,48;"Semiconductors/Chips"
"711318";"Hovedstaden (DK01)";"China (CN)";102;17,41;0,12;0,18;26,04;"Biomaterials"
"337836";"Hovedstaden (DK01)";"China (CN)";167;24,85;0,27;0,46;42,46;"Hydrogen Fuel Cells"
"304330";"Hovedstaden (DK01)";"China (CN)";62;42,76;0,21;0,13;26,05;"Heat Pumps"
"390026";"Hovedstaden (DK01)";"China (CN)";14;13,46;0,03;0,06;28,79;"Mobile Networks (5G/6G)"
"236730";"Hovedstaden (DK01)";"China (CN)";1;5,26;0,01;0,06;33,92;"Satellite Connectivity"
"463620";"Hovedstaden (DK01)";"China (CN)";11;11;0,07;0,14;21,74;"High-Performance Computing (HPC)"
"212847";"Hovedstaden (DK01)";"China (CN)";1662;22,23;0,36;0,31;18,88;"Other"
"462517";"Hovedstaden (DK01)";"China (CN)";93;33,45;0,19;0,14;23,26;"Cybersecurity Technologies"
"280419";"Hovedstaden (DK01)";"China (CN)";5;3,94;0,05;0,2;17,08;"Software Engineering & System Development"
"845351";"Hovedstaden (DK01)";"China (CN)";92;9,9;0,04;0,14;36,18;"Computer Vision, Language Processing & Object Recognition"
"684013";"Hovedstaden (DK01)";"China (CN)";100;19,84;0,15;0,19;24,08;"Green Consumer Goods"
"655612";"Hovedstaden (DK01)";"China (CN)";77;19,69;0,19;0,23;23,53;"Recycling"
"570911";"Hovedstaden (DK01)";"China (CN)";58;11,53;0,05;0,14;32,76;"Robotics"
"1158611";"Hovedstaden (DK01)";"China (CN)";279;8,08;0,1;0,25;18,93;"Artificial Intelligence"
