"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"6977";"Jihozápad (CZ03)";"United States (US)";1;14,29;0,06;0,03;7,33;"Drones"
"26814";"Jihozápad (CZ03)";"United States (US)";4;17,39;0,09;0,03;6,42;"Pollution Control"
"1508032";"Jihozápad (CZ03)";"United States (US)";3;150;0,05;0;11,65;"Carbon Capture & Storage"
"1664731";"Jihozápad (CZ03)";"United States (US)";4;17,39;0,09;0,04;7,7;"Sustainable Agriculture"
"1704930";"Jihozápad (CZ03)";"United States (US)";4;16,67;0,09;0,04;6,73;"Biomass Energy"
"1902228";"Jihozápad (CZ03)";"United States (US)";1;7,14;0,02;0,01;4,71;"Internet of Things (IoT)"
"2063722";"Jihozápad (CZ03)";"United States (US)";4;13,33;0,07;0,03;6,37;"Water Management"
"2234419";"Jihozápad (CZ03)";"United States (US)";1;2,44;0,01;0,06;15,64;"Nuclear Energy"
"2264717";"Jihozápad (CZ03)";"United States (US)";2;11,11;0,03;0,02;6,49;"Solar Energy"
"1831523";"Jihozápad (CZ03)";"United States (US)";1;14,29;0,01;0,01;8,08;"Cloud Computing & Edge Computing"
"39852";"Jihozápad (CZ03)";"United States (US)";2;4,44;0,02;0,03;5,55;"Waste Management"
"1660823";"Jihozápad (CZ03)";"United States (US)";1;11,11;0,02;0,01;4,71;"Blockchain Technologies"
"2040222";"Jihozápad (CZ03)";"United States (US)";1;6,67;0,02;0,02;7,09;"Energy Efficiency"
"1885819";"Jihozápad (CZ03)";"United States (US)";1;3,57;0,01;0,02;8,72;"Smart Grid"
"2385216";"Jihozápad (CZ03)";"United States (US)";2;6,45;0,03;0,03;6,77;"Green Building"
"2015717";"Jihozápad (CZ03)";"United States (US)";23;31,51;0,41;0,09;6,84;"Biofuels"
"44560";"Jihozápad (CZ03)";"United States (US)";14;37,84;0,04;0,01;11,32;"Quantum Technologies"
"50789";"Jihozápad (CZ03)";"United States (US)";7;10;0,02;0,02;10,35;"Environmental Engineering"
"1863814";"Jihozápad (CZ03)";"United States (US)";1;6,67;0,02;0,02;7,17;"EVs & Charging Infrastructure"
"2386611";"Jihozápad (CZ03)";"United States (US)";5;8,93;0,03;0,02;7,26;"Battery"
"2575312";"Jihozápad (CZ03)";"United States (US)";4;9,09;0,02;0,02;11,62;"Semiconductors/Chips"
"373306";"Jihozápad (CZ03)";"United States (US)";21;23,6;0,09;0,03;6,9;"Biomaterials"
"1937311";"Jihozápad (CZ03)";"United States (US)";2;11,76;0,02;0,01;7,87;"Hydrogen Fuel Cells"
"2126211";"Jihozápad (CZ03)";"United States (US)";3;15;0,02;0,01;7,52;"Mobile Networks (5G/6G)"
"117840";"Jihozápad (CZ03)";"United States (US)";586;26,91;0,13;0,09;19,15;"Other"
"263746";"Jihozápad (CZ03)";"United States (US)";2;12,5;0,01;0,01;11,89;"Cybersecurity Technologies"
"162896";"Jihozápad (CZ03)";"United States (US)";1;5,56;0,01;0,03;14,5;"Software Engineering & System Development"
"464272";"Jihozápad (CZ03)";"United States (US)";6;3,82;0,01;0,02;10,79;"Computer Vision, Language Processing & Object Recognition"
"383223";"Jihozápad (CZ03)";"United States (US)";2;3,45;0,01;0,02;5,19;"Green Consumer Goods"
"355572";"Jihozápad (CZ03)";"United States (US)";2;3,92;0,02;0,03;5,22;"Recycling"
"314612";"Jihozápad (CZ03)";"United States (US)";5;3,85;0,01;0,04;10,24;"Robotics"
"638671";"Jihozápad (CZ03)";"United States (US)";21;7,5;0,01;0,02;13,34;"Artificial Intelligence"
