"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"521090";"Kujawsko-Pomorskie (PL61)";"China (CN)";1;2,13;0,01;0,06;26,86;"Pollution Control"
"405670";"Kujawsko-Pomorskie (PL61)";"China (CN)";1;16,67;0,01;0,01;21,43;"Nuclear Energy"
"405869";"Kujawsko-Pomorskie (PL61)";"China (CN)";4;16,67;0,02;0,02;23,25;"Solar Energy"
"3409100";"Kujawsko-Pomorskie (PL61)";"China (CN)";1;9,09;0,01;0,01;21,85;"Cloud Computing & Edge Computing"
"751733";"Kujawsko-Pomorskie (PL61)";"China (CN)";1;1,59;0;0,04;20,73;"Waste Management"
"344070";"Kujawsko-Pomorskie (PL61)";"China (CN)";1;7,69;0;0,01;31,98;"Smart Grid"
"446039";"Kujawsko-Pomorskie (PL61)";"China (CN)";3;6,38;0,02;0,05;18,28;"Green Building"
"388450";"Kujawsko-Pomorskie (PL61)";"China (CN)";2;8;0,01;0,03;21,04;"Biofuels"
"807325";"Kujawsko-Pomorskie (PL61)";"China (CN)";14;11,29;0,02;0,04;19,34;"Quantum Technologies"
"414334";"Kujawsko-Pomorskie (PL61)";"China (CN)";2;5,88;0;0,01;42,46;"Battery"
"466728";"Kujawsko-Pomorskie (PL61)";"China (CN)";3;5,45;0,01;0,03;24,48;"Semiconductors/Chips"
"687725";"Kujawsko-Pomorskie (PL61)";"China (CN)";2;0,67;0;0,09;26,04;"Biomaterials"
"353429";"Kujawsko-Pomorskie (PL61)";"China (CN)";1;3,12;0;0,02;42,46;"Hydrogen Fuel Cells"
"297230";"Kujawsko-Pomorskie (PL61)";"China (CN)";1;16,67;0;0,01;26,05;"Heat Pumps"
"467220";"Kujawsko-Pomorskie (PL61)";"China (CN)";2;25;0,01;0,01;21,74;"High-Performance Computing (HPC)"
"209457";"Kujawsko-Pomorskie (PL61)";"China (CN)";26;3,28;0,01;0,03;18,88;"Other"
"477417";"Kujawsko-Pomorskie (PL61)";"China (CN)";1;1,82;0;0,03;23,26;"Cybersecurity Technologies"
"842351";"Kujawsko-Pomorskie (PL61)";"China (CN)";10;13,7;0;0,01;36,18;"Computer Vision, Language Processing & Object Recognition"
"707241";"Kujawsko-Pomorskie (PL61)";"China (CN)";2;1,05;0;0,07;24,08;"Green Consumer Goods"
"638712";"Kujawsko-Pomorskie (PL61)";"China (CN)";2;1,49;0;0,08;23,53;"Recycling"
"555011";"Kujawsko-Pomorskie (PL61)";"China (CN)";3;3,3;0;0,02;32,76;"Robotics"
"1139011";"Kujawsko-Pomorskie (PL61)";"China (CN)";11;2,73;0;0,03;18,93;"Artificial Intelligence"
