"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"515356";"Leipzig (DED5)";"China (CN)";26;21,67;0,13;0,17;26,86;"Pollution Control"
"2872116";"Leipzig (DED5)";"China (CN)";13;17,57;0,09;0,15;29;"Carbon Capture & Storage"
"2900108";"Leipzig (DED5)";"China (CN)";4;19,05;0,03;0,03;22,11;"Sustainable Agriculture"
"3103109";"Leipzig (DED5)";"China (CN)";10;20,41;0,07;0,08;21,49;"Biomass Energy"
"1019157";"Leipzig (DED5)";"China (CN)";3;60;0,04;0,03;39,44;"Hydroelectric Power"
"397378";"Leipzig (DED5)";"China (CN)";33;30,28;0,1;0,13;36,46;"Water Management"
"3571103";"Leipzig (DED5)";"China (CN)";1;9,09;0,01;0,01;21,85;"Cloud Computing & Edge Computing"
"749633";"Leipzig (DED5)";"China (CN)";25;17,86;0,08;0,09;20,73;"Waste Management"
"2138107";"Leipzig (DED5)";"China (CN)";1;11,11;0;0,01;43,6;"Generative AI"
"290080";"Leipzig (DED5)";"China (CN)";2;28,57;0,01;0,01;12,8;"Blockchain Technologies"
"343979";"Leipzig (DED5)";"China (CN)";3;5,26;0,01;0,07;32,36;"Energy Efficiency"
"461239";"Leipzig (DED5)";"China (CN)";7;17,5;0,04;0,04;18,28;"Green Building"
"380350";"Leipzig (DED5)";"China (CN)";13;8,97;0,08;0,18;21,04;"Biofuels"
"823625";"Leipzig (DED5)";"China (CN)";82;59,85;0,13;0,04;19,34;"Quantum Technologies"
"242390";"Leipzig (DED5)";"China (CN)";23;42,59;0,34;0,2;24,78;"Geothermal Energy"
"933623";"Leipzig (DED5)";"China (CN)";167;22,12;0,18;0,23;27,65;"Environmental Engineering"
"416934";"Leipzig (DED5)";"China (CN)";9;22,5;0,01;0,02;42,46;"Battery"
"460328";"Leipzig (DED5)";"China (CN)";12;11,65;0,02;0,05;24,48;"Semiconductors/Chips"
"682825";"Leipzig (DED5)";"China (CN)";13;8,33;0,02;0,05;26,04;"Biomaterials"
"333436";"Leipzig (DED5)";"China (CN)";2;4,35;0;0,03;42,46;"Hydrogen Fuel Cells"
"302630";"Leipzig (DED5)";"China (CN)";20;45,45;0,07;0,04;26,05;"Heat Pumps"
"452820";"Leipzig (DED5)";"China (CN)";3;9,38;0,02;0,04;21,74;"High-Performance Computing (HPC)"
"211087";"Leipzig (DED5)";"China (CN)";1047;21,63;0,23;0,2;18,88;"Other"
"453617";"Leipzig (DED5)";"China (CN)";2;8,33;0;0,01;23,26;"Cybersecurity Technologies"
"275619";"Leipzig (DED5)";"China (CN)";1;3,03;0,01;0,05;17,08;"Software Engineering & System Development"
"818651";"Leipzig (DED5)";"China (CN)";40;12,86;0,02;0,05;36,18;"Computer Vision, Language Processing & Object Recognition"
"692013";"Leipzig (DED5)";"China (CN)";7;6,48;0,01;0,04;24,08;"Green Consumer Goods"
"663512";"Leipzig (DED5)";"China (CN)";14;11,29;0,03;0,07;23,53;"Recycling"
"567211";"Leipzig (DED5)";"China (CN)";1;0,82;0;0,03;32,76;"Robotics"
"1167112";"Leipzig (DED5)";"China (CN)";110;8,53;0,04;0,09;18,93;"Artificial Intelligence"
