"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1295";"Mittelfranken (DE25)";"China (CN)";12;85,71;0,12;0,06;40,87;"Drones"
"538756";"Mittelfranken (DE25)";"China (CN)";1;2,94;0,01;0,05;26,86;"Pollution Control"
"2817122";"Mittelfranken (DE25)";"China (CN)";1;1,92;0,01;0,1;29;"Carbon Capture & Storage"
"3169107";"Mittelfranken (DE25)";"China (CN)";1;5,88;0,01;0,03;21,49;"Biomass Energy"
"3390106";"Mittelfranken (DE25)";"China (CN)";10;27,03;0,04;0,03;21,82;"Internet of Things (IoT)"
"401678";"Mittelfranken (DE25)";"China (CN)";1;4,76;0;0,02;36,46;"Water Management"
"3911103";"Mittelfranken (DE25)";"China (CN)";6;6,52;0,04;0,13;21,43;"Nuclear Energy"
"415060";"Mittelfranken (DE25)";"China (CN)";90;35,43;0,34;0,22;23,25;"Solar Energy"
"3320100";"Mittelfranken (DE25)";"China (CN)";3;6,82;0,02;0,05;21,85;"Cloud Computing & Edge Computing"
"756233";"Mittelfranken (DE25)";"China (CN)";1;2,27;0;0,03;20,73;"Waste Management"
"2332108";"Mittelfranken (DE25)";"China (CN)";4;4;0,01;0,1;43,6;"Generative AI"
"363260";"Mittelfranken (DE25)";"China (CN)";2;3,7;0,01;0,07;32,36;"Energy Efficiency"
"348459";"Mittelfranken (DE25)";"China (CN)";2;3,28;0;0,05;31,98;"Smart Grid"
"445039";"Mittelfranken (DE25)";"China (CN)";1;1,47;0,01;0,07;18,28;"Green Building"
"814525";"Mittelfranken (DE25)";"China (CN)";102;18,21;0,16;0,17;19,34;"Quantum Technologies"
"242690";"Mittelfranken (DE25)";"China (CN)";3;13,04;0,04;0,09;24,78;"Geothermal Energy"
"951923";"Mittelfranken (DE25)";"China (CN)";6;4,35;0,01;0,04;27,65;"Environmental Engineering"
"340747";"Mittelfranken (DE25)";"China (CN)";1;0,83;0;0,15;25,13;"EVs & Charging Infrastructure"
"420629";"Mittelfranken (DE25)";"China (CN)";33;15,49;0,03;0,08;42,46;"Battery"
"467228";"Mittelfranken (DE25)";"China (CN)";51;11,36;0,1;0,22;24,48;"Semiconductors/Chips"
"692425";"Mittelfranken (DE25)";"China (CN)";31;9,57;0,04;0,1;26,04;"Biomaterials"
"338147";"Mittelfranken (DE25)";"China (CN)";19;5,12;0,03;0,26;42,46;"Hydrogen Fuel Cells"
"292230";"Mittelfranken (DE25)";"China (CN)";6;7,06;0,02;0,08;26,05;"Heat Pumps"
"391626";"Mittelfranken (DE25)";"China (CN)";62;31,47;0,13;0,12;28,79;"Mobile Networks (5G/6G)"
"222730";"Mittelfranken (DE25)";"China (CN)";15;37,5;0,14;0,13;33,92;"Satellite Connectivity"
"465220";"Mittelfranken (DE25)";"China (CN)";2;1,63;0,01;0,17;21,74;"High-Performance Computing (HPC)"
"209197";"Mittelfranken (DE25)";"China (CN)";98;12,58;0,02;0,03;18,88;"Other"
"813181";"Mittelfranken (DE25)";"China (CN)";34;3,47;0,01;0,15;36,18;"Computer Vision, Language Processing & Object Recognition"
"694213";"Mittelfranken (DE25)";"China (CN)";5;3,65;0,01;0,05;24,08;"Green Consumer Goods"
"636212";"Mittelfranken (DE25)";"China (CN)";4;2,82;0,01;0,08;23,53;"Recycling"
"555611";"Mittelfranken (DE25)";"China (CN)";6;1,6;0,01;0,1;32,76;"Robotics"
"1158112";"Mittelfranken (DE25)";"China (CN)";68;4,08;0,03;0,12;18,93;"Artificial Intelligence"
