"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"540756";"Mongolia (MN)";"China (CN)";11;84,62;0,06;0,02;26,86;"Pollution Control"
"2899109";"Mongolia (MN)";"China (CN)";2;40;0,01;0,01;29;"Carbon Capture & Storage"
"2965108";"Mongolia (MN)";"China (CN)";12;52,17;0,09;0,04;22,11;"Sustainable Agriculture"
"3168107";"Mongolia (MN)";"China (CN)";14;41,18;0,1;0,05;21,49;"Biomass Energy"
"3505101";"Mongolia (MN)";"China (CN)";10;90,91;0,04;0,01;21,82;"Internet of Things (IoT)"
"409368";"Mongolia (MN)";"China (CN)";9;56,25;0,03;0,02;36,46;"Water Management"
"391370";"Mongolia (MN)";"China (CN)";11;45,83;0,07;0,03;21,43;"Nuclear Energy"
"406569";"Mongolia (MN)";"China (CN)";9;42,86;0,03;0,02;23,25;"Solar Energy"
"3402102";"Mongolia (MN)";"China (CN)";5;50;0,03;0,01;21,85;"Cloud Computing & Edge Computing"
"745146";"Mongolia (MN)";"China (CN)";15;36,59;0,05;0,03;20,73;"Waste Management"
"2270107";"Mongolia (MN)";"China (CN)";2;22,22;0;0,01;43,6;"Generative AI"
"301780";"Mongolia (MN)";"China (CN)";8;66,67;0,06;0,01;12,8;"Blockchain Technologies"
"348760";"Mongolia (MN)";"China (CN)";11;61,11;0,04;0,02;32,36;"Energy Efficiency"
"336570";"Mongolia (MN)";"China (CN)";9;45;0,02;0,02;31,98;"Smart Grid"
"438739";"Mongolia (MN)";"China (CN)";13;59,09;0,07;0,02;18,28;"Green Building"
"388948";"Mongolia (MN)";"China (CN)";15;100;0,09;0,02;21,04;"Biofuels"
"835130";"Mongolia (MN)";"China (CN)";291;100;0,46;0,09;19,34;"Quantum Technologies"
"2352101";"Mongolia (MN)";"China (CN)";2;14,29;0,03;0,05;24,78;"Geothermal Energy"
"927723";"Mongolia (MN)";"China (CN)";53;56,38;0,06;0,03;27,65;"Environmental Engineering"
"321847";"Mongolia (MN)";"China (CN)";6;75;0,03;0,01;25,13;"EVs & Charging Infrastructure"
"428829";"Mongolia (MN)";"China (CN)";32;60,38;0,03;0,02;42,46;"Battery"
"464136";"Mongolia (MN)";"China (CN)";8;30,77;0,02;0,01;24,48;"Semiconductors/Chips"
"691625";"Mongolia (MN)";"China (CN)";31;44,29;0,04;0,02;26,04;"Biomaterials"
"330736";"Mongolia (MN)";"China (CN)";39;95,12;0,06;0,03;42,46;"Hydrogen Fuel Cells"
"290230";"Mongolia (MN)";"China (CN)";7;50;0,02;0,01;26,05;"Heat Pumps"
"394226";"Mongolia (MN)";"China (CN)";11;91,67;0,02;0,01;28,79;"Mobile Networks (5G/6G)"
"228530";"Mongolia (MN)";"China (CN)";5;100;0,05;0,02;33,92;"Satellite Connectivity"
"471220";"Mongolia (MN)";"China (CN)";9;90;0,06;0,01;21,74;"High-Performance Computing (HPC)"
"211777";"Mongolia (MN)";"China (CN)";450;53,19;0,1;0,03;18,88;"Other"
"466317";"Mongolia (MN)";"China (CN)";16;84,21;0,03;0,01;23,26;"Cybersecurity Technologies"
"289619";"Mongolia (MN)";"China (CN)";1;12,5;0,01;0,01;17,08;"Software Engineering & System Development"
"811751";"Mongolia (MN)";"China (CN)";52;60,47;0,02;0,01;36,18;"Computer Vision, Language Processing & Object Recognition"
"689913";"Mongolia (MN)";"China (CN)";31;106,9;0,05;0,01;24,08;"Green Consumer Goods"
"632112";"Mongolia (MN)";"China (CN)";18;62,07;0,04;0,02;23,53;"Recycling"
"565511";"Mongolia (MN)";"China (CN)";20;55,56;0,02;0,01;32,76;"Robotics"
"1144112";"Mongolia (MN)";"China (CN)";127;33,16;0,05;0,03;18,93;"Artificial Intelligence"
