"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7145";"New Zealand (NZ)";"United States (US)";2;10;0,11;0,08;7,33;"Drones"
"26755";"New Zealand (NZ)";"United States (US)";51;20,82;1,09;0,34;6,42;"Pollution Control"
"1524832";"New Zealand (NZ)";"United States (US)";29;47,54;0,5;0,12;11,65;"Carbon Capture & Storage"
"1652031";"New Zealand (NZ)";"United States (US)";36;18,18;0,77;0,33;7,7;"Sustainable Agriculture"
"1697530";"New Zealand (NZ)";"United States (US)";23;20,91;0,54;0,17;6,73;"Biomass Energy"
"1913026";"New Zealand (NZ)";"United States (US)";13;9,35;0,23;0,12;4,71;"Internet of Things (IoT)"
"496187";"New Zealand (NZ)";"United States (US)";10;25;1,07;0,22;5,05;"Hydroelectric Power"
"2085822";"New Zealand (NZ)";"United States (US)";21;18,58;0,38;0,13;6,37;"Water Management"
"2247818";"New Zealand (NZ)";"United States (US)";9;50;0,08;0,03;15,64;"Nuclear Energy"
"2248318";"New Zealand (NZ)";"United States (US)";16;15,84;0,22;0,09;6,49;"Solar Energy"
"1854622";"New Zealand (NZ)";"United States (US)";16;12,21;0,23;0,15;8,08;"Cloud Computing & Edge Computing"
"40000";"New Zealand (NZ)";"United States (US)";65;19,94;0,77;0,21;5,55;"Waste Management"
"1229030";"New Zealand (NZ)";"United States (US)";23;17,29;0,24;0,14;10,05;"Generative AI"
"1658324";"New Zealand (NZ)";"United States (US)";36;28,57;0,73;0,12;4,71;"Blockchain Technologies"
"2014920";"New Zealand (NZ)";"United States (US)";21;23,33;0,37;0,11;7,09;"Energy Efficiency"
"1887519";"New Zealand (NZ)";"United States (US)";17;7,8;0,15;0,16;8,72;"Smart Grid"
"2363216";"New Zealand (NZ)";"United States (US)";39;13,73;0,55;0,27;6,77;"Green Building"
"2038318";"New Zealand (NZ)";"United States (US)";21;18,1;0,37;0,14;6,84;"Biofuels"
"44533";"New Zealand (NZ)";"United States (US)";166;48,54;0,45;0,1;11,32;"Quantum Technologies"
"1104524";"New Zealand (NZ)";"United States (US)";28;31,82;1,24;0,33;8,37;"Geothermal Energy"
"50599";"New Zealand (NZ)";"United States (US)";206;28,53;0,6;0,22;10,35;"Environmental Engineering"
"1884514";"New Zealand (NZ)";"United States (US)";17;11,72;0,29;0,18;7,17;"EVs & Charging Infrastructure"
"2374011";"New Zealand (NZ)";"United States (US)";35;11,33;0,19;0,12;7,26;"Battery"
"2575610";"New Zealand (NZ)";"United States (US)";14;13,08;0,06;0,05;11,62;"Semiconductors/Chips"
"3724211";"New Zealand (NZ)";"United States (US)";81;12,42;0,35;0,2;6,9;"Biomaterials"
"1932115";"New Zealand (NZ)";"United States (US)";21;12,35;0,18;0,12;7,87;"Hydrogen Fuel Cells"
"1615911";"New Zealand (NZ)";"United States (US)";21;17,8;0,27;0,11;7,13;"Heat Pumps"
"212809";"New Zealand (NZ)";"United States (US)";29;21,48;0,24;0,08;7,52;"Mobile Networks (5G/6G)"
"1202414";"New Zealand (NZ)";"United States (US)";13;34,21;0,32;0,12;12,69;"Satellite Connectivity"
"246078";"New Zealand (NZ)";"United States (US)";24;25;0,19;0,13;17,7;"High-Performance Computing (HPC)"
"117758";"New Zealand (NZ)";"United States (US)";3353;42,49;0,72;0,33;19,15;"Other"
"262256";"New Zealand (NZ)";"United States (US)";80;23,74;0,33;0,16;11,89;"Cybersecurity Technologies"
"164256";"New Zealand (NZ)";"United States (US)";63;26,47;0,67;0,37;14,5;"Software Engineering & System Development"
"464018";"New Zealand (NZ)";"United States (US)";213;21,15;0,29;0,15;10,79;"Computer Vision, Language Processing & Object Recognition"
"381133";"New Zealand (NZ)";"United States (US)";118;13,32;0,85;0,33;5,19;"Green Consumer Goods"
"354772";"New Zealand (NZ)";"United States (US)";68;19,77;0,76;0,2;5,22;"Recycling"
"315622";"New Zealand (NZ)";"United States (US)";73;14,48;0,2;0,14;10,24;"Robotics"
"639931";"New Zealand (NZ)";"United States (US)";523;15,24;0,28;0,24;13,34;"Artificial Intelligence"
