"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"6994";"Nord - Pas-de-Calais (FR30)";"United States (US)";1;12,5;0,06;0,03;7,33;"Drones"
"26620";"Nord - Pas-de-Calais (FR30)";"United States (US)";6;3,7;0,13;0,22;6,42;"Pollution Control"
"1524432";"Nord - Pas-de-Calais (FR30)";"United States (US)";4;5,71;0,07;0,14;11,65;"Carbon Capture & Storage"
"1672332";"Nord - Pas-de-Calais (FR30)";"United States (US)";4;11,11;0,09;0,06;7,7;"Sustainable Agriculture"
"1720030";"Nord - Pas-de-Calais (FR30)";"United States (US)";5;6,33;0,12;0,12;6,73;"Biomass Energy"
"1912726";"Nord - Pas-de-Calais (FR30)";"United States (US)";6;6,52;0,11;0,08;4,71;"Internet of Things (IoT)"
"495955";"Nord - Pas-de-Calais (FR30)";"United States (US)";1;4,17;0,11;0,13;5,05;"Hydroelectric Power"
"2092224";"Nord - Pas-de-Calais (FR30)";"United States (US)";15;13,16;0,27;0,13;6,37;"Water Management"
"2241023";"Nord - Pas-de-Calais (FR30)";"United States (US)";14;10,45;0,13;0,19;15,64;"Nuclear Energy"
"2261319";"Nord - Pas-de-Calais (FR30)";"United States (US)";19;11,8;0,26;0,14;6,49;"Solar Energy"
"1840522";"Nord - Pas-de-Calais (FR30)";"United States (US)";6;6,98;0,09;0,1;8,08;"Cloud Computing & Edge Computing"
"40075";"Nord - Pas-de-Calais (FR30)";"United States (US)";17;8,85;0,2;0,13;5,55;"Waste Management"
"1243330";"Nord - Pas-de-Calais (FR30)";"United States (US)";14;17,28;0,15;0,08;10,05;"Generative AI"
"1639324";"Nord - Pas-de-Calais (FR30)";"United States (US)";21;38,18;0,43;0,05;4,71;"Blockchain Technologies"
"2015420";"Nord - Pas-de-Calais (FR30)";"United States (US)";7;11,86;0,12;0,07;7,09;"Energy Efficiency"
"1882919";"Nord - Pas-de-Calais (FR30)";"United States (US)";6;4,14;0,05;0,11;8,72;"Smart Grid"
"2387914";"Nord - Pas-de-Calais (FR30)";"United States (US)";11;4,78;0,16;0,22;6,77;"Green Building"
"2032617";"Nord - Pas-de-Calais (FR30)";"United States (US)";5;4,63;0,09;0,13;6,84;"Biofuels"
"44678";"Nord - Pas-de-Calais (FR30)";"United States (US)";33;9,14;0,09;0,11;11,32;"Quantum Technologies"
"50586";"Nord - Pas-de-Calais (FR30)";"United States (US)";68;15,25;0,2;0,13;10,35;"Environmental Engineering"
"1863014";"Nord - Pas-de-Calais (FR30)";"United States (US)";13;11,4;0,22;0,14;7,17;"EVs & Charging Infrastructure"
"2391213";"Nord - Pas-de-Calais (FR30)";"United States (US)";39;11,61;0,21;0,13;7,26;"Battery"
"2603910";"Nord - Pas-de-Calais (FR30)";"United States (US)";40;8,62;0,17;0,23;11,62;"Semiconductors/Chips"
"372856";"Nord - Pas-de-Calais (FR30)";"United States (US)";23;4,01;0,1;0,17;6,9;"Biomaterials"
"1930410";"Nord - Pas-de-Calais (FR30)";"United States (US)";10;4,85;0,09;0,14;7,87;"Hydrogen Fuel Cells"
"1597611";"Nord - Pas-de-Calais (FR30)";"United States (US)";16;10,88;0,2;0,13;7,13;"Heat Pumps"
"2120211";"Nord - Pas-de-Calais (FR30)";"United States (US)";23;10,09;0,19;0,14;7,52;"Mobile Networks (5G/6G)"
"1214214";"Nord - Pas-de-Calais (FR30)";"United States (US)";2;11,76;0,05;0,05;12,69;"Satellite Connectivity"
"246478";"Nord - Pas-de-Calais (FR30)";"United States (US)";19;17,27;0,15;0,15;17,7;"High-Performance Computing (HPC)"
"117913";"Nord - Pas-de-Calais (FR30)";"United States (US)";445;17,28;0,1;0,11;19,15;"Other"
"262746";"Nord - Pas-de-Calais (FR30)";"United States (US)";43;20,67;0,18;0,1;11,89;"Cybersecurity Technologies"
"163966";"Nord - Pas-de-Calais (FR30)";"United States (US)";9;7,32;0,1;0,19;14,5;"Software Engineering & System Development"
"463282";"Nord - Pas-de-Calais (FR30)";"United States (US)";71;10,14;0,1;0,1;10,79;"Computer Vision, Language Processing & Object Recognition"
"383433";"Nord - Pas-de-Calais (FR30)";"United States (US)";46;8,73;0,33;0,2;5,19;"Green Consumer Goods"
"353542";"Nord - Pas-de-Calais (FR30)";"United States (US)";40;9,88;0,45;0,24;5,22;"Recycling"
"313942";"Nord - Pas-de-Calais (FR30)";"United States (US)";59;11,05;0,16;0,15;10,24;"Robotics"
"639107";"Nord - Pas-de-Calais (FR30)";"United States (US)";147;7,66;0,08;0,14;13,34;"Artificial Intelligence"
