"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1229";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";24;240;0,25;0,04;40,87;"Drones"
"536556";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";15;27,78;0,08;0,07;26,86;"Pollution Control"
"2876109";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";17;60,71;0,12;0,06;29;"Carbon Capture & Storage"
"3002115";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";9;50;0,07;0,03;22,11;"Sustainable Agriculture"
"3278107";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";12;26,67;0,09;0,07;21,49;"Biomass Energy"
"3486101";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";48;64,86;0,19;0,06;21,82;"Internet of Things (IoT)"
"986157";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";3;42,86;0,04;0,04;39,44;"Hydroelectric Power"
"1057156";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";37;80,43;0,66;0,26;32,38;"Wind Energy"
"398978";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";23;104,55;0,07;0,03;36,46;"Water Management"
"402470";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";6;54,55;0,04;0,02;21,43;"Nuclear Energy"
"414560";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";24;34,29;0,09;0,06;23,25;"Solar Energy"
"350479";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";37;45,68;0,19;0,09;21,85;"Cloud Computing & Edge Computing"
"752833";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";34;33,66;0,11;0,07;20,73;"Waste Management"
"2391120";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";44;146,67;0,11;0,03;43,6;"Generative AI"
"2911104";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";19;21,59;0,14;0,08;12,8;"Blockchain Technologies"
"346060";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";46;54,12;0,18;0,11;32,36;"Energy Efficiency"
"348959";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";53;29,94;0,13;0,13;31,98;"Smart Grid"
"452939";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";29;24,58;0,15;0,11;18,28;"Green Building"
"378450";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";12;21,05;0,07;0,07;21,04;"Biofuels"
"812132";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";20;15,62;0,03;0,04;19,34;"Quantum Technologies"
"234090";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";8;50;0,12;0,06;24,78;"Geothermal Energy"
"954523";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";100;39,06;0,11;0,08;27,65;"Environmental Engineering"
"338447";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";34;26,15;0,17;0,16;25,13;"EVs & Charging Infrastructure"
"415145";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";151;75,12;0,14;0,08;42,46;"Battery"
"479428";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";39;31,45;0,08;0,06;24,48;"Semiconductors/Chips"
"680925";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";71;32,57;0,08;0,07;26,04;"Biomaterials"
"327936";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";74;77,89;0,12;0,07;42,46;"Hydrogen Fuel Cells"
"290330";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";25;30,12;0,09;0,07;26,05;"Heat Pumps"
"394129";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";87;135,94;0,19;0,04;28,79;"Mobile Networks (5G/6G)"
"239230";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";15;93,75;0,14;0,05;33,92;"Satellite Connectivity"
"462520";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";17;34;0,11;0,07;21,74;"High-Performance Computing (HPC)"
"212067";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";520;30,06;0,11;0,07;18,88;"Other"
"458317";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";72;34,45;0,15;0,1;23,26;"Cybersecurity Technologies"
"275519";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";9;19,15;0,08;0,07;17,08;"Software Engineering & System Development"
"845551";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";232;68,04;0,1;0,05;36,18;"Computer Vision, Language Processing & Object Recognition"
"686813";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";100;60,98;0,15;0,06;24,08;"Green Consumer Goods"
"651912";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";60;54,05;0,15;0,07;23,53;"Recycling"
"550711";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";129;79,14;0,11;0,04;32,76;"Robotics"
"1163911";"Northumberland and Tyne and Wear (UKC2)";"China (CN)";269;20,13;0,1;0,1;18,93;"Artificial Intelligence"
