"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"6987";"Peru (PE)";"United States (US)";2;50;0,11;0,02;7,33;"Drones"
"26721";"Peru (PE)";"United States (US)";17;12,78;0,36;0,18;6,42;"Pollution Control"
"1510036";"Peru (PE)";"United States (US)";2;18,18;0,03;0,02;11,65;"Carbon Capture & Storage"
"1662148";"Peru (PE)";"United States (US)";7;5,15;0,15;0,22;7,7;"Sustainable Agriculture"
"1722730";"Peru (PE)";"United States (US)";1;1,92;0,02;0,08;6,73;"Biomass Energy"
"1915826";"Peru (PE)";"United States (US)";11;6,51;0,2;0,14;4,71;"Internet of Things (IoT)"
"510749";"Peru (PE)";"United States (US)";3;9,68;0,32;0,17;5,05;"Hydroelectric Power"
"2091324";"Peru (PE)";"United States (US)";22;11,46;0,4;0,22;6,37;"Water Management"
"2233918";"Peru (PE)";"United States (US)";8;38,1;0,07;0,03;15,64;"Nuclear Energy"
"2251817";"Peru (PE)";"United States (US)";7;4,83;0,09;0,13;6,49;"Solar Energy"
"1847622";"Peru (PE)";"United States (US)";5;5,68;0,07;0,1;8,08;"Cloud Computing & Edge Computing"
"39995";"Peru (PE)";"United States (US)";37;10,51;0,44;0,23;5,55;"Waste Management"
"1219630";"Peru (PE)";"United States (US)";5;16,67;0,05;0,03;10,05;"Generative AI"
"1642923";"Peru (PE)";"United States (US)";6;5,77;0,12;0,1;4,71;"Blockchain Technologies"
"2025720";"Peru (PE)";"United States (US)";3;4,23;0,05;0,09;7,09;"Energy Efficiency"
"1889819";"Peru (PE)";"United States (US)";4;5,97;0,03;0,05;8,72;"Smart Grid"
"2393814";"Peru (PE)";"United States (US)";22;9,57;0,31;0,22;6,77;"Green Building"
"2020617";"Peru (PE)";"United States (US)";6;4,41;0,11;0,17;6,84;"Biofuels"
"44525";"Peru (PE)";"United States (US)";142;81,14;0,38;0,05;11,32;"Quantum Technologies"
"1092624";"Peru (PE)";"United States (US)";1;4,55;0,04;0,08;8,37;"Geothermal Energy"
"50812";"Peru (PE)";"United States (US)";58;12,45;0,17;0,14;10,35;"Environmental Engineering"
"1889119";"Peru (PE)";"United States (US)";2;4,08;0,03;0,06;7,17;"EVs & Charging Infrastructure"
"2389313";"Peru (PE)";"United States (US)";9;16,98;0,05;0,02;7,26;"Battery"
"2577115";"Peru (PE)";"United States (US)";5;12,5;0,02;0,02;11,62;"Semiconductors/Chips"
"3716211";"Peru (PE)";"United States (US)";24;8,54;0,1;0,08;6,9;"Biomaterials"
"1939710";"Peru (PE)";"United States (US)";1;4,76;0,01;0,01;7,87;"Hydrogen Fuel Cells"
"1592411";"Peru (PE)";"United States (US)";2;3,51;0,03;0,05;7,13;"Heat Pumps"
"2134310";"Peru (PE)";"United States (US)";11;10;0,09;0,07;7,52;"Mobile Networks (5G/6G)"
"1217115";"Peru (PE)";"United States (US)";3;8,57;0,07;0,11;12,69;"Satellite Connectivity"
"247268";"Peru (PE)";"United States (US)";4;16;0,03;0,03;17,7;"High-Performance Computing (HPC)"
"117866";"Peru (PE)";"United States (US)";1303;23,02;0,28;0,23;19,15;"Other"
"261726";"Peru (PE)";"United States (US)";12;6,45;0,05;0,09;11,89;"Cybersecurity Technologies"
"163896";"Peru (PE)";"United States (US)";8;7,62;0,09;0,16;14,5;"Software Engineering & System Development"
"462582";"Peru (PE)";"United States (US)";37;10,42;0,05;0,05;10,79;"Computer Vision, Language Processing & Object Recognition"
"383623";"Peru (PE)";"United States (US)";40;7,42;0,29;0,2;5,19;"Green Consumer Goods"
"354113";"Peru (PE)";"United States (US)";37;11,01;0,42;0,2;5,22;"Recycling"
"312982";"Peru (PE)";"United States (US)";18;4,47;0,05;0,11;10,24;"Robotics"
"637651";"Peru (PE)";"United States (US)";86;7,96;0,05;0,08;13,34;"Artificial Intelligence"
