"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"522856";"Podlaskie (PL34)";"China (CN)";1;3,57;0,01;0,04;26,86;"Pollution Control"
"2900109";"Podlaskie (PL34)";"China (CN)";1;50;0,01;0;29;"Carbon Capture & Storage"
"3100119";"Podlaskie (PL34)";"China (CN)";1;12,5;0,01;0,01;22,11;"Sustainable Agriculture"
"3151119";"Podlaskie (PL34)";"China (CN)";1;3,45;0,01;0,05;21,49;"Biomass Energy"
"401290";"Podlaskie (PL34)";"China (CN)";2;8,7;0,01;0,03;36,46;"Water Management"
"762733";"Podlaskie (PL34)";"China (CN)";1;1,16;0;0,06;20,73;"Waste Management"
"833925";"Podlaskie (PL34)";"China (CN)";1;3,57;0;0,01;19,34;"Quantum Technologies"
"953126";"Podlaskie (PL34)";"China (CN)";2;3,33;0;0,02;27,65;"Environmental Engineering"
"486228";"Podlaskie (PL34)";"China (CN)";1;12,5;0;0;24,48;"Semiconductors/Chips"
"690525";"Podlaskie (PL34)";"China (CN)";2;1,67;0;0,04;26,04;"Biomaterials"
"283037";"Podlaskie (PL34)";"China (CN)";4;10,53;0,01;0,03;26,05;"Heat Pumps"
"210267";"Podlaskie (PL34)";"China (CN)";33;5,57;0,01;0,02;18,88;"Other"
"826851";"Podlaskie (PL34)";"China (CN)";1;1,39;0;0,01;36,18;"Computer Vision, Language Processing & Object Recognition"
"676813";"Podlaskie (PL34)";"China (CN)";2;4,76;0;0,02;24,08;"Green Consumer Goods"
"653012";"Podlaskie (PL34)";"China (CN)";1;1,54;0;0,04;23,53;"Recycling"
"1159112";"Podlaskie (PL34)";"China (CN)";1;0,47;0;0,02;18,93;"Artificial Intelligence"
