"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"26636";"Prov. Namur (BE35)";"United States (US)";2;9,09;0,04;0,03;6,42;"Pollution Control"
"1653831";"Prov. Namur (BE35)";"United States (US)";3;14,29;0,06;0,03;7,7;"Sustainable Agriculture"
"1721531";"Prov. Namur (BE35)";"United States (US)";2;18,18;0,05;0,02;6,73;"Biomass Energy"
"2089224";"Prov. Namur (BE35)";"United States (US)";1;12,5;0,02;0,01;6,37;"Water Management"
"2254318";"Prov. Namur (BE35)";"United States (US)";1;4;0,01;0,02;6,49;"Solar Energy"
"40102";"Prov. Namur (BE35)";"United States (US)";5;18,52;0,06;0,02;5,55;"Waste Management"
"1649225";"Prov. Namur (BE35)";"United States (US)";2;20;0,04;0,01;4,71;"Blockchain Technologies"
"2042519";"Prov. Namur (BE35)";"United States (US)";1;33,33;0,02;0;7,09;"Energy Efficiency"
"2027517";"Prov. Namur (BE35)";"United States (US)";1;3,23;0,02;0,04;6,84;"Biofuels"
"44592";"Prov. Namur (BE35)";"United States (US)";7;12,96;0,02;0,02;11,32;"Quantum Technologies"
"50544";"Prov. Namur (BE35)";"United States (US)";14;22,58;0,04;0,02;10,35;"Environmental Engineering"
"2390511";"Prov. Namur (BE35)";"United States (US)";2;6,25;0,01;0,01;7,26;"Battery"
"2583910";"Prov. Namur (BE35)";"United States (US)";1;6,25;0;0,01;11,62;"Semiconductors/Chips"
"3730211";"Prov. Namur (BE35)";"United States (US)";2;3,33;0,01;0,02;6,9;"Biomaterials"
"1956311";"Prov. Namur (BE35)";"United States (US)";3;42,86;0,03;0;7,87;"Hydrogen Fuel Cells"
"118073";"Prov. Namur (BE35)";"United States (US)";184;33,89;0,04;0,02;19,15;"Other"
"2634111";"Prov. Namur (BE35)";"United States (US)";2;9,09;0,01;0,01;11,89;"Cybersecurity Technologies"
"163746";"Prov. Namur (BE35)";"United States (US)";4;10,26;0,04;0,06;14,5;"Software Engineering & System Development"
"463218";"Prov. Namur (BE35)";"United States (US)";4;12,5;0,01;0;10,79;"Computer Vision, Language Processing & Object Recognition"
"383503";"Prov. Namur (BE35)";"United States (US)";4;6,35;0,03;0,02;5,19;"Green Consumer Goods"
"356472";"Prov. Namur (BE35)";"United States (US)";1;6,67;0,01;0,01;5,22;"Recycling"
"638761";"Prov. Namur (BE35)";"United States (US)";7;3,91;0;0,01;13,34;"Artificial Intelligence"
