"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"524756";"Rwanda (RW)";"China (CN)";4;100;0,02;0,01;26,86;"Pollution Control"
"3157108";"Rwanda (RW)";"China (CN)";2;4,44;0,01;0,07;22,11;"Sustainable Agriculture"
"3054107";"Rwanda (RW)";"China (CN)";2;33,33;0,01;0,01;21,49;"Biomass Energy"
"3577101";"Rwanda (RW)";"China (CN)";4;9,09;0,02;0,04;21,82;"Internet of Things (IoT)"
"413268";"Rwanda (RW)";"China (CN)";6;42,86;0,02;0,02;36,46;"Water Management"
"408260";"Rwanda (RW)";"China (CN)";11;64,71;0,04;0,01;23,25;"Solar Energy"
"3439100";"Rwanda (RW)";"China (CN)";2;10,53;0,01;0,02;21,85;"Cloud Computing & Edge Computing"
"751533";"Rwanda (RW)";"China (CN)";14;46,67;0,04;0,02;20,73;"Waste Management"
"296680";"Rwanda (RW)";"China (CN)";1;10;0,01;0,01;12,8;"Blockchain Technologies"
"341479";"Rwanda (RW)";"China (CN)";1;8,33;0;0,01;32,36;"Energy Efficiency"
"348259";"Rwanda (RW)";"China (CN)";6;22,22;0,01;0,02;31,98;"Smart Grid"
"455039";"Rwanda (RW)";"China (CN)";4;36,36;0,02;0,01;18,28;"Green Building"
"386550";"Rwanda (RW)";"China (CN)";5;71,43;0,03;0,01;21,04;"Biofuels"
"831725";"Rwanda (RW)";"China (CN)";1;33,33;0;0;19,34;"Quantum Technologies"
"2331103";"Rwanda (RW)";"China (CN)";4;80;0,06;0,02;24,78;"Geothermal Energy"
"937923";"Rwanda (RW)";"China (CN)";30;49,18;0,03;0,02;27,65;"Environmental Engineering"
"327747";"Rwanda (RW)";"China (CN)";12;26,67;0,06;0,06;25,13;"EVs & Charging Infrastructure"
"417234";"Rwanda (RW)";"China (CN)";8;133,33;0,01;0;42,46;"Battery"
"689725";"Rwanda (RW)";"China (CN)";11;137,5;0,01;0;26,04;"Biomaterials"
"304230";"Rwanda (RW)";"China (CN)";2;100;0,01;0;26,05;"Heat Pumps"
"372727";"Rwanda (RW)";"China (CN)";1;3,85;0;0,02;28,79;"Mobile Networks (5G/6G)"
"212307";"Rwanda (RW)";"China (CN)";198;38,08;0,04;0,02;18,88;"Other"
"449717";"Rwanda (RW)";"China (CN)";4;11,76;0,01;0,02;23,26;"Cybersecurity Technologies"
"831251";"Rwanda (RW)";"China (CN)";6;15;0;0,01;36,18;"Computer Vision, Language Processing & Object Recognition"
"682613";"Rwanda (RW)";"China (CN)";7;46,67;0,01;0,01;24,08;"Green Consumer Goods"
"664712";"Rwanda (RW)";"China (CN)";12;80;0,03;0,01;23,53;"Recycling"
"554511";"Rwanda (RW)";"China (CN)";5;45,45;0;0;32,76;"Robotics"
"1146911";"Rwanda (RW)";"China (CN)";14;7,41;0,01;0,01;18,93;"Artificial Intelligence"
