"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"523656";"Saarland (DEC0)";"China (CN)";1;4,55;0,01;0,03;26,86;"Pollution Control"
"3461109";"Saarland (DEC0)";"China (CN)";1;16,67;0;0,01;21,82;"Internet of Things (IoT)"
"975157";"Saarland (DEC0)";"China (CN)";1;100;0,01;0,01;39,44;"Hydroelectric Power"
"420658";"Saarland (DEC0)";"China (CN)";1;10;0;0,01;36,46;"Water Management"
"405770";"Saarland (DEC0)";"China (CN)";1;12,5;0,01;0,01;21,43;"Nuclear Energy"
"430856";"Saarland (DEC0)";"China (CN)";1;11,11;0;0,01;23,25;"Solar Energy"
"355479";"Saarland (DEC0)";"China (CN)";1;5,26;0,01;0,02;21,85;"Cloud Computing & Edge Computing"
"751633";"Saarland (DEC0)";"China (CN)";1;6,25;0;0,01;20,73;"Waste Management"
"2250107";"Saarland (DEC0)";"China (CN)";28;29,79;0,07;0,1;43,6;"Generative AI"
"288980";"Saarland (DEC0)";"China (CN)";1;4,55;0,01;0,02;12,8;"Blockchain Technologies"
"328870";"Saarland (DEC0)";"China (CN)";1;3,12;0;0,02;31,98;"Smart Grid"
"451839";"Saarland (DEC0)";"China (CN)";1;4,76;0,01;0,02;18,28;"Green Building"
"390748";"Saarland (DEC0)";"China (CN)";1;7,14;0,01;0,02;21,04;"Biofuels"
"824025";"Saarland (DEC0)";"China (CN)";7;6,6;0,01;0,03;19,34;"Quantum Technologies"
"429029";"Saarland (DEC0)";"China (CN)";11;13,75;0,01;0,03;42,46;"Battery"
"470928";"Saarland (DEC0)";"China (CN)";4;8,7;0,01;0,02;24,48;"Semiconductors/Chips"
"683425";"Saarland (DEC0)";"China (CN)";11;10,19;0,01;0,03;26,04;"Biomaterials"
"338836";"Saarland (DEC0)";"China (CN)";4;9,3;0,01;0,03;42,46;"Hydrogen Fuel Cells"
"387927";"Saarland (DEC0)";"China (CN)";10;20,83;0,02;0,03;28,79;"Mobile Networks (5G/6G)"
"235630";"Saarland (DEC0)";"China (CN)";3;30;0,03;0,03;33,92;"Satellite Connectivity"
"447520";"Saarland (DEC0)";"China (CN)";6;8;0,04;0,1;21,74;"High-Performance Computing (HPC)"
"210247";"Saarland (DEC0)";"China (CN)";13;4,15;0;0,01;18,88;"Other"
"475417";"Saarland (DEC0)";"China (CN)";38;10,98;0,08;0,17;23,26;"Cybersecurity Technologies"
"278619";"Saarland (DEC0)";"China (CN)";15;7,5;0,14;0,31;17,08;"Software Engineering & System Development"
"839551";"Saarland (DEC0)";"China (CN)";85;15,83;0,04;0,08;36,18;"Computer Vision, Language Processing & Object Recognition"
"697913";"Saarland (DEC0)";"China (CN)";1;2,17;0;0,02;24,08;"Green Consumer Goods"
"663112";"Saarland (DEC0)";"China (CN)";2;4,76;0;0,02;23,53;"Recycling"
"574911";"Saarland (DEC0)";"China (CN)";22;9,02;0,02;0,07;32,76;"Robotics"
"1165611";"Saarland (DEC0)";"China (CN)";95;4,84;0,04;0,14;18,93;"Artificial Intelligence"
