"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"544656";"Sachsen-Anhalt (DEE0)";"China (CN)";6;12,5;0,03;0,07;26,86;"Pollution Control"
"2943115";"Sachsen-Anhalt (DEE0)";"China (CN)";7;18,92;0,05;0,07;29;"Carbon Capture & Storage"
"2910119";"Sachsen-Anhalt (DEE0)";"China (CN)";1;1,89;0,01;0,09;22,11;"Sustainable Agriculture"
"3266107";"Sachsen-Anhalt (DEE0)";"China (CN)";14;26,92;0,1;0,08;21,49;"Biomass Energy"
"3560101";"Sachsen-Anhalt (DEE0)";"China (CN)";2;6,45;0,01;0,03;21,82;"Internet of Things (IoT)"
"404978";"Sachsen-Anhalt (DEE0)";"China (CN)";14;25;0,04;0,06;36,46;"Water Management"
"401770";"Sachsen-Anhalt (DEE0)";"China (CN)";1;3,45;0,01;0,04;21,43;"Nuclear Energy"
"430956";"Sachsen-Anhalt (DEE0)";"China (CN)";7;9,21;0,03;0,07;23,25;"Solar Energy"
"356579";"Sachsen-Anhalt (DEE0)";"China (CN)";2;4;0,01;0,06;21,85;"Cloud Computing & Edge Computing"
"762833";"Sachsen-Anhalt (DEE0)";"China (CN)";21;19,09;0,07;0,07;20,73;"Waste Management"
"2211122";"Sachsen-Anhalt (DEE0)";"China (CN)";1;2,94;0;0,04;43,6;"Generative AI"
"296080";"Sachsen-Anhalt (DEE0)";"China (CN)";1;20;0,01;0;12,8;"Blockchain Technologies"
"350660";"Sachsen-Anhalt (DEE0)";"China (CN)";1;2,04;0;0,06;32,36;"Energy Efficiency"
"332570";"Sachsen-Anhalt (DEE0)";"China (CN)";1;1,56;0;0,05;31,98;"Smart Grid"
"439439";"Sachsen-Anhalt (DEE0)";"China (CN)";2;8;0,01;0,02;18,28;"Green Building"
"391068";"Sachsen-Anhalt (DEE0)";"China (CN)";6;6,12;0,03;0,12;21,04;"Biofuels"
"822925";"Sachsen-Anhalt (DEE0)";"China (CN)";39;20,97;0,06;0,06;19,34;"Quantum Technologies"
"2280100";"Sachsen-Anhalt (DEE0)";"China (CN)";2;8,33;0,03;0,09;24,78;"Geothermal Energy"
"960126";"Sachsen-Anhalt (DEE0)";"China (CN)";28;16,87;0,03;0,05;27,65;"Environmental Engineering"
"425329";"Sachsen-Anhalt (DEE0)";"China (CN)";39;31,71;0,04;0,05;42,46;"Battery"
"479728";"Sachsen-Anhalt (DEE0)";"China (CN)";17;8,17;0,03;0,1;24,48;"Semiconductors/Chips"
"681425";"Sachsen-Anhalt (DEE0)";"China (CN)";45;15,36;0,05;0,09;26,04;"Biomaterials"
"347229";"Sachsen-Anhalt (DEE0)";"China (CN)";31;37,35;0,05;0,06;42,46;"Hydrogen Fuel Cells"
"283737";"Sachsen-Anhalt (DEE0)";"China (CN)";18;14,88;0,06;0,11;26,05;"Heat Pumps"
"457320";"Sachsen-Anhalt (DEE0)";"China (CN)";2;3,23;0,01;0,09;21,74;"High-Performance Computing (HPC)"
"213277";"Sachsen-Anhalt (DEE0)";"China (CN)";358;22,99;0,08;0,06;18,88;"Other"
"460117";"Sachsen-Anhalt (DEE0)";"China (CN)";2;2,94;0;0,03;23,26;"Cybersecurity Technologies"
"814351";"Sachsen-Anhalt (DEE0)";"China (CN)";20;5,06;0,01;0,06;36,18;"Computer Vision, Language Processing & Object Recognition"
"709341";"Sachsen-Anhalt (DEE0)";"China (CN)";22;10,84;0,03;0,08;24,08;"Green Consumer Goods"
"654812";"Sachsen-Anhalt (DEE0)";"China (CN)";12;6,94;0,03;0,1;23,53;"Recycling"
"552411";"Sachsen-Anhalt (DEE0)";"China (CN)";7;1,97;0,01;0,1;32,76;"Robotics"
"1159911";"Sachsen-Anhalt (DEE0)";"China (CN)";24;2,67;0,01;0,06;18,93;"Artificial Intelligence"
