"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"26791";"Sachsen-Anhalt (DEE0)";"United States (US)";7;14,58;0,15;0,07;6,42;"Pollution Control"
"1518532";"Sachsen-Anhalt (DEE0)";"United States (US)";16;43,24;0,28;0,07;11,65;"Carbon Capture & Storage"
"1899026";"Sachsen-Anhalt (DEE0)";"United States (US)";2;6,45;0,04;0,03;4,71;"Internet of Things (IoT)"
"510348";"Sachsen-Anhalt (DEE0)";"United States (US)";1;14,29;0,09;0,04;6,15;"Wind Energy"
"2066622";"Sachsen-Anhalt (DEE0)";"United States (US)";8;14,29;0,15;0,06;6,37;"Water Management"
"2231128";"Sachsen-Anhalt (DEE0)";"United States (US)";9;31,03;0,08;0,04;15,64;"Nuclear Energy"
"2253517";"Sachsen-Anhalt (DEE0)";"United States (US)";10;13,16;0,13;0,07;6,49;"Solar Energy"
"1848022";"Sachsen-Anhalt (DEE0)";"United States (US)";2;4;0,03;0,06;8,08;"Cloud Computing & Edge Computing"
"39827";"Sachsen-Anhalt (DEE0)";"United States (US)";4;3,64;0,05;0,07;5,55;"Waste Management"
"1223430";"Sachsen-Anhalt (DEE0)";"United States (US)";3;8,82;0,03;0,04;10,05;"Generative AI"
"1654128";"Sachsen-Anhalt (DEE0)";"United States (US)";2;40;0,04;0;4,71;"Blockchain Technologies"
"2017420";"Sachsen-Anhalt (DEE0)";"United States (US)";2;4,08;0,04;0,06;7,09;"Energy Efficiency"
"1874619";"Sachsen-Anhalt (DEE0)";"United States (US)";2;3,12;0,02;0,05;8,72;"Smart Grid"
"2371416";"Sachsen-Anhalt (DEE0)";"United States (US)";2;8;0,03;0,02;6,77;"Green Building"
"2020017";"Sachsen-Anhalt (DEE0)";"United States (US)";9;9,18;0,16;0,12;6,84;"Biofuels"
"44518";"Sachsen-Anhalt (DEE0)";"United States (US)";40;21,51;0,11;0,06;11,32;"Quantum Technologies"
"1097024";"Sachsen-Anhalt (DEE0)";"United States (US)";1;4,17;0,04;0,09;8,37;"Geothermal Energy"
"50603";"Sachsen-Anhalt (DEE0)";"United States (US)";24;14,46;0,07;0,05;10,35;"Environmental Engineering"
"1889514";"Sachsen-Anhalt (DEE0)";"United States (US)";3;4,69;0,05;0,08;7,17;"EVs & Charging Infrastructure"
"2391911";"Sachsen-Anhalt (DEE0)";"United States (US)";12;9,76;0,06;0,05;7,26;"Battery"
"2601810";"Sachsen-Anhalt (DEE0)";"United States (US)";23;11,06;0,1;0,1;11,62;"Semiconductors/Chips"
"372486";"Sachsen-Anhalt (DEE0)";"United States (US)";23;7,85;0,1;0,09;6,9;"Biomaterials"
"1938510";"Sachsen-Anhalt (DEE0)";"United States (US)";9;10,84;0,08;0,06;7,87;"Hydrogen Fuel Cells"
"1601115";"Sachsen-Anhalt (DEE0)";"United States (US)";6;4,96;0,08;0,11;7,13;"Heat Pumps"
"212559";"Sachsen-Anhalt (DEE0)";"United States (US)";1;1,92;0,01;0,03;7,52;"Mobile Networks (5G/6G)"
"248588";"Sachsen-Anhalt (DEE0)";"United States (US)";8;12,9;0,06;0,09;17,7;"High-Performance Computing (HPC)"
"118078";"Sachsen-Anhalt (DEE0)";"United States (US)";595;38,21;0,13;0,06;19,15;"Other"
"262146";"Sachsen-Anhalt (DEE0)";"United States (US)";4;5,88;0,02;0,03;11,89;"Cybersecurity Technologies"
"162546";"Sachsen-Anhalt (DEE0)";"United States (US)";5;5,88;0,05;0,13;14,5;"Software Engineering & System Development"
"463232";"Sachsen-Anhalt (DEE0)";"United States (US)";43;10,89;0,06;0,06;10,79;"Computer Vision, Language Processing & Object Recognition"
"382115";"Sachsen-Anhalt (DEE0)";"United States (US)";20;9,85;0,14;0,08;5,19;"Green Consumer Goods"
"354052";"Sachsen-Anhalt (DEE0)";"United States (US)";13;7,51;0,15;0,1;5,22;"Recycling"
"313512";"Sachsen-Anhalt (DEE0)";"United States (US)";32;8,99;0,09;0,1;10,24;"Robotics"
"637821";"Sachsen-Anhalt (DEE0)";"United States (US)";62;6,89;0,03;0,06;13,34;"Artificial Intelligence"
