"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1518732";"Severozápad (CZ04)";"United States (US)";2;14,29;0,03;0,03;11,65;"Carbon Capture & Storage"
"1658631";"Severozápad (CZ04)";"United States (US)";2;10,53;0,04;0,03;7,7;"Sustainable Agriculture"
"1703030";"Severozápad (CZ04)";"United States (US)";2;5,13;0,05;0,06;6,73;"Biomass Energy"
"2071137";"Severozápad (CZ04)";"United States (US)";1;14,29;0,02;0,01;6,37;"Water Management"
"2246319";"Severozápad (CZ04)";"United States (US)";1;20;0,01;0,01;15,64;"Nuclear Energy"
"39835";"Severozápad (CZ04)";"United States (US)";1;3,7;0,01;0,02;5,55;"Waste Management"
"2017717";"Severozápad (CZ04)";"United States (US)";1;6,25;0,02;0,02;6,84;"Biofuels"
"44702";"Severozápad (CZ04)";"United States (US)";5;62,5;0,01;0;11,32;"Quantum Technologies"
"50655";"Severozápad (CZ04)";"United States (US)";4;28,57;0,01;0;10,35;"Environmental Engineering"
"117817";"Severozápad (CZ04)";"United States (US)";21;15;0;0,01;19,15;"Other"
"462852";"Severozápad (CZ04)";"United States (US)";4;50;0,01;0;10,79;"Computer Vision, Language Processing & Object Recognition"
"637801";"Severozápad (CZ04)";"United States (US)";6;14,63;0;0;13,34;"Artificial Intelligence"
