"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"3612105";"Sør-Østlandet (NO03)";"China (CN)";1;9,09;0;0,01;21,82;"Internet of Things (IoT)"
"419958";"Sør-Østlandet (NO03)";"China (CN)";1;11,11;0;0,01;36,46;"Water Management"
"408567";"Sør-Østlandet (NO03)";"China (CN)";6;66,67;0,04;0,01;21,43;"Nuclear Energy"
"402269";"Sør-Østlandet (NO03)";"China (CN)";6;50;0,02;0,01;23,25;"Solar Energy"
"3551103";"Sør-Østlandet (NO03)";"China (CN)";1;12,5;0,01;0,01;21,85;"Cloud Computing & Edge Computing"
"759633";"Sør-Østlandet (NO03)";"China (CN)";1;1,64;0;0,04;20,73;"Waste Management"
"2173107";"Sør-Østlandet (NO03)";"China (CN)";1;20;0;0,01;43,6;"Generative AI"
"299299";"Sør-Østlandet (NO03)";"China (CN)";1;7,69;0,01;0,01;12,8;"Blockchain Technologies"
"351460";"Sør-Østlandet (NO03)";"China (CN)";2;8,33;0,01;0,03;32,36;"Energy Efficiency"
"3431102";"Sør-Østlandet (NO03)";"China (CN)";5;8,62;0,01;0,04;31,98;"Smart Grid"
"440239";"Sør-Østlandet (NO03)";"China (CN)";3;13,64;0,02;0,02;18,28;"Green Building"
"386350";"Sør-Østlandet (NO03)";"China (CN)";1;5,56;0,01;0,02;21,04;"Biofuels"
"834130";"Sør-Østlandet (NO03)";"China (CN)";121;97,58;0,19;0,04;19,34;"Quantum Technologies"
"940223";"Sør-Østlandet (NO03)";"China (CN)";5;6,33;0,01;0,02;27,65;"Environmental Engineering"
"322168";"Sør-Østlandet (NO03)";"China (CN)";5;20;0,02;0,03;25,13;"EVs & Charging Infrastructure"
"425829";"Sør-Østlandet (NO03)";"China (CN)";25;104,17;0,02;0,01;42,46;"Battery"
"465728";"Sør-Østlandet (NO03)";"China (CN)";2;12,5;0;0,01;24,48;"Semiconductors/Chips"
"681725";"Sør-Østlandet (NO03)";"China (CN)";3;18,75;0;0;26,04;"Biomaterials"
"341736";"Sør-Østlandet (NO03)";"China (CN)";13;81,25;0,02;0,01;42,46;"Hydrogen Fuel Cells"
"284237";"Sør-Østlandet (NO03)";"China (CN)";4;19,05;0,01;0,02;26,05;"Heat Pumps"
"387427";"Sør-Østlandet (NO03)";"China (CN)";3;42,86;0,01;0;28,79;"Mobile Networks (5G/6G)"
"238030";"Sør-Østlandet (NO03)";"China (CN)";1;33,33;0,01;0,01;33,92;"Satellite Connectivity"
"457123";"Sør-Østlandet (NO03)";"China (CN)";1;20;0,01;0,01;21,74;"High-Performance Computing (HPC)"
"212687";"Sør-Østlandet (NO03)";"China (CN)";26;10;0,01;0,01;18,88;"Other"
"473317";"Sør-Østlandet (NO03)";"China (CN)";2;4,55;0;0,02;23,26;"Cybersecurity Technologies"
"289919";"Sør-Østlandet (NO03)";"China (CN)";1;3,33;0,01;0,05;17,08;"Software Engineering & System Development"
"819551";"Sør-Østlandet (NO03)";"China (CN)";13;40,62;0,01;0;36,18;"Computer Vision, Language Processing & Object Recognition"
"691313";"Sør-Østlandet (NO03)";"China (CN)";2;5,71;0;0,01;24,08;"Green Consumer Goods"
"636412";"Sør-Østlandet (NO03)";"China (CN)";2;5,26;0;0,02;23,53;"Recycling"
"548011";"Sør-Østlandet (NO03)";"China (CN)";5;12,2;0;0,01;32,76;"Robotics"
"1173211";"Sør-Østlandet (NO03)";"China (CN)";7;2,19;0;0,02;18,93;"Artificial Intelligence"
