"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7032";"Stredné Slovensko (SK03)";"United States (US)";1;5,88;0,06;0,07;7,33;"Drones"
"1656731";"Stredné Slovensko (SK03)";"United States (US)";1;5;0,02;0,03;7,7;"Sustainable Agriculture"
"2240717";"Stredné Slovensko (SK03)";"United States (US)";1;7,14;0,01;0,01;6,49;"Solar Energy"
"40141";"Stredné Slovensko (SK03)";"United States (US)";2;3,85;0,02;0,03;5,55;"Waste Management"
"2390014";"Stredné Slovensko (SK03)";"United States (US)";3;3,9;0,04;0,07;6,77;"Green Building"
"2034817";"Stredné Slovensko (SK03)";"United States (US)";1;11,11;0,02;0,01;6,84;"Biofuels"
"44796";"Stredné Slovensko (SK03)";"United States (US)";4;36,36;0,01;0;11,32;"Quantum Technologies"
"50550";"Stredné Slovensko (SK03)";"United States (US)";11;6,32;0,03;0,05;10,35;"Environmental Engineering"
"2385911";"Stredné Slovensko (SK03)";"United States (US)";1;1,41;0,01;0,03;7,26;"Battery"
"373976";"Stredné Slovensko (SK03)";"United States (US)";12;5,38;0,05;0,07;6,9;"Biomaterials"
"1950810";"Stredné Slovensko (SK03)";"United States (US)";1;8,33;0,01;0,01;7,87;"Hydrogen Fuel Cells"
"213779";"Stredné Slovensko (SK03)";"United States (US)";2;3,39;0,02;0,04;7,52;"Mobile Networks (5G/6G)"
"117764";"Stredné Slovensko (SK03)";"United States (US)";132;14,07;0,03;0,04;19,15;"Other"
"463792";"Stredné Slovensko (SK03)";"United States (US)";1;0,6;0;0,03;10,79;"Computer Vision, Language Processing & Object Recognition"
"381663";"Stredné Slovensko (SK03)";"United States (US)";15;8,24;0,11;0,07;5,19;"Green Consumer Goods"
"353722";"Stredné Slovensko (SK03)";"United States (US)";6;10,71;0,07;0,03;5,22;"Recycling"
"314042";"Stredné Slovensko (SK03)";"United States (US)";1;0,53;0;0,05;10,24;"Robotics"
"639401";"Stredné Slovensko (SK03)";"United States (US)";9;3,42;0;0,02;13,34;"Artificial Intelligence"
