"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"39844";"Sud-Est (RO22)";"United States (US)";2;5,56;0,02;0,02;5,55;"Waste Management"
"2390414";"Sud-Est (RO22)";"United States (US)";2;10;0,03;0,02;6,77;"Green Building"
"44604";"Sud-Est (RO22)";"United States (US)";2;66,67;0,01;0;11,32;"Quantum Technologies"
"50514";"Sud-Est (RO22)";"United States (US)";1;0,78;0;0,04;10,35;"Environmental Engineering"
"2383611";"Sud-Est (RO22)";"United States (US)";1;6,67;0,01;0,01;7,26;"Battery"
"372766";"Sud-Est (RO22)";"United States (US)";2;3,03;0,01;0,02;6,9;"Biomaterials"
"117807";"Sud-Est (RO22)";"United States (US)";45;8,67;0,01;0,02;19,15;"Other"
"461452";"Sud-Est (RO22)";"United States (US)";2;3,7;0;0,01;10,79;"Computer Vision, Language Processing & Object Recognition"
"382433";"Sud-Est (RO22)";"United States (US)";4;3,85;0,03;0,04;5,19;"Green Consumer Goods"
"353292";"Sud-Est (RO22)";"United States (US)";1;2,78;0,01;0,02;5,22;"Recycling"
"314642";"Sud-Est (RO22)";"United States (US)";2;1,82;0,01;0,03;10,24;"Robotics"
"637541";"Sud-Est (RO22)";"United States (US)";6;3,28;0;0,01;13,34;"Artificial Intelligence"
