"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1321";"Sydsverige (SE22)";"China (CN)";7;63,64;0,07;0,05;40,87;"Drones"
"530356";"Sydsverige (SE22)";"China (CN)";9;15,79;0,05;0,08;26,86;"Pollution Control"
"2824120";"Sydsverige (SE22)";"China (CN)";3;12;0,02;0,05;29;"Carbon Capture & Storage"
"2904108";"Sydsverige (SE22)";"China (CN)";4;25;0,03;0,03;22,11;"Sustainable Agriculture"
"3214107";"Sydsverige (SE22)";"China (CN)";21;32,31;0,15;0,1;21,49;"Biomass Energy"
"3581109";"Sydsverige (SE22)";"China (CN)";13;34,21;0,05;0,03;21,82;"Internet of Things (IoT)"
"1038157";"Sydsverige (SE22)";"China (CN)";2;50;0,03;0,02;39,44;"Hydroelectric Power"
"418058";"Sydsverige (SE22)";"China (CN)";10;22,22;0,03;0,05;36,46;"Water Management"
"412667";"Sydsverige (SE22)";"China (CN)";14;17,72;0,09;0,11;21,43;"Nuclear Energy"
"403969";"Sydsverige (SE22)";"China (CN)";45;115,38;0,17;0,03;23,25;"Solar Energy"
"346479";"Sydsverige (SE22)";"China (CN)";10;24,39;0,05;0,05;21,85;"Cloud Computing & Edge Computing"
"772933";"Sydsverige (SE22)";"China (CN)";24;22,86;0,08;0,07;20,73;"Waste Management"
"2135107";"Sydsverige (SE22)";"China (CN)";9;33,33;0,02;0,03;43,6;"Generative AI"
"2800103";"Sydsverige (SE22)";"China (CN)";12;42,86;0,09;0,03;12,8;"Blockchain Technologies"
"344760";"Sydsverige (SE22)";"China (CN)";7;15,91;0,03;0,05;32,36;"Energy Efficiency"
"353559";"Sydsverige (SE22)";"China (CN)";3;6,98;0,01;0,03;31,98;"Smart Grid"
"459158";"Sydsverige (SE22)";"China (CN)";6;4,92;0,03;0,12;18,28;"Green Building"
"403248";"Sydsverige (SE22)";"China (CN)";12;12,37;0,07;0,12;21,04;"Biofuels"
"811130";"Sydsverige (SE22)";"China (CN)";343;49,21;0,54;0,21;19,34;"Quantum Technologies"
"242790";"Sydsverige (SE22)";"China (CN)";5;15,15;0,07;0,12;24,78;"Geothermal Energy"
"934623";"Sydsverige (SE22)";"China (CN)";82;25,47;0,09;0,1;27,65;"Environmental Engineering"
"333047";"Sydsverige (SE22)";"China (CN)";11;19,3;0,05;0,07;25,13;"EVs & Charging Infrastructure"
"413034";"Sydsverige (SE22)";"China (CN)";25;25,77;0,02;0,04;42,46;"Battery"
"472928";"Sydsverige (SE22)";"China (CN)";33;11,46;0,07;0,14;24,48;"Semiconductors/Chips"
"708119";"Sydsverige (SE22)";"China (CN)";21;7,37;0,02;0,09;26,04;"Biomaterials"
"349829";"Sydsverige (SE22)";"China (CN)";38;35,85;0,06;0,07;42,46;"Hydrogen Fuel Cells"
"301830";"Sydsverige (SE22)";"China (CN)";130;135,42;0,45;0,09;26,05;"Heat Pumps"
"375130";"Sydsverige (SE22)";"China (CN)";28;19,18;0,06;0,09;28,79;"Mobile Networks (5G/6G)"
"228330";"Sydsverige (SE22)";"China (CN)";2;15,38;0,02;0,04;33,92;"Satellite Connectivity"
"450820";"Sydsverige (SE22)";"China (CN)";8;13,56;0,05;0,08;21,74;"High-Performance Computing (HPC)"
"213377";"Sydsverige (SE22)";"China (CN)";558;23,82;0,12;0,1;18,88;"Other"
"451517";"Sydsverige (SE22)";"China (CN)";20;19,8;0,04;0,05;23,26;"Cybersecurity Technologies"
"287019";"Sydsverige (SE22)";"China (CN)";3;1,35;0,03;0,35;17,08;"Software Engineering & System Development"
"838551";"Sydsverige (SE22)";"China (CN)";72;20,11;0,03;0,05;36,18;"Computer Vision, Language Processing & Object Recognition"
"701541";"Sydsverige (SE22)";"China (CN)";23;9,54;0,04;0,09;24,08;"Green Consumer Goods"
"652612";"Sydsverige (SE22)";"China (CN)";12;8,05;0,03;0,09;23,53;"Recycling"
"556211";"Sydsverige (SE22)";"China (CN)";21;13,38;0,02;0,04;32,76;"Robotics"
"1176011";"Sydsverige (SE22)";"China (CN)";79;6,61;0,03;0,09;18,93;"Artificial Intelligence"
