"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1208";"Taiwan (TW)";"China (CN)";46;17,36;0,47;1,11;40,87;"Drones"
"527456";"Taiwan (TW)";"China (CN)";86;15,38;0,44;0,77;26,86;"Pollution Control"
"2788122";"Taiwan (TW)";"China (CN)";62;16,27;0,43;0,77;29;"Carbon Capture & Storage"
"2986108";"Taiwan (TW)";"China (CN)";35;8,71;0,26;0,66;22,11;"Sustainable Agriculture"
"3263108";"Taiwan (TW)";"China (CN)";126;28,9;0,93;0,69;21,49;"Biomass Energy"
"3502104";"Taiwan (TW)";"China (CN)";243;21,32;0,94;0,96;21,82;"Internet of Things (IoT)"
"1006157";"Taiwan (TW)";"China (CN)";24;18,46;0,33;0,7;39,44;"Hydroelectric Power"
"986156";"Taiwan (TW)";"China (CN)";9;6,25;0,16;0,83;32,38;"Wind Energy"
"410568";"Taiwan (TW)";"China (CN)";169;27,26;0,54;0,72;36,46;"Water Management"
"403870";"Taiwan (TW)";"China (CN)";45;23,2;0,3;0,27;21,43;"Nuclear Energy"
"430756";"Taiwan (TW)";"China (CN)";186;13,33;0,7;1,22;23,25;"Solar Energy"
"3378100";"Taiwan (TW)";"China (CN)";200;23,01;1,05;1;21,85;"Cloud Computing & Edge Computing"
"741333";"Taiwan (TW)";"China (CN)";252;26,17;0,8;0,63;20,73;"Waste Management"
"2349106";"Taiwan (TW)";"China (CN)";179;13,11;0,43;1,43;43,6;"Generative AI"
"295080";"Taiwan (TW)";"China (CN)";201;39,03;1,5;0,49;12,8;"Blockchain Technologies"
"341779";"Taiwan (TW)";"China (CN)";132;27,79;0,51;0,59;32,36;"Energy Efficiency"
"339870";"Taiwan (TW)";"China (CN)";116;15,87;0,27;0,55;31,98;"Smart Grid"
"461339";"Taiwan (TW)";"China (CN)";78;16,7;0,41;0,45;18,28;"Green Building"
"377550";"Taiwan (TW)";"China (CN)";163;26,12;0,94;0,76;21,04;"Biofuels"
"810625";"Taiwan (TW)";"China (CN)";793;25,6;1,25;0,95;19,34;"Quantum Technologies"
"247390";"Taiwan (TW)";"China (CN)";16;13,22;0,24;0,45;24,78;"Geothermal Energy"
"939323";"Taiwan (TW)";"China (CN)";435;19,39;0,47;0,67;27,65;"Environmental Engineering"
"321068";"Taiwan (TW)";"China (CN)";88;22,45;0,43;0,48;25,13;"EVs & Charging Infrastructure"
"409334";"Taiwan (TW)";"China (CN)";706;22,97;0,64;1,18;42,46;"Battery"
"488428";"Taiwan (TW)";"China (CN)";412;8,99;0,82;2,23;24,48;"Semiconductors/Chips"
"680225";"Taiwan (TW)";"China (CN)";334;13,07;0,39;0,77;26,04;"Biomaterials"
"349729";"Taiwan (TW)";"China (CN)";645;39,64;1,05;1,12;42,46;"Hydrogen Fuel Cells"
"308430";"Taiwan (TW)";"China (CN)";189;15,33;0,65;1,11;26,05;"Heat Pumps"
"376527";"Taiwan (TW)";"China (CN)";458;21,19;0,98;1,33;28,79;"Mobile Networks (5G/6G)"
"232630";"Taiwan (TW)";"China (CN)";35;16,06;0,32;0,68;33,92;"Satellite Connectivity"
"472120";"Taiwan (TW)";"China (CN)";89;12,82;0,57;0,97;21,74;"High-Performance Computing (HPC)"
"210627";"Taiwan (TW)";"China (CN)";2576;20,79;0,56;0,51;18,88;"Other"
"460617";"Taiwan (TW)";"China (CN)";470;26,64;0,98;0,86;23,26;"Cybersecurity Technologies"
"283119";"Taiwan (TW)";"China (CN)";46;13,03;0,42;0,55;17,08;"Software Engineering & System Development"
"819651";"Taiwan (TW)";"China (CN)";1009;12,66;0,42;1,19;36,18;"Computer Vision, Language Processing & Object Recognition"
"707161";"Taiwan (TW)";"China (CN)";511;23,65;0,79;0,8;24,08;"Green Consumer Goods"
"664412";"Taiwan (TW)";"China (CN)";303;21,01;0,76;0,85;23,53;"Recycling"
"571911";"Taiwan (TW)";"China (CN)";391;12,97;0,33;0,83;32,76;"Robotics"
"1155811";"Taiwan (TW)";"China (CN)";1404;13,17;0,53;0,76;18,93;"Artificial Intelligence"
