"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"26604";"Tajikistan (TJ)";"United States (US)";1;8,33;0,02;0,02;6,42;"Pollution Control"
"1504148";"Tajikistan (TJ)";"United States (US)";1;12,5;0,02;0,02;11,65;"Carbon Capture & Storage"
"2074022";"Tajikistan (TJ)";"United States (US)";1;7,69;0,02;0,02;6,37;"Water Management"
"2243319";"Tajikistan (TJ)";"United States (US)";1;3,45;0,01;0,04;15,64;"Nuclear Energy"
"39934";"Tajikistan (TJ)";"United States (US)";1;6,25;0,01;0,01;5,55;"Waste Management"
"2043221";"Tajikistan (TJ)";"United States (US)";1;12,5;0,02;0,01;7,09;"Energy Efficiency"
"1899019";"Tajikistan (TJ)";"United States (US)";1;33,33;0,01;0;8,72;"Smart Grid"
"2363014";"Tajikistan (TJ)";"United States (US)";1;8,33;0,01;0,01;6,77;"Green Building"
"44634";"Tajikistan (TJ)";"United States (US)";9;11,11;0,02;0,02;11,32;"Quantum Technologies"
"50791";"Tajikistan (TJ)";"United States (US)";4;6,06;0,01;0,02;10,35;"Environmental Engineering"
"2603010";"Tajikistan (TJ)";"United States (US)";4;7,84;0,02;0,02;11,62;"Semiconductors/Chips"
"372776";"Tajikistan (TJ)";"United States (US)";7;14;0,03;0,02;6,9;"Biomaterials"
"1947212";"Tajikistan (TJ)";"United States (US)";3;13,04;0,03;0,02;7,87;"Hydrogen Fuel Cells"
"1591015";"Tajikistan (TJ)";"United States (US)";2;11,11;0,03;0,02;7,13;"Heat Pumps"
"213299";"Tajikistan (TJ)";"United States (US)";1;16,67;0,01;0;7,52;"Mobile Networks (5G/6G)"
"2461410";"Tajikistan (TJ)";"United States (US)";5;41,67;0,04;0,02;17,7;"High-Performance Computing (HPC)"
"117836";"Tajikistan (TJ)";"United States (US)";71;9,52;0,02;0,03;19,15;"Other"
"260946";"Tajikistan (TJ)";"United States (US)";4;36,36;0,02;0,01;11,89;"Cybersecurity Technologies"
"463552";"Tajikistan (TJ)";"United States (US)";6;12,5;0,01;0,01;10,79;"Computer Vision, Language Processing & Object Recognition"
"384143";"Tajikistan (TJ)";"United States (US)";6;21,43;0,04;0,01;5,19;"Green Consumer Goods"
"314802";"Tajikistan (TJ)";"United States (US)";9;11,11;0,02;0,02;10,24;"Robotics"
"639651";"Tajikistan (TJ)";"United States (US)";16;3,79;0,01;0,03;13,34;"Artificial Intelligence"
