"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"399678";"Thessalia (EL14)";"China (CN)";1;3,57;0;0,03;36,46;"Water Management"
"392770";"Thessalia (EL14)";"China (CN)";4;8,7;0,03;0,06;21,43;"Nuclear Energy"
"418556";"Thessalia (EL14)";"China (CN)";3;12,5;0,01;0,02;23,25;"Solar Energy"
"741633";"Thessalia (EL14)";"China (CN)";1;4,35;0;0,02;20,73;"Waste Management"
"803825";"Thessalia (EL14)";"China (CN)";149;69,95;0,24;0,07;19,34;"Quantum Technologies"
"941026";"Thessalia (EL14)";"China (CN)";2;8,33;0;0,01;27,65;"Environmental Engineering"
"329047";"Thessalia (EL14)";"China (CN)";1;100;0;0;25,13;"EVs & Charging Infrastructure"
"419429";"Thessalia (EL14)";"China (CN)";9;64,29;0,01;0,01;42,46;"Battery"
"474528";"Thessalia (EL14)";"China (CN)";7;46,67;0,01;0,01;24,48;"Semiconductors/Chips"
"699818";"Thessalia (EL14)";"China (CN)";1;0,8;0;0,04;26,04;"Biomaterials"
"340536";"Thessalia (EL14)";"China (CN)";12;70,59;0,02;0,01;42,46;"Hydrogen Fuel Cells"
"385327";"Thessalia (EL14)";"China (CN)";2;7,41;0;0,02;28,79;"Mobile Networks (5G/6G)"
"468123";"Thessalia (EL14)";"China (CN)";1;4,76;0,01;0,03;21,74;"High-Performance Computing (HPC)"
"211077";"Thessalia (EL14)";"China (CN)";20;6,27;0;0,01;18,88;"Other"
"455617";"Thessalia (EL14)";"China (CN)";1;3,12;0;0,02;23,26;"Cybersecurity Technologies"
"706541";"Thessalia (EL14)";"China (CN)";2;2,3;0;0,03;24,08;"Green Consumer Goods"
"634412";"Thessalia (EL14)";"China (CN)";1;1,92;0;0,03;23,53;"Recycling"
"1152811";"Thessalia (EL14)";"China (CN)";16;5,57;0,01;0,02;18,93;"Artificial Intelligence"
