"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"6984";"Turkiye (TR)";"United States (US)";32;9,88;1,83;1,36;7,33;"Drones"
"26802";"Turkiye (TR)";"United States (US)";73;8,45;1,57;1,19;6,42;"Pollution Control"
"1501041";"Turkiye (TR)";"United States (US)";46;14,29;0,79;0,65;11,65;"Carbon Capture & Storage"
"1671332";"Turkiye (TR)";"United States (US)";56;6,04;1,2;1,53;7,7;"Sustainable Agriculture"
"1716030";"Turkiye (TR)";"United States (US)";76;5,71;1,79;2,11;6,73;"Biomass Energy"
"1912926";"Turkiye (TR)";"United States (US)";67;6,41;1,2;0,88;4,71;"Internet of Things (IoT)"
"501455";"Turkiye (TR)";"United States (US)";36;9,52;3,85;2,04;5,05;"Hydroelectric Power"
"509648";"Turkiye (TR)";"United States (US)";11;6,25;1,03;1,01;6,15;"Wind Energy"
"2067022";"Turkiye (TR)";"United States (US)";55;4,98;1;1,28;6,37;"Water Management"
"2253618";"Turkiye (TR)";"United States (US)";51;5,37;0,46;1,33;15,64;"Nuclear Energy"
"2249717";"Turkiye (TR)";"United States (US)";113;5,09;1,53;1,94;6,49;"Solar Energy"
"1842129";"Turkiye (TR)";"United States (US)";62;9,16;0,88;0,78;8,08;"Cloud Computing & Edge Computing"
"40166";"Turkiye (TR)";"United States (US)";151;5,45;1,79;1,83;5,55;"Waste Management"
"1221143";"Turkiye (TR)";"United States (US)";57;6,59;0,59;0,91;10,05;"Generative AI"
"1656523";"Turkiye (TR)";"United States (US)";80;8,67;1,62;0,88;4,71;"Blockchain Technologies"
"2032420";"Turkiye (TR)";"United States (US)";79;5,65;1,39;1,74;7,09;"Energy Efficiency"
"1891619";"Turkiye (TR)";"United States (US)";107;8,03;0,93;1,01;8,72;"Smart Grid"
"2369914";"Turkiye (TR)";"United States (US)";130;5,11;1,84;2,44;6,77;"Green Building"
"2036122";"Turkiye (TR)";"United States (US)";73;7,41;1,3;1,2;6,84;"Biofuels"
"44553";"Turkiye (TR)";"United States (US)";957;36,65;2,58;0,8;11,32;"Quantum Technologies"
"1106924";"Turkiye (TR)";"United States (US)";27;9,09;1,2;1,1;8,37;"Geothermal Energy"
"50820";"Turkiye (TR)";"United States (US)";357;7,29;1,03;1,47;10,35;"Environmental Engineering"
"1862814";"Turkiye (TR)";"United States (US)";78;5,17;1,34;1,86;7,17;"EVs & Charging Infrastructure"
"2373811";"Turkiye (TR)";"United States (US)";160;7,16;0,85;0,86;7,26;"Battery"
"2580910";"Turkiye (TR)";"United States (US)";130;6,94;0,54;0,91;11,62;"Semiconductors/Chips"
"372096";"Turkiye (TR)";"United States (US)";394;6,42;1,72;1,85;6,9;"Biomaterials"
"1947010";"Turkiye (TR)";"United States (US)";82;6,16;0,72;0,92;7,87;"Hydrogen Fuel Cells"
"1600212";"Turkiye (TR)";"United States (US)";121;6,43;1,53;1,7;7,13;"Heat Pumps"
"2127410";"Turkiye (TR)";"United States (US)";189;11,51;1,55;1,01;7,52;"Mobile Networks (5G/6G)"
"1209514";"Turkiye (TR)";"United States (US)";29;11,42;0,72;0,8;12,69;"Satellite Connectivity"
"2464210";"Turkiye (TR)";"United States (US)";92;27,63;0,73;0,46;17,7;"High-Performance Computing (HPC)"
"118011";"Turkiye (TR)";"United States (US)";1935;7,99;0,42;1;19,15;"Other"
"262236";"Turkiye (TR)";"United States (US)";199;8,69;0,81;1,11;11,89;"Cybersecurity Technologies"
"164376";"Turkiye (TR)";"United States (US)";56;8,6;0,6;1,01;14,5;"Software Engineering & System Development"
"464402";"Turkiye (TR)";"United States (US)";483;7,3;0,67;0,99;10,79;"Computer Vision, Language Processing & Object Recognition"
"383683";"Turkiye (TR)";"United States (US)";386;5,6;2,77;2,56;5,19;"Green Consumer Goods"
"354792";"Turkiye (TR)";"United States (US)";248;6,86;2,79;2,12;5,22;"Recycling"
"314762";"Turkiye (TR)";"United States (US)";239;7,51;0,64;0,87;10,24;"Robotics"
"637891";"Turkiye (TR)";"United States (US)";954;5,69;0,51;1,19;13,34;"Artificial Intelligence"
