"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"540356";"Utrecht (NL31)";"China (CN)";34;19,32;0,17;0,24;26,86;"Pollution Control"
"2942116";"Utrecht (NL31)";"China (CN)";12;12,24;0,08;0,2;29;"Carbon Capture & Storage"
"3053109";"Utrecht (NL31)";"China (CN)";6;23,08;0,04;0,04;22,11;"Sustainable Agriculture"
"3140107";"Utrecht (NL31)";"China (CN)";5;22,73;0,04;0,03;21,49;"Biomass Energy"
"3617101";"Utrecht (NL31)";"China (CN)";2;9,52;0,01;0,02;21,82;"Internet of Things (IoT)"
"1025157";"Utrecht (NL31)";"China (CN)";9;112,5;0,12;0,04;39,44;"Hydroelectric Power"
"968156";"Utrecht (NL31)";"China (CN)";1;50;0,02;0,01;32,38;"Wind Energy"
"421458";"Utrecht (NL31)";"China (CN)";28;28,28;0,09;0,11;36,46;"Water Management"
"401280";"Utrecht (NL31)";"China (CN)";6;28,57;0,04;0,03;21,43;"Nuclear Energy"
"425956";"Utrecht (NL31)";"China (CN)";7;12,07;0,03;0,05;23,25;"Solar Energy"
"355079";"Utrecht (NL31)";"China (CN)";3;10,71;0,02;0,03;21,85;"Cloud Computing & Edge Computing"
"764146";"Utrecht (NL31)";"China (CN)";23;18,7;0,07;0,08;20,73;"Waste Management"
"2376106";"Utrecht (NL31)";"China (CN)";12;14,29;0,03;0,09;43,6;"Generative AI"
"2849102";"Utrecht (NL31)";"China (CN)";2;8;0,01;0,02;12,8;"Blockchain Technologies"
"352560";"Utrecht (NL31)";"China (CN)";14;13,33;0,05;0,13;32,36;"Energy Efficiency"
"350859";"Utrecht (NL31)";"China (CN)";11;22,45;0,03;0,04;31,98;"Smart Grid"
"441239";"Utrecht (NL31)";"China (CN)";9;12,33;0,05;0,07;18,28;"Green Building"
"397848";"Utrecht (NL31)";"China (CN)";14;16,09;0,08;0,11;21,04;"Biofuels"
"809225";"Utrecht (NL31)";"China (CN)";192;50,13;0,3;0,12;19,34;"Quantum Technologies"
"2350100";"Utrecht (NL31)";"China (CN)";5;6,58;0,07;0,28;24,78;"Geothermal Energy"
"953823";"Utrecht (NL31)";"China (CN)";168;25,04;0,18;0,2;27,65;"Environmental Engineering"
"323547";"Utrecht (NL31)";"China (CN)";12;15,38;0,06;0,1;25,13;"EVs & Charging Infrastructure"
"402836";"Utrecht (NL31)";"China (CN)";14;20;0,01;0,03;42,46;"Battery"
"465828";"Utrecht (NL31)";"China (CN)";6;7,23;0,01;0,04;24,48;"Semiconductors/Chips"
"680325";"Utrecht (NL31)";"China (CN)";25;9,09;0,03;0,08;26,04;"Biomaterials"
"346229";"Utrecht (NL31)";"China (CN)";24;32,88;0,04;0,05;42,46;"Hydrogen Fuel Cells"
"287030";"Utrecht (NL31)";"China (CN)";6;17,65;0,02;0,03;26,05;"Heat Pumps"
"386227";"Utrecht (NL31)";"China (CN)";4;11,11;0,01;0,02;28,79;"Mobile Networks (5G/6G)"
"460120";"Utrecht (NL31)";"China (CN)";6;8,11;0,04;0,1;21,74;"High-Performance Computing (HPC)"
"212287";"Utrecht (NL31)";"China (CN)";1148;22,47;0,25;0,21;18,88;"Other"
"453117";"Utrecht (NL31)";"China (CN)";15;14,56;0,03;0,05;23,26;"Cybersecurity Technologies"
"279319";"Utrecht (NL31)";"China (CN)";2;2,2;0,02;0,14;17,08;"Software Engineering & System Development"
"831181";"Utrecht (NL31)";"China (CN)";86;15,66;0,04;0,08;36,18;"Computer Vision, Language Processing & Object Recognition"
"694513";"Utrecht (NL31)";"China (CN)";15;7,18;0,02;0,08;24,08;"Green Consumer Goods"
"635412";"Utrecht (NL31)";"China (CN)";18;10;0,04;0,11;23,53;"Recycling"
"558511";"Utrecht (NL31)";"China (CN)";30;19,48;0,03;0,04;32,76;"Robotics"
"1152211";"Utrecht (NL31)";"China (CN)";138;5,67;0,05;0,17;18,93;"Artificial Intelligence"
