"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1323";"Uzbekistan (UZ)";"China (CN)";1;100;0,01;0;40,87;"Drones"
"517956";"Uzbekistan (UZ)";"China (CN)";4;17,39;0,02;0,03;26,86;"Pollution Control"
"2855120";"Uzbekistan (UZ)";"China (CN)";11;37,93;0,08;0,06;29;"Carbon Capture & Storage"
"3102116";"Uzbekistan (UZ)";"China (CN)";4;5;0,03;0,13;22,11;"Sustainable Agriculture"
"3045107";"Uzbekistan (UZ)";"China (CN)";10;17,86;0,07;0,09;21,49;"Biomass Energy"
"3429106";"Uzbekistan (UZ)";"China (CN)";5;13,16;0,02;0,03;21,82;"Internet of Things (IoT)"
"994157";"Uzbekistan (UZ)";"China (CN)";1;1,52;0,01;0,36;39,44;"Hydroelectric Power"
"398878";"Uzbekistan (UZ)";"China (CN)";18;16,22;0,06;0,13;36,46;"Water Management"
"391970";"Uzbekistan (UZ)";"China (CN)";10;17,86;0,07;0,08;21,43;"Nuclear Energy"
"412860";"Uzbekistan (UZ)";"China (CN)";38;13,82;0,14;0,24;23,25;"Solar Energy"
"3330100";"Uzbekistan (UZ)";"China (CN)";3;14,29;0,02;0,02;21,85;"Cloud Computing & Edge Computing"
"748933";"Uzbekistan (UZ)";"China (CN)";15;23,08;0,05;0,04;20,73;"Waste Management"
"2279107";"Uzbekistan (UZ)";"China (CN)";4;25;0,01;0,02;43,6;"Generative AI"
"297680";"Uzbekistan (UZ)";"China (CN)";4;10;0,03;0,04;12,8;"Blockchain Technologies"
"342279";"Uzbekistan (UZ)";"China (CN)";5;8,93;0,02;0,07;32,36;"Energy Efficiency"
"330070";"Uzbekistan (UZ)";"China (CN)";14;38,89;0,03;0,03;31,98;"Smart Grid"
"460439";"Uzbekistan (UZ)";"China (CN)";6;3,73;0,03;0,15;18,28;"Green Building"
"400048";"Uzbekistan (UZ)";"China (CN)";4;11,11;0,02;0,04;21,04;"Biofuels"
"816325";"Uzbekistan (UZ)";"China (CN)";97;24,56;0,15;0,12;19,34;"Quantum Technologies"
"2442101";"Uzbekistan (UZ)";"China (CN)";3;23,08;0,04;0,05;24,78;"Geothermal Energy"
"947823";"Uzbekistan (UZ)";"China (CN)";56;26,54;0,06;0,06;27,65;"Environmental Engineering"
"343947";"Uzbekistan (UZ)";"China (CN)";13;30,23;0,06;0,05;25,13;"EVs & Charging Infrastructure"
"429629";"Uzbekistan (UZ)";"China (CN)";50;76,92;0,05;0,03;42,46;"Battery"
"467528";"Uzbekistan (UZ)";"China (CN)";22;6,41;0,04;0,17;24,48;"Semiconductors/Chips"
"700818";"Uzbekistan (UZ)";"China (CN)";47;18,95;0,05;0,07;26,04;"Biomaterials"
"334036";"Uzbekistan (UZ)";"China (CN)";20;50;0,03;0,03;42,46;"Hydrogen Fuel Cells"
"288630";"Uzbekistan (UZ)";"China (CN)";45;23,2;0,16;0,18;26,05;"Heat Pumps"
"386527";"Uzbekistan (UZ)";"China (CN)";3;4;0,01;0,05;28,79;"Mobile Networks (5G/6G)"
"226630";"Uzbekistan (UZ)";"China (CN)";1;20;0,01;0,02;33,92;"Satellite Connectivity"
"452220";"Uzbekistan (UZ)";"China (CN)";2;16,67;0,01;0,02;21,74;"High-Performance Computing (HPC)"
"213547";"Uzbekistan (UZ)";"China (CN)";301;17,97;0,07;0,07;18,88;"Other"
"448117";"Uzbekistan (UZ)";"China (CN)";12;6,25;0,03;0,09;23,26;"Cybersecurity Technologies"
"295919";"Uzbekistan (UZ)";"China (CN)";1;14,29;0,01;0,01;17,08;"Software Engineering & System Development"
"812851";"Uzbekistan (UZ)";"China (CN)";12;6,09;0;0,03;36,18;"Computer Vision, Language Processing & Object Recognition"
"675513";"Uzbekistan (UZ)";"China (CN)";51;24,88;0,08;0,08;24,08;"Green Consumer Goods"
"658112";"Uzbekistan (UZ)";"China (CN)";23;20,91;0,06;0,06;23,53;"Recycling"
"559111";"Uzbekistan (UZ)";"China (CN)";14;1,47;0,01;0,26;32,76;"Robotics"
"1158511";"Uzbekistan (UZ)";"China (CN)";31;3,33;0,01;0,07;18,93;"Artificial Intelligence"
