"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"26700";"Uzbekistan (UZ)";"United States (US)";1;4,35;0,02;0,03;6,42;"Pollution Control"
"1517032";"Uzbekistan (UZ)";"United States (US)";3;10,34;0,05;0,06;11,65;"Carbon Capture & Storage"
"1669531";"Uzbekistan (UZ)";"United States (US)";2;2,5;0,04;0,13;7,7;"Sustainable Agriculture"
"1699430";"Uzbekistan (UZ)";"United States (US)";3;5,36;0,07;0,09;6,73;"Biomass Energy"
"1890327";"Uzbekistan (UZ)";"United States (US)";4;10,53;0,07;0,03;4,71;"Internet of Things (IoT)"
"503755";"Uzbekistan (UZ)";"United States (US)";1;1,52;0,11;0,36;5,05;"Hydroelectric Power"
"2067133";"Uzbekistan (UZ)";"United States (US)";1;0,9;0,02;0,13;6,37;"Water Management"
"2231023";"Uzbekistan (UZ)";"United States (US)";4;7,14;0,04;0,08;15,64;"Nuclear Energy"
"2248017";"Uzbekistan (UZ)";"United States (US)";5;1,82;0,07;0,24;6,49;"Solar Energy"
"1832922";"Uzbekistan (UZ)";"United States (US)";4;19,05;0,06;0,02;8,08;"Cloud Computing & Edge Computing"
"40122";"Uzbekistan (UZ)";"United States (US)";3;4,62;0,04;0,04;5,55;"Waste Management"
"1237230";"Uzbekistan (UZ)";"United States (US)";1;6,25;0,01;0,02;10,05;"Generative AI"
"1660023";"Uzbekistan (UZ)";"United States (US)";4;10;0,08;0,04;4,71;"Blockchain Technologies"
"1878320";"Uzbekistan (UZ)";"United States (US)";3;8,33;0,03;0,03;8,72;"Smart Grid"
"2379914";"Uzbekistan (UZ)";"United States (US)";1;0,62;0,01;0,15;6,77;"Green Building"
"44564";"Uzbekistan (UZ)";"United States (US)";58;14,68;0,16;0,12;11,32;"Quantum Technologies"
"50527";"Uzbekistan (UZ)";"United States (US)";14;6,64;0,04;0,06;10,35;"Environmental Engineering"
"1877119";"Uzbekistan (UZ)";"United States (US)";2;4,65;0,03;0,05;7,17;"EVs & Charging Infrastructure"
"2389711";"Uzbekistan (UZ)";"United States (US)";15;23,08;0,08;0,03;7,26;"Battery"
"2576312";"Uzbekistan (UZ)";"United States (US)";8;2,33;0,03;0,17;11,62;"Semiconductors/Chips"
"372739";"Uzbekistan (UZ)";"United States (US)";5;2,02;0,02;0,07;6,9;"Biomaterials"
"1939510";"Uzbekistan (UZ)";"United States (US)";9;22,5;0,08;0,03;7,87;"Hydrogen Fuel Cells"
"1601611";"Uzbekistan (UZ)";"United States (US)";8;4,12;0,1;0,18;7,13;"Heat Pumps"
"212359";"Uzbekistan (UZ)";"United States (US)";4;5,33;0,03;0,05;7,52;"Mobile Networks (5G/6G)"
"1214115";"Uzbekistan (UZ)";"United States (US)";2;40;0,05;0,02;12,69;"Satellite Connectivity"
"118032";"Uzbekistan (UZ)";"United States (US)";83;4,96;0,02;0,07;19,15;"Other"
"262446";"Uzbekistan (UZ)";"United States (US)";8;4,17;0,03;0,09;11,89;"Cybersecurity Technologies"
"463082";"Uzbekistan (UZ)";"United States (US)";10;5,08;0,01;0,03;10,79;"Computer Vision, Language Processing & Object Recognition"
"382223";"Uzbekistan (UZ)";"United States (US)";6;2,93;0,04;0,08;5,19;"Green Consumer Goods"
"356582";"Uzbekistan (UZ)";"United States (US)";5;4,55;0,06;0,06;5,22;"Recycling"
"315592";"Uzbekistan (UZ)";"United States (US)";8;0,84;0,02;0,26;10,24;"Robotics"
"638107";"Uzbekistan (UZ)";"United States (US)";18;1,93;0,01;0,07;13,34;"Artificial Intelligence"
