"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"1311";"Veneto (ITH3)";"China (CN)";7;31,82;0,07;0,09;40,87;"Drones"
"529356";"Veneto (ITH3)";"China (CN)";11;6,71;0,06;0,23;26,86;"Pollution Control"
"2959109";"Veneto (ITH3)";"China (CN)";9;15,25;0,06;0,12;29;"Carbon Capture & Storage"
"3119108";"Veneto (ITH3)";"China (CN)";14;20,29;0,1;0,11;22,11;"Sustainable Agriculture"
"3226107";"Veneto (ITH3)";"China (CN)";8;13,11;0,06;0,1;21,49;"Biomass Energy"
"3476101";"Veneto (ITH3)";"China (CN)";2;1,68;0,01;0,1;21,82;"Internet of Things (IoT)"
"1010157";"Veneto (ITH3)";"China (CN)";19;44,19;0,26;0,23;39,44;"Hydroelectric Power"
"1025156";"Veneto (ITH3)";"China (CN)";3;15;0,05;0,11;32,38;"Wind Energy"
"417768";"Veneto (ITH3)";"China (CN)";14;25,45;0,04;0,06;36,46;"Water Management"
"406070";"Veneto (ITH3)";"China (CN)";23;15,86;0,15;0,2;21,43;"Nuclear Energy"
"429556";"Veneto (ITH3)";"China (CN)";6;5,77;0,02;0,09;23,25;"Solar Energy"
"354779";"Veneto (ITH3)";"China (CN)";2;2,41;0,01;0,1;21,85;"Cloud Computing & Edge Computing"
"771433";"Veneto (ITH3)";"China (CN)";36;14,75;0,11;0,16;20,73;"Waste Management"
"2174107";"Veneto (ITH3)";"China (CN)";8;10;0,02;0,08;43,6;"Generative AI"
"299380";"Veneto (ITH3)";"China (CN)";7;9,33;0,05;0,07;12,8;"Blockchain Technologies"
"353460";"Veneto (ITH3)";"China (CN)";5;5,95;0,02;0,1;32,36;"Energy Efficiency"
"347659";"Veneto (ITH3)";"China (CN)";29;17,9;0,07;0,12;31,98;"Smart Grid"
"445339";"Veneto (ITH3)";"China (CN)";21;5,24;0,11;0,39;18,28;"Green Building"
"377250";"Veneto (ITH3)";"China (CN)";23;10,9;0,13;0,26;21,04;"Biofuels"
"825825";"Veneto (ITH3)";"China (CN)";515;50,39;0,81;0,31;19,34;"Quantum Technologies"
"237490";"Veneto (ITH3)";"China (CN)";6;6,67;0,09;0,33;24,78;"Geothermal Energy"
"936423";"Veneto (ITH3)";"China (CN)";86;17,88;0,09;0,14;27,65;"Environmental Engineering"
"340347";"Veneto (ITH3)";"China (CN)";10;10,64;0,05;0,12;25,13;"EVs & Charging Infrastructure"
"419529";"Veneto (ITH3)";"China (CN)";58;26,61;0,05;0,08;42,46;"Battery"
"483228";"Veneto (ITH3)";"China (CN)";14;4,07;0,03;0,17;24,48;"Semiconductors/Chips"
"703918";"Veneto (ITH3)";"China (CN)";35;7,64;0,04;0,14;26,04;"Biomaterials"
"334236";"Veneto (ITH3)";"China (CN)";25;14,97;0,04;0,12;42,46;"Hydrogen Fuel Cells"
"292930";"Veneto (ITH3)";"China (CN)";18;12;0,06;0,14;26,05;"Heat Pumps"
"388727";"Veneto (ITH3)";"China (CN)";16;6,23;0,03;0,16;28,79;"Mobile Networks (5G/6G)"
"235430";"Veneto (ITH3)";"China (CN)";7;5,19;0,06;0,42;33,92;"Satellite Connectivity"
"449620";"Veneto (ITH3)";"China (CN)";4;6,15;0,03;0,09;21,74;"High-Performance Computing (HPC)"
"210647";"Veneto (ITH3)";"China (CN)";468;11,98;0,1;0,16;18,88;"Other"
"459717";"Veneto (ITH3)";"China (CN)";31;10,37;0,06;0,15;23,26;"Cybersecurity Technologies"
"282119";"Veneto (ITH3)";"China (CN)";1;1,27;0,01;0,12;17,08;"Software Engineering & System Development"
"827451";"Veneto (ITH3)";"China (CN)";61;7,18;0,03;0,13;36,18;"Computer Vision, Language Processing & Object Recognition"
"702741";"Veneto (ITH3)";"China (CN)";27;7,65;0,04;0,13;24,08;"Green Consumer Goods"
"648412";"Veneto (ITH3)";"China (CN)";38;11,91;0,09;0,19;23,53;"Recycling"
"566311";"Veneto (ITH3)";"China (CN)";44;7,04;0,04;0,17;32,76;"Robotics"
"1169411";"Veneto (ITH3)";"China (CN)";124;4,21;0,05;0,21;18,93;"Artificial Intelligence"
