"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"7029";"Vest (RO42)";"United States (US)";1;50;0,06;0,01;7,33;"Drones"
"2076137";"Vest (RO42)";"United States (US)";3;9,68;0,05;0,04;6,37;"Water Management"
"2024520";"Vest (RO42)";"United States (US)";2;10;0,04;0,02;7,09;"Energy Efficiency"
"2374119";"Vest (RO42)";"United States (US)";3;2,91;0,04;0,1;6,77;"Green Building"
"2021122";"Vest (RO42)";"United States (US)";1;6,25;0,02;0,02;6,84;"Biofuels"
"44777";"Vest (RO42)";"United States (US)";102;226,67;0,28;0,01;11,32;"Quantum Technologies"
"50741";"Vest (RO42)";"United States (US)";16;12,31;0,05;0,04;10,35;"Environmental Engineering"
"2395313";"Vest (RO42)";"United States (US)";3;5,26;0,02;0,02;7,26;"Battery"
"371866";"Vest (RO42)";"United States (US)";7;5,38;0,03;0,04;6,9;"Biomaterials"
"1957311";"Vest (RO42)";"United States (US)";2;7,69;0,02;0,02;7,87;"Hydrogen Fuel Cells"
"2108114";"Vest (RO42)";"United States (US)";2;4,35;0,02;0,03;7,52;"Mobile Networks (5G/6G)"
"248098";"Vest (RO42)";"United States (US)";3;20;0,02;0,02;17,7;"High-Performance Computing (HPC)"
"117759";"Vest (RO42)";"United States (US)";38;5,81;0,01;0,03;19,15;"Other"
"261536";"Vest (RO42)";"United States (US)";3;5,08;0,01;0,03;11,89;"Cybersecurity Technologies"
"164086";"Vest (RO42)";"United States (US)";1;3,03;0,01;0,05;14,5;"Software Engineering & System Development"
"464022";"Vest (RO42)";"United States (US)";2;0,99;0;0,03;10,79;"Computer Vision, Language Processing & Object Recognition"
"382423";"Vest (RO42)";"United States (US)";6;4,62;0,04;0,05;5,19;"Green Consumer Goods"
"355103";"Vest (RO42)";"United States (US)";4;4,4;0,04;0,05;5,22;"Recycling"
"315212";"Vest (RO42)";"United States (US)";10;5,26;0,03;0,05;10,24;"Robotics"
"640671";"Vest (RO42)";"United States (US)";23;5,35;0,01;0,03;13,34;"Artificial Intelligence"
