"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"94";"Andalucía (ES61)";"United States (US)";1;33,33;1,35;0,46;11,46;"Hydroelectric Power"
"286114";"Andalucía (ES61)";"United States (US)";5;19,23;0,04;0,06;32,18;"Generative AI"
"4169";"Andalucía (ES61)";"United States (US)";5;16,13;0,02;0,04;29,03;"Computer Vision, Language Processing & Object Recognition"
"154511";"Andalucía (ES61)";"United States (US)";1;16,67;0,02;0,03;29,4;"Cloud Computing & Edge Computing"
"117116";"Andalucía (ES61)";"United States (US)";1;50;0,02;0,01;25,88;"Satellite Connectivity"
"14709";"Andalucía (ES61)";"United States (US)";3;30;0,02;0,02;25,1;"Mobile Networks (5G/6G)"
"99710";"Andalucía (ES61)";"United States (US)";1;100;0,02;0,01;29,78;"Quantum Technologies"
"40874";"Andalucía (ES61)";"United States (US)";5;15,62;0,02;0,05;30,44;"Artificial Intelligence"
"5046";"Andalucía (ES61)";"United States (US)";7;24,14;0,02;0,03;28,6;"Cybersecurity Technologies"
"248110";"Andalucía (ES61)";"United States (US)";1;20;0,01;0,02;24,18;"Robotics"
