"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"131008";"Berlin (DE30)";"China (CN)";2;33,33;1,01;0,64;21,13;"Smart Grid"
"41246";"Berlin (DE30)";"China (CN)";1;4;0,04;0,16;16,25;"Wind Energy"
"53936";"Berlin (DE30)";"China (CN)";4;4,65;0,04;0,2;25,62;"Generative AI"
"37439";"Berlin (DE30)";"China (CN)";1;2,56;0,02;0,14;22,12;"Software Engineering & System Development"
"71717";"Berlin (DE30)";"China (CN)";5;3,42;0,02;0,2;28,25;"Computer Vision, Language Processing & Object Recognition"
"38236";"Berlin (DE30)";"China (CN)";1;1,67;0,01;0,12;24,09;"Semiconductors/Chips"
"25047";"Berlin (DE30)";"China (CN)";1;4,55;0,01;0,11;35,18;"Cloud Computing & Edge Computing"
"23540";"Berlin (DE30)";"China (CN)";1;2,94;0,02;0,24;29,33;"Internet of Things (IoT)"
"24838";"Berlin (DE30)";"China (CN)";2;2,06;0,01;0,18;39,16;"Mobile Networks (5G/6G)"
"6538";"Berlin (DE30)";"China (CN)";5;3,85;0,02;0,19;29,98;"Artificial Intelligence"
"8467";"Berlin (DE30)";"China (CN)";10;4,41;0,03;0,2;31,07;"Cybersecurity Technologies"
"33916";"Berlin (DE30)";"China (CN)";2;5,41;0,04;0,18;23,26;"Heat Pumps"
"7303";"Berlin (DE30)";"China (CN)";2;1,34;0,01;0,2;23,88;"Battery"
"48712";"Berlin (DE30)";"China (CN)";2;2,33;0,02;0,25;28,01;"Solar Energy"
"7631";"Berlin (DE30)";"China (CN)";1;1,11;0,01;0,17;19,17;"Hydrogen Fuel Cells"
