"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"2821";"Małopolskie (PL21)";"United States (US)";3;150;0,1;0,01;20,1;"Wind Energy"
"129105";"Małopolskie (PL21)";"United States (US)";2;200;1,46;0,19;25,42;"Biofuels"
"188812";"Małopolskie (PL21)";"United States (US)";1;100;0,03;0,01;33,24;"Biomaterials"
"296212";"Małopolskie (PL21)";"United States (US)";5;19,23;0,04;0,06;32,18;"Generative AI"
"228413";"Małopolskie (PL21)";"United States (US)";5;21,74;0,06;0,08;28,7;"Software Engineering & System Development"
"4151";"Małopolskie (PL21)";"United States (US)";11;25;0,05;0,06;29,03;"Computer Vision, Language Processing & Object Recognition"
"70515";"Małopolskie (PL21)";"United States (US)";1;50;0,1;0,05;23,05;"Carbon Capture & Storage"
"143213";"Małopolskie (PL21)";"United States (US)";2;20;0,06;0,07;24,83;"Internet of Things (IoT)"
"16408";"Małopolskie (PL21)";"United States (US)";1;100;0,03;0,01;23,57;"Drones"
"39204";"Małopolskie (PL21)";"United States (US)";9;24,32;0,04;0,05;30,44;"Artificial Intelligence"
"4993";"Małopolskie (PL21)";"United States (US)";15;19,74;0,05;0,07;28,6;"Cybersecurity Technologies"
"25465";"Małopolskie (PL21)";"United States (US)";2;66,67;0,03;0,01;24,18;"Robotics"
"25234";"Małopolskie (PL21)";"United States (US)";1;9,09;0,03;0,05;15,99;"Heat Pumps"
"52982";"Małopolskie (PL21)";"United States (US)";3;14,29;0,02;0,03;16,24;"Battery"
"48801";"Małopolskie (PL21)";"United States (US)";3;20;0,03;0,03;18,08;"Hydrogen Fuel Cells"
