"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"37947";"Niederösterreich (AT12)";"China (CN)";1;5;0,04;0,13;16,25;"Wind Energy"
"52236";"Niederösterreich (AT12)";"China (CN)";1;11,11;0,01;0,02;25,62;"Generative AI"
"39738";"Niederösterreich (AT12)";"China (CN)";1;16,67;0,02;0,02;22,12;"Software Engineering & System Development"
"72917";"Niederösterreich (AT12)";"China (CN)";1;5,88;0;0,02;28,25;"Computer Vision, Language Processing & Object Recognition"
"26440";"Niederösterreich (AT12)";"China (CN)";1;16,67;0,02;0,04;29,33;"Internet of Things (IoT)"
"6388";"Niederösterreich (AT12)";"China (CN)";1;6,67;0;0,02;29,98;"Artificial Intelligence"
"8757";"Niederösterreich (AT12)";"China (CN)";1;3,7;0;0,02;31,07;"Cybersecurity Technologies"
"38316";"Niederösterreich (AT12)";"China (CN)";1;4,55;0,01;0,08;24,21;"Robotics"
"32316";"Niederösterreich (AT12)";"China (CN)";1;7,69;0,02;0,06;23,26;"Heat Pumps"
"7253";"Niederösterreich (AT12)";"China (CN)";1;1,56;0,01;0,08;23,88;"Battery"
"7231";"Niederösterreich (AT12)";"China (CN)";1;2,22;0,01;0,08;19,17;"Hydrogen Fuel Cells"
