"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"28197";"Oberösterreich (AT31)";"United States (US)";2;10;0,01;0,05;32,18;"Generative AI"
"221513";"Oberösterreich (AT31)";"United States (US)";1;11,11;0,01;0,03;28,7;"Software Engineering & System Development"
"4136";"Oberösterreich (AT31)";"United States (US)";2;6,45;0,01;0,04;29,03;"Computer Vision, Language Processing & Object Recognition"
"25698";"Oberösterreich (AT31)";"United States (US)";2;5,26;0,02;0,07;19,68;"Semiconductors/Chips"
"74015";"Oberösterreich (AT31)";"United States (US)";1;14,29;0,1;0,17;23,05;"Carbon Capture & Storage"
"152710";"Oberösterreich (AT31)";"United States (US)";2;18,18;0,06;0,08;24,83;"Internet of Things (IoT)"
"16188";"Oberösterreich (AT31)";"United States (US)";1;5,88;0,03;0,1;23,57;"Drones"
"39994";"Oberösterreich (AT31)";"United States (US)";2;6,9;0,01;0,04;30,44;"Artificial Intelligence"
"5196";"Oberösterreich (AT31)";"United States (US)";5;25;0,02;0,02;28,6;"Cybersecurity Technologies"
"25644";"Oberösterreich (AT31)";"United States (US)";1;2,78;0,03;0,17;15,99;"Heat Pumps"
"54682";"Oberösterreich (AT31)";"United States (US)";13;8,39;0,11;0,2;16,24;"Battery"
"32362";"Oberösterreich (AT31)";"United States (US)";5;4,13;0,09;0,35;17,07;"Solar Energy"
"50131";"Oberösterreich (AT31)";"United States (US)";6;4,69;0,06;0,24;18,08;"Hydrogen Fuel Cells"
"52210";"Oberösterreich (AT31)";"United States (US)";4;23,53;0,74;0,46;14,52;"EVs & Charging Infrastructure"
