"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"2813";"Övre Norrland (SE33)";"United States (US)";1;16,67;0,03;0,04;20,1;"Wind Energy"
"159816";"Övre Norrland (SE33)";"United States (US)";1;25;0,01;0,01;30,76;"High-Performance Computing (HPC)"
"28887";"Övre Norrland (SE33)";"United States (US)";2;8,7;0,01;0,05;32,18;"Generative AI"
"4132";"Övre Norrland (SE33)";"United States (US)";2;5,13;0,01;0,05;29,03;"Computer Vision, Language Processing & Object Recognition"
"158511";"Övre Norrland (SE33)";"United States (US)";7;22,58;0,12;0,15;29,4;"Cloud Computing & Edge Computing"
"114116";"Övre Norrland (SE33)";"United States (US)";7;18,42;0,17;0,23;25,88;"Satellite Connectivity"
"15279";"Övre Norrland (SE33)";"United States (US)";29;35,8;0,22;0,15;25,1;"Mobile Networks (5G/6G)"
"40836";"Övre Norrland (SE33)";"United States (US)";3;8,33;0,01;0,05;30,44;"Artificial Intelligence"
"5210";"Övre Norrland (SE33)";"United States (US)";15;12,71;0,05;0,1;28,6;"Cybersecurity Technologies"
"25174";"Övre Norrland (SE33)";"United States (US)";1;20;0,03;0,02;15,99;"Heat Pumps"
"54542";"Övre Norrland (SE33)";"United States (US)";2;20;0,02;0,01;16,24;"Battery"
"49781";"Övre Norrland (SE33)";"United States (US)";1;6,67;0,01;0,03;18,08;"Hydrogen Fuel Cells"
