"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"164217";"Pays de la Loire (FR51)";"United States (US)";1;33,33;0,01;0,01;30,76;"High-Performance Computing (HPC)"
"227610";"Pays de la Loire (FR51)";"United States (US)";3;100;0,04;0,01;28,7;"Software Engineering & System Development"
"159313";"Pays de la Loire (FR51)";"United States (US)";2;100;0,03;0,01;29,4;"Cloud Computing & Edge Computing"
"113911";"Pays de la Loire (FR51)";"United States (US)";1;33,33;0,02;0,02;25,88;"Satellite Connectivity"
"15389";"Pays de la Loire (FR51)";"United States (US)";1;33,33;0,01;0,01;25,1;"Mobile Networks (5G/6G)"
"171410";"Pays de la Loire (FR51)";"United States (US)";2;12,5;0,05;0,1;23,57;"Drones"
"5128";"Pays de la Loire (FR51)";"United States (US)";2;9,09;0,01;0,02;28,6;"Cybersecurity Technologies"
"25045";"Pays de la Loire (FR51)";"United States (US)";1;1,92;0,01;0,18;24,18;"Robotics"
"54422";"Pays de la Loire (FR51)";"United States (US)";3;3,7;0,02;0,11;16,24;"Battery"
"32322";"Pays de la Loire (FR51)";"United States (US)";1;7,14;0,02;0,04;17,07;"Solar Energy"
"50581";"Pays de la Loire (FR51)";"United States (US)";1;1,82;0,01;0,1;18,08;"Hydrogen Fuel Cells"
