"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"2783";"Picardie (FR22)";"United States (US)";1;9,09;0,03;0,07;20,1;"Wind Energy"
"179813";"Picardie (FR22)";"United States (US)";6;85,71;0,17;0,06;33,24;"Biomaterials"
"29797";"Picardie (FR22)";"United States (US)";1;100;0,01;0;32,18;"Generative AI"
"4227";"Picardie (FR22)";"United States (US)";1;25;0;0,01;29,03;"Computer Vision, Language Processing & Object Recognition"
"248211";"Picardie (FR22)";"United States (US)";1;16,67;0,01;0,01;19,68;"Semiconductors/Chips"
"117312";"Picardie (FR22)";"United States (US)";1;100;0,02;0,01;25,88;"Satellite Connectivity"
"151411";"Picardie (FR22)";"United States (US)";1;100;0,01;0;25,1;"Mobile Networks (5G/6G)"
"397210";"Picardie (FR22)";"United States (US)";1;20;0;0,01;30,44;"Artificial Intelligence"
"5121";"Picardie (FR22)";"United States (US)";2;200;0,01;0;28,6;"Cybersecurity Technologies"
"54672";"Picardie (FR22)";"United States (US)";4;9,3;0,03;0,06;16,24;"Battery"
"31652";"Picardie (FR22)";"United States (US)";2;6,25;0,03;0,09;17,07;"Solar Energy"
"49431";"Picardie (FR22)";"United States (US)";4;14,81;0,04;0,05;18,08;"Hydrogen Fuel Cells"
