"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"143106";"Prov. Vlaams-Brabant (BE24)";"United States (US)";1;20;1,12;0,78;13,95;"Waste Management"
"2747";"Prov. Vlaams-Brabant (BE24)";"United States (US)";3;60;0,1;0,03;20,1;"Wind Energy"
"122108";"Prov. Vlaams-Brabant (BE24)";"United States (US)";1;100;0,73;0,19;25,42;"Biofuels"
"160716";"Prov. Vlaams-Brabant (BE24)";"United States (US)";13;52;0,15;0,09;30,76;"High-Performance Computing (HPC)"
"190415";"Prov. Vlaams-Brabant (BE24)";"United States (US)";5;27,78;0,14;0,17;33,24;"Biomaterials"
"281610";"Prov. Vlaams-Brabant (BE24)";"United States (US)";7;25,93;0,05;0,06;32,18;"Generative AI"
"232510";"Prov. Vlaams-Brabant (BE24)";"United States (US)";5;26,32;0,06;0,07;28,7;"Software Engineering & System Development"
"4110";"Prov. Vlaams-Brabant (BE24)";"United States (US)";13;31,71;0,06;0,05;29,03;"Computer Vision, Language Processing & Object Recognition"
"24788";"Prov. Vlaams-Brabant (BE24)";"United States (US)";34;61,82;0,34;0,11;19,68;"Semiconductors/Chips"
"154312";"Prov. Vlaams-Brabant (BE24)";"United States (US)";6;75;0,1;0,04;29,4;"Cloud Computing & Edge Computing"
"146610";"Prov. Vlaams-Brabant (BE24)";"United States (US)";4;44,44;0,11;0,06;24,83;"Internet of Things (IoT)"
"115911";"Prov. Vlaams-Brabant (BE24)";"United States (US)";1;25;0,02;0,02;25,88;"Satellite Connectivity"
"15459";"Prov. Vlaams-Brabant (BE24)";"United States (US)";3;37,5;0,02;0,01;25,1;"Mobile Networks (5G/6G)"
"99115";"Prov. Vlaams-Brabant (BE24)";"United States (US)";1;5;0,02;0,15;29,78;"Quantum Technologies"
"16798";"Prov. Vlaams-Brabant (BE24)";"United States (US)";5;38,46;0,13;0,08;23,57;"Drones"
"394210";"Prov. Vlaams-Brabant (BE24)";"United States (US)";11;27,5;0,05;0,06;30,44;"Artificial Intelligence"
"5209";"Prov. Vlaams-Brabant (BE24)";"United States (US)";21;35;0,07;0,05;28,6;"Cybersecurity Technologies"
"11046";"Prov. Vlaams-Brabant (BE24)";"United States (US)";1;7,69;0,02;0,12;36,27;"Blockchain Technologies"
"25575";"Prov. Vlaams-Brabant (BE24)";"United States (US)";1;4,17;0,01;0,08;24,18;"Robotics"
"24944";"Prov. Vlaams-Brabant (BE24)";"United States (US)";2;40;0,06;0,02;15,99;"Heat Pumps"
"54302";"Prov. Vlaams-Brabant (BE24)";"United States (US)";4;8,16;0,03;0,06;16,24;"Battery"
"48791";"Prov. Vlaams-Brabant (BE24)";"United States (US)";6;17,14;0,06;0,06;18,08;"Hydrogen Fuel Cells"
