"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"2859";"South Africa (ZA)";"United States (US)";1;25;0,03;0,03;20,1;"Wind Energy"
"28997";"South Africa (ZA)";"United States (US)";2;13,33;0,01;0,04;32,18;"Generative AI"
"218213";"South Africa (ZA)";"United States (US)";3;7,89;0,04;0,13;28,7;"Software Engineering & System Development"
"4080";"South Africa (ZA)";"United States (US)";3;15;0,01;0,03;29,03;"Computer Vision, Language Processing & Object Recognition"
"151313";"South Africa (ZA)";"United States (US)";1;20;0,03;0,03;24,83;"Internet of Things (IoT)"
"15099";"South Africa (ZA)";"United States (US)";1;100;0,01;0;25,1;"Mobile Networks (5G/6G)"
"96710";"South Africa (ZA)";"United States (US)";3;100;0,07;0,02;29,78;"Quantum Technologies"
"40484";"South Africa (ZA)";"United States (US)";4;22,22;0,02;0,03;30,44;"Artificial Intelligence"
"5190";"South Africa (ZA)";"United States (US)";8;13,33;0,02;0,05;28,6;"Cybersecurity Technologies"
"11206";"South Africa (ZA)";"United States (US)";4;20;0,1;0,18;36,27;"Blockchain Technologies"
"25095";"South Africa (ZA)";"United States (US)";2;11,76;0,03;0,06;24,18;"Robotics"
"24764";"South Africa (ZA)";"United States (US)";1;14,29;0,03;0,03;15,99;"Heat Pumps"
"53392";"South Africa (ZA)";"United States (US)";3;15,79;0,02;0,02;16,24;"Battery"
"32682";"South Africa (ZA)";"United States (US)";1;5,56;0,02;0,05;17,07;"Solar Energy"
"49391";"South Africa (ZA)";"United States (US)";3;14,29;0,03;0,04;18,08;"Hydrogen Fuel Cells"
