"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"2804";"Västsverige (SE23)";"United States (US)";2;5,41;0,06;0,24;20,1;"Wind Energy"
"167317";"Västsverige (SE23)";"United States (US)";1;4;0,01;0,09;30,76;"High-Performance Computing (HPC)"
"185813";"Västsverige (SE23)";"United States (US)";4;3,03;0,11;1,21;33,24;"Biomaterials"
"284114";"Västsverige (SE23)";"United States (US)";16;30,77;0,12;0,12;32,18;"Generative AI"
"223610";"Västsverige (SE23)";"United States (US)";1;3,33;0,01;0,11;28,7;"Software Engineering & System Development"
"4242";"Västsverige (SE23)";"United States (US)";18;16,51;0,08;0,15;29,03;"Computer Vision, Language Processing & Object Recognition"
"62616";"Västsverige (SE23)";"United States (US)";1;25;0,21;0,19;22,38;"Green Consumer Goods"
"69120";"Västsverige (SE23)";"United States (US)";2;33,33;0,21;0,14;23,05;"Carbon Capture & Storage"
"148911";"Västsverige (SE23)";"United States (US)";3;13,04;0,05;0,11;29,4;"Cloud Computing & Edge Computing"
"117011";"Västsverige (SE23)";"United States (US)";9;14,52;0,21;0,38;25,88;"Satellite Connectivity"
"152212";"Västsverige (SE23)";"United States (US)";23;13,14;0,17;0,33;25,1;"Mobile Networks (5G/6G)"
"161013";"Västsverige (SE23)";"United States (US)";4;5,13;0,1;0,47;23,57;"Drones"
"40794";"Västsverige (SE23)";"United States (US)";19;16,81;0,09;0,17;30,44;"Artificial Intelligence"
"5200";"Västsverige (SE23)";"United States (US)";18;8,33;0,06;0,19;28,6;"Cybersecurity Technologies"
"24745";"Västsverige (SE23)";"United States (US)";3;8,11;0,04;0,13;24,18;"Robotics"
"24834";"Västsverige (SE23)";"United States (US)";1;1,45;0,03;0,33;15,99;"Heat Pumps"
"53572";"Västsverige (SE23)";"United States (US)";9;2,95;0,07;0,4;16,24;"Battery"
"31913";"Västsverige (SE23)";"United States (US)";2;1,75;0,03;0,33;17,07;"Solar Energy"
"49451";"Västsverige (SE23)";"United States (US)";9;3,61;0,09;0,46;18,08;"Hydrogen Fuel Cells"
"54910";"Västsverige (SE23)";"United States (US)";2;3,7;0,37;1,45;14,52;"EVs & Charging Infrastructure"
