"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"65132";"Zuid-Holland (NL33)";"United States (US)";3;42,86;2,48;1,1;18,97;"Sustainable Agriculture"
"2834";"Zuid-Holland (NL33)";"United States (US)";2;2,08;0,06;0,62;20,1;"Wind Energy"
"166516";"Zuid-Holland (NL33)";"United States (US)";2;6,67;0,02;0,11;30,76;"High-Performance Computing (HPC)"
"185315";"Zuid-Holland (NL33)";"United States (US)";6;30;0,17;0,18;33,24;"Biomaterials"
"28777";"Zuid-Holland (NL33)";"United States (US)";5;16,13;0,04;0,07;32,18;"Generative AI"
"223511";"Zuid-Holland (NL33)";"United States (US)";3;21,43;0,04;0,05;28,7;"Software Engineering & System Development"
"4057";"Zuid-Holland (NL33)";"United States (US)";7;13,73;0,03;0,07;29,03;"Computer Vision, Language Processing & Object Recognition"
"249211";"Zuid-Holland (NL33)";"United States (US)";4;5,88;0,04;0,13;19,68;"Semiconductors/Chips"
"153911";"Zuid-Holland (NL33)";"United States (US)";4;33,33;0,07;0,06;29,4;"Cloud Computing & Edge Computing"
"151710";"Zuid-Holland (NL33)";"United States (US)";3;30;0,08;0,07;24,83;"Internet of Things (IoT)"
"100810";"Zuid-Holland (NL33)";"United States (US)";2;2,82;0,05;0,52;29,78;"Quantum Technologies"
"39464";"Zuid-Holland (NL33)";"United States (US)";7;19,44;0,03;0,05;30,44;"Artificial Intelligence"
"5161";"Zuid-Holland (NL33)";"United States (US)";10;16,13;0,03;0,06;28,6;"Cybersecurity Technologies"
"10786";"Zuid-Holland (NL33)";"United States (US)";1;100;0,02;0,01;36,27;"Blockchain Technologies"
"25065";"Zuid-Holland (NL33)";"United States (US)";3;6,12;0,04;0,17;24,18;"Robotics"
"32417";"Zuid-Holland (NL33)";"United States (US)";3;33,33;0,83;0,37;14,76;"Environmental Engineering"
"25319";"Zuid-Holland (NL33)";"United States (US)";2;9,09;0,06;0,11;15,99;"Heat Pumps"
"53318";"Zuid-Holland (NL33)";"United States (US)";6;6,52;0,05;0,12;16,24;"Battery"
"31882";"Zuid-Holland (NL33)";"United States (US)";3;3,49;0,05;0,25;17,07;"Solar Energy"
"50441";"Zuid-Holland (NL33)";"United States (US)";8;7,55;0,08;0,2;18,08;"Hydrogen Fuel Cells"
"52710";"Zuid-Holland (NL33)";"United States (US)";2;16,67;0,37;0,32;14,52;"EVs & Charging Infrastructure"
