"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"75130";"Basse-Normandie (FR25)";"United States (US)";1;100;0,83;0,16;18,97;"Sustainable Agriculture"
"161220";"Basse-Normandie (FR25)";"United States (US)";1;33,33;0,01;0,01;30,76;"High-Performance Computing (HPC)"
"29567";"Basse-Normandie (FR25)";"United States (US)";2;50;0,01;0,01;32,18;"Generative AI"
"4078";"Basse-Normandie (FR25)";"United States (US)";3;37,5;0,01;0,01;29,03;"Computer Vision, Language Processing & Object Recognition"
"94311";"Basse-Normandie (FR25)";"United States (US)";1;50;0,02;0,01;29,78;"Quantum Technologies"
"16098";"Basse-Normandie (FR25)";"United States (US)";1;50;0,03;0,01;23,57;"Drones"
"39074";"Basse-Normandie (FR25)";"United States (US)";1;16,67;0;0,01;30,44;"Artificial Intelligence"
"5141";"Basse-Normandie (FR25)";"United States (US)";2;40;0,01;0;28,6;"Cybersecurity Technologies"
"32317";"Basse-Normandie (FR25)";"United States (US)";1;100;0,28;0,04;14,76;"Environmental Engineering"
"31462";"Basse-Normandie (FR25)";"United States (US)";1;16,67;0,02;0,02;17,07;"Solar Energy"
