"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"51154";"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)";"China (CN)";1;1,2;0,01;0,2;25,62;"Generative AI"
"37539";"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)";"China (CN)";1;3,12;0,02;0,11;22,12;"Software Engineering & System Development"
"69818";"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)";"China (CN)";3;2,22;0,01;0,18;28,25;"Computer Vision, Language Processing & Object Recognition"
"39635";"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)";"China (CN)";1;1,01;0,01;0,19;24,09;"Semiconductors/Chips"
"68101";"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)";"China (CN)";1;16,67;0,2;0,28;23,61;"Green Consumer Goods"
"10490";"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)";"China (CN)";1;5,26;0,12;0,46;20,45;"Carbon Capture & Storage"
"26168";"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)";"China (CN)";1;11,11;0,01;0,04;35,18;"Cloud Computing & Edge Computing"
"27540";"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)";"China (CN)";1;8,33;0,02;0,08;29,33;"Internet of Things (IoT)"
"19739";"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)";"China (CN)";3;37,5;0,05;0,05;34,92;"Satellite Connectivity"
"26038";"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)";"China (CN)";16;228,57;0,08;0,01;39,16;"Mobile Networks (5G/6G)"
"18439";"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)";"China (CN)";1;4,76;0,03;0,15;28,76;"Quantum Technologies"
"6298";"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)";"China (CN)";3;2,44;0,01;0,18;29,98;"Artificial Intelligence"
"9007";"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)";"China (CN)";14;16,09;0,04;0,08;31,07;"Cybersecurity Technologies"
"17825";"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)";"China (CN)";2;40;0,06;0,05;28,42;"Blockchain Technologies"
"7853";"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)";"China (CN)";3;1,97;0,02;0,2;23,88;"Battery"
"44612";"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)";"China (CN)";1;1,37;0,01;0,21;28,01;"Solar Energy"
"6951";"Berkshire, Buckinghamshire and Oxfordshire (UKJ1)";"China (CN)";5;4,27;0,05;0,22;19,17;"Hydrogen Fuel Cells"
