"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"2766";"Braunschweig (DE91)";"United States (US)";2;10,53;0,06;0,12;20,1;"Wind Energy"
"158717";"Braunschweig (DE91)";"United States (US)";3;60;0,04;0,02;30,76;"High-Performance Computing (HPC)"
"28857";"Braunschweig (DE91)";"United States (US)";4;8,51;0,03;0,11;32,18;"Generative AI"
"223910";"Braunschweig (DE91)";"United States (US)";2;11,11;0,02;0,06;28,7;"Software Engineering & System Development"
"4082";"Braunschweig (DE91)";"United States (US)";4;3,81;0,02;0,14;29,03;"Computer Vision, Language Processing & Object Recognition"
"256411";"Braunschweig (DE91)";"United States (US)";1;10;0,01;0,02;19,68;"Semiconductors/Chips"
"63816";"Braunschweig (DE91)";"United States (US)";1;100;0,21;0,05;22,38;"Green Consumer Goods"
"73615";"Braunschweig (DE91)";"United States (US)";5;33,33;0,52;0,36;23,05;"Carbon Capture & Storage"
"157116";"Braunschweig (DE91)";"United States (US)";3;33,33;0,05;0,04;29,4;"Cloud Computing & Edge Computing"
"148810";"Braunschweig (DE91)";"United States (US)";4;40;0,11;0,07;24,83;"Internet of Things (IoT)"
"96311";"Braunschweig (DE91)";"United States (US)";2;50;0,05;0,03;29,78;"Quantum Technologies"
"38994";"Braunschweig (DE91)";"United States (US)";4;5,26;0,02;0,11;30,44;"Artificial Intelligence"
"5160";"Braunschweig (DE91)";"United States (US)";10;15,15;0,03;0,06;28,6;"Cybersecurity Technologies"
"109111";"Braunschweig (DE91)";"United States (US)";3;100;0,07;0,03;36,27;"Blockchain Technologies"
"25204";"Braunschweig (DE91)";"United States (US)";2;4,55;0,06;0,21;15,99;"Heat Pumps"
"54702";"Braunschweig (DE91)";"United States (US)";5;3,82;0,04;0,17;16,24;"Battery"
"49651";"Braunschweig (DE91)";"United States (US)";7;5,47;0,07;0,24;18,08;"Hydrogen Fuel Cells"
