"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"2798";"Cornwall and Isles of Scilly (UKK3)";"United States (US)";2;50;0,06;0,03;20,1;"Wind Energy"
"163715";"Cornwall and Isles of Scilly (UKK3)";"United States (US)";1;100;0,01;0;30,76;"High-Performance Computing (HPC)"
"29787";"Cornwall and Isles of Scilly (UKK3)";"United States (US)";2;200;0,01;0;32,18;"Generative AI"
"4149";"Cornwall and Isles of Scilly (UKK3)";"United States (US)";2;200;0,01;0;29,03;"Computer Vision, Language Processing & Object Recognition"
"24678";"Cornwall and Isles of Scilly (UKK3)";"United States (US)";1;50;0,01;0;19,68;"Semiconductors/Chips"
"150811";"Cornwall and Isles of Scilly (UKK3)";"United States (US)";1;100;0,02;0;29,4;"Cloud Computing & Edge Computing"
"39774";"Cornwall and Isles of Scilly (UKK3)";"United States (US)";2;200;0,01;0;30,44;"Artificial Intelligence"
"5080";"Cornwall and Isles of Scilly (UKK3)";"United States (US)";1;100;0;0;28,6;"Cybersecurity Technologies"
"24564";"Cornwall and Isles of Scilly (UKK3)";"United States (US)";1;50;0,03;0,01;15,99;"Heat Pumps"
"53482";"Cornwall and Isles of Scilly (UKK3)";"United States (US)";2;66,67;0,02;0;16,24;"Battery"
"49821";"Cornwall and Isles of Scilly (UKK3)";"United States (US)";3;37,5;0,03;0,01;18,08;"Hydrogen Fuel Cells"
