"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"235100";"East Anglia (UKH1)";"China (CN)";2;2,33;0,02;0,31;35,3;"High-Performance Computing (HPC)"
"51336";"East Anglia (UKH1)";"China (CN)";1;1,04;0,01;0,23;25,62;"Generative AI"
"38039";"East Anglia (UKH1)";"China (CN)";1;3,03;0,02;0,12;22,12;"Software Engineering & System Development"
"70517";"East Anglia (UKH1)";"China (CN)";3;2,19;0,01;0,18;28,25;"Computer Vision, Language Processing & Object Recognition"
"39935";"East Anglia (UKH1)";"China (CN)";1;0,79;0,01;0,24;24,09;"Semiconductors/Chips"
"85100";"East Anglia (UKH1)";"China (CN)";1;100;0,2;0,05;23,61;"Green Consumer Goods"
"25840";"East Anglia (UKH1)";"China (CN)";6;20,69;0,14;0,2;29,33;"Internet of Things (IoT)"
"16940";"East Anglia (UKH1)";"China (CN)";8;26,67;0,14;0,18;34,92;"Satellite Connectivity"
"26538";"East Anglia (UKH1)";"China (CN)";17;29,82;0,08;0,11;39,16;"Mobile Networks (5G/6G)"
"6258";"East Anglia (UKH1)";"China (CN)";1;0,68;0;0,21;29,98;"Artificial Intelligence"
"8507";"East Anglia (UKH1)";"China (CN)";16;5,46;0,05;0,26;31,07;"Cybersecurity Technologies"
"16725";"East Anglia (UKH1)";"China (CN)";1;5,26;0,03;0,17;28,42;"Blockchain Technologies"
"40916";"East Anglia (UKH1)";"China (CN)";1;0,93;0,01;0,37;24,21;"Robotics"
"7221";"East Anglia (UKH1)";"China (CN)";2;1,25;0,02;0,3;19,17;"Hydrogen Fuel Cells"
