"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"133";"Rhône-Alpes (FR71)";"United States (US)";1;16,67;0,42;0,64;25,27;"Smart Grid"
"568";"Rhône-Alpes (FR71)";"United States (US)";5;45,45;1,5;0,56;17,07;"Recycling"
"2817";"Rhône-Alpes (FR71)";"United States (US)";7;11,11;0,23;0,41;20,1;"Wind Energy"
"168119";"Rhône-Alpes (FR71)";"United States (US)";12;5,83;0,14;0,75;30,76;"High-Performance Computing (HPC)"
"186415";"Rhône-Alpes (FR71)";"United States (US)";24;15,38;0,66;1,44;33,24;"Biomaterials"
"29587";"Rhône-Alpes (FR71)";"United States (US)";12;24,49;0,09;0,12;32,18;"Generative AI"
"230710";"Rhône-Alpes (FR71)";"United States (US)";6;26,09;0,07;0,08;28,7;"Software Engineering & System Development"
"4128";"Rhône-Alpes (FR71)";"United States (US)";21;15,56;0,1;0,18;29,03;"Computer Vision, Language Processing & Object Recognition"
"255211";"Rhône-Alpes (FR71)";"United States (US)";27;5,88;0,27;0,89;19,68;"Semiconductors/Chips"
"70415";"Rhône-Alpes (FR71)";"United States (US)";1;3,7;0,1;0,65;23,05;"Carbon Capture & Storage"
"158611";"Rhône-Alpes (FR71)";"United States (US)";4;25;0,07;0,08;29,4;"Cloud Computing & Edge Computing"
"146115";"Rhône-Alpes (FR71)";"United States (US)";1;5,56;0,03;0,13;24,83;"Internet of Things (IoT)"
"15189";"Rhône-Alpes (FR71)";"United States (US)";2;66,67;0,01;0,01;25,1;"Mobile Networks (5G/6G)"
"94610";"Rhône-Alpes (FR71)";"United States (US)";7;16,28;0,17;0,31;29,78;"Quantum Technologies"
"164210";"Rhône-Alpes (FR71)";"United States (US)";1;1,96;0,03;0,31;23,57;"Drones"
"39794";"Rhône-Alpes (FR71)";"United States (US)";18;24;0,09;0,11;30,44;"Artificial Intelligence"
"5047";"Rhône-Alpes (FR71)";"United States (US)";20;19,8;0,06;0,09;28,6;"Cybersecurity Technologies"
"11456";"Rhône-Alpes (FR71)";"United States (US)";1;5,56;0,02;0,16;36,27;"Blockchain Technologies"
"24926";"Rhône-Alpes (FR71)";"United States (US)";10;6,45;0,14;0,54;24,18;"Robotics"
"25719";"Rhône-Alpes (FR71)";"United States (US)";5;4,17;0,15;0,57;15,99;"Heat Pumps"
"54462";"Rhône-Alpes (FR71)";"United States (US)";28;6,6;0,23;0,56;16,24;"Battery"
"31292";"Rhône-Alpes (FR71)";"United States (US)";12;5,58;0,21;0,63;17,07;"Solar Energy"
"49001";"Rhône-Alpes (FR71)";"United States (US)";24;7,19;0,25;0,62;18,08;"Hydrogen Fuel Cells"
"55411";"Rhône-Alpes (FR71)";"United States (US)";2;10;0,37;0,54;14,52;"EVs & Charging Infrastructure"
