"";"from";"to";"collab";"from_pct_col";"to_pct_col";"exp_from";"exp_to";"domain"
"38747";"Russia (RU)";"China (CN)";1;2,78;0,04;0,23;16,25;"Wind Energy"
"25580";"Russia (RU)";"China (CN)";1;3,12;0,12;0,29;7,81;"Biomaterials"
"52536";"Russia (RU)";"China (CN)";2;1,4;0,02;0,34;25,62;"Generative AI"
"36639";"Russia (RU)";"China (CN)";1;1,03;0,02;0,34;22,12;"Software Engineering & System Development"
"72122";"Russia (RU)";"China (CN)";5;2,02;0,02;0,33;28,25;"Computer Vision, Language Processing & Object Recognition"
"24747";"Russia (RU)";"China (CN)";14;60,87;0,2;0,11;35,18;"Cloud Computing & Edge Computing"
"16640";"Russia (RU)";"China (CN)";13;25,49;0,23;0,31;34,92;"Satellite Connectivity"
"24438";"Russia (RU)";"China (CN)";104;118,18;0,5;0,16;39,16;"Mobile Networks (5G/6G)"
"16839";"Russia (RU)";"China (CN)";2;6,45;0,05;0,23;28,76;"Quantum Technologies"
"6238";"Russia (RU)";"China (CN)";3;1,23;0,01;0,36;29,98;"Artificial Intelligence"
"8347";"Russia (RU)";"China (CN)";40;14,6;0,11;0,24;31,07;"Cybersecurity Technologies"
"39416";"Russia (RU)";"China (CN)";1;1,45;0,01;0,24;24,21;"Robotics"
"33716";"Russia (RU)";"China (CN)";1;2,27;0,02;0,21;23,26;"Heat Pumps"
"48312";"Russia (RU)";"China (CN)";1;1,37;0,01;0,21;28,01;"Solar Energy"
"7831";"Russia (RU)";"China (CN)";1;1,2;0,01;0,15;19,17;"Hydrogen Fuel Cells"
